"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.609442833606222,0.364437709529434,0.489657956219018,0.253849895992179,0.51685393258427,0.00561797752808989,0,1.93478260869565,92,2,0,178,178,92,0.299161439955057,0.220487796127347,0.518197361993161,0.201462598475281,0.320224719101124,0.0677656677223336,0.0623577572990133,0.00845883016836602,0.00578620906443339,0.0118104606850156,0.133634626447281,0.171645698811951,0.153633353827527,0.0598904534649768,0.0549665901641065,0.132226142173931,0.00195248060320047,0.00980473359692957,0.51685393258427,0.0112359550561798,0.0217391304347826
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.579919610281164,0.391452412512781,0.514140050350409,0.330793827567829,0.51685393258427,0.00561797752808989,0,1.93478260869565,92,2,0,178,178,92,0.299161439955057,0.220487796127347,0.518197361993161,0.201462598475281,0.320224719101124,0.0677656677223336,0.0623577572990133,0.00845883016836602,0.00578620906443339,0.0118104606850156,0.133634626447281,0.171645698811951,0.153633353827527,0.0598904534649768,0.0549665901641065,0.132226142173931,0.00195248060320047,0.00980473359692957,0.51685393258427,0.0112359550561798,0.0217391304347826
1,933,0.00752925483866739,0.208024342614226,18,51.2937888779119,0.640608915826306,0.00128630032784084,2.13563529087804,"random search",-0.541910978273719,-0.0118288527475185,-0.401795745833843,-0.0172519502139563,0.51685393258427,0.00561797752808989,0,1.93478260869565,92,2,0,178,178,92,0.299161439955057,0.220487796127347,0.518197361993161,0.201462598475281,0.320224719101124,0.0677656677223336,0.0623577572990133,0.00845883016836602,0.00578620906443339,0.0118104606850156,0.133634626447281,0.171645698811951,0.153633353827527,0.0598904534649768,0.0549665901641065,0.132226142173931,0.00195248060320047,0.00980473359692957,0.51685393258427,0.0112359550561798,0.0217391304347826
2,59,0.959555512668048,0.421080586779863,9,83.0594727624346,0.592076821951196,14.3186458228154,14.7500952678594,"random search",-0.447008777247359,-0.0280488787702802,-0.259128821277018,-0.0194514113967108,0.51685393258427,0.00561797752808989,0,1.93478260869565,92,2,0,178,178,92,0.299161439955057,0.220487796127347,0.518197361993161,0.201462598475281,0.320224719101124,0.0677656677223336,0.0623577572990133,0.00845883016836602,0.00578620906443339,0.0118104606850156,0.133634626447281,0.171645698811951,0.153633353827527,0.0598904534649768,0.0549665901641065,0.132226142173931,0.00195248060320047,0.00980473359692957,0.51685393258427,0.0112359550561798,0.0217391304347826
3,701,0.00303947160944953,0.135117235803045,19,28.2096407471816,0.0380068572703749,0.00162008615790814,1.17168595688387,"random search",-0.543756965172898,-0.0294909095997409,-0.229055638258935,-0.000320168463350923,0.51685393258427,0.00561797752808989,0,1.93478260869565,92,2,0,178,178,92,0.299161439955057,0.220487796127347,0.518197361993161,0.201462598475281,0.320224719101124,0.0677656677223336,0.0623577572990133,0.00845883016836602,0.00578620906443339,0.0118104606850156,0.133634626447281,0.171645698811951,0.153633353827527,0.0598904534649768,0.0549665901641065,0.132226142173931,0.00195248060320047,0.00980473359692957,0.51685393258427,0.0112359550561798,0.0217391304347826
4,2997,0.301914578534755,0.201100643537939,15,1.49465182881689,0.747297130525112,0.253658118841847,0.00916308451947906,"random search",0.510659405149912,-0.0658333888570994,0.0801727154460294,-0.814904210782246,0.51685393258427,0.00561797752808989,0,1.93478260869565,92,2,0,178,178,92,0.299161439955057,0.220487796127347,0.518197361993161,0.201462598475281,0.320224719101124,0.0677656677223336,0.0623577572990133,0.00845883016836602,0.00578620906443339,0.0118104606850156,0.133634626447281,0.171645698811951,0.153633353827527,0.0598904534649768,0.0549665901641065,0.132226142173931,0.00195248060320047,0.00980473359692957,0.51685393258427,0.0112359550561798,0.0217391304347826
5,300,0.037018933055875,0.933481794781983,1,52.1405836951102,0.846771765267476,0.0143958161207808,0.275181529616581,"random search",0.596301380171192,0.493573248801675,0.5958917223256,0.390635032985279,0.51685393258427,0.00561797752808989,0,1.93478260869565,92,2,0,178,178,92,0.299161439955057,0.220487796127347,0.518197361993161,0.201462598475281,0.320224719101124,0.0677656677223336,0.0623577572990133,0.00845883016836602,0.00578620906443339,0.0118104606850156,0.133634626447281,0.171645698811951,0.153633353827527,0.0598904534649768,0.0549665901641065,0.132226142173931,0.00195248060320047,0.00980473359692957,0.51685393258427,0.0112359550561798,0.0217391304347826
6,2614,0.00287381863529214,0.165426973206922,3,7.35648415510139,0.856181853218004,0.00481718098150869,0.179580212123395,"random search",0.59122699981327,0.503590904467692,0.583060150748255,0.382828092934532,0.51685393258427,0.00561797752808989,0,1.93478260869565,92,2,0,178,178,92,0.299161439955057,0.220487796127347,0.518197361993161,0.201462598475281,0.320224719101124,0.0677656677223336,0.0623577572990133,0.00845883016836602,0.00578620906443339,0.0118104606850156,0.133634626447281,0.171645698811951,0.153633353827527,0.0598904534649768,0.0549665901641065,0.132226142173931,0.00195248060320047,0.00980473359692957,0.51685393258427,0.0112359550561798,0.0217391304347826
7,3922,0.00953959933979909,0.702929952577688,4,33.7181819447709,0.510121739003807,0.277292178170986,0.00731090185183016,"random search",0.60151108025222,0.419695321981453,0.525966906086171,0.299086849385237,0.51685393258427,0.00561797752808989,0,1.93478260869565,92,2,0,178,178,92,0.299161439955057,0.220487796127347,0.518197361993161,0.201462598475281,0.320224719101124,0.0677656677223336,0.0623577572990133,0.00845883016836602,0.00578620906443339,0.0118104606850156,0.133634626447281,0.171645698811951,0.153633353827527,0.0598904534649768,0.0549665901641065,0.132226142173931,0.00195248060320047,0.00980473359692957,0.51685393258427,0.0112359550561798,0.0217391304347826
8,4614,0.00683765326328362,0.361612219270319,6,39.3672754710126,0.396343786036596,989.250731668881,19.0268692388989,"random search",-0.557542999116475,-0.0511344561722253,-0.0918898351359638,4.68090380082442e-05,0.51685393258427,0.00561797752808989,0,1.93478260869565,92,2,0,178,178,92,0.299161439955057,0.220487796127347,0.518197361993161,0.201462598475281,0.320224719101124,0.0677656677223336,0.0623577572990133,0.00845883016836602,0.00578620906443339,0.0118104606850156,0.133634626447281,0.171645698811951,0.153633353827527,0.0598904534649768,0.0549665901641065,0.132226142173931,0.00195248060320047,0.00980473359692957,0.51685393258427,0.0112359550561798,0.0217391304347826
