"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.681202167534483,0.66201646544359,0.685393012962541,0.855739499546827,0.511111111111111,0.00555555555555556,0,1.95652173913043,92,2,0,180,180,92,0.289089482546063,0.183760699218605,0.527657004830918,0.18891757711625,0.244444444444444,0.0365203923884135,0.0333523903419816,0.00243994110205247,0.00195547067880751,0.00394013586570779,0.0642364383369489,0.0947414545389385,0.158417275590606,0.0575337187615392,0.0116985827387852,0.049911780616458,0.0047967522969347,0.0369620337448792,0.511111111111111,0.0111111111111111,0.0217391304347826
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.692486900692995,0.694495729984608,0.614895191880396,0.809485499916337,0.511111111111111,0.00555555555555556,0,1.95652173913043,92,2,0,180,180,92,0.289089482546063,0.183760699218605,0.527657004830918,0.18891757711625,0.244444444444444,0.0365203923884135,0.0333523903419816,0.00243994110205247,0.00195547067880751,0.00394013586570779,0.0642364383369489,0.0947414545389385,0.158417275590606,0.0575337187615392,0.0116985827387852,0.049911780616458,0.0047967522969347,0.0369620337448792,0.511111111111111,0.0111111111111111,0.0217391304347826
1,1380,0.0749146729690465,0.612237666384317,19,12.7568479444593,0.254942291881889,3.59011104217537,203.176425101461,"random search",-0.543926897518145,-0.156507154513156,-0.491496613370114,-0.0320126195677135,0.511111111111111,0.00555555555555556,0,1.95652173913043,92,2,0,180,180,92,0.289089482546063,0.183760699218605,0.527657004830918,0.18891757711625,0.244444444444444,0.0365203923884135,0.0333523903419816,0.00243994110205247,0.00195547067880751,0.00394013586570779,0.0642364383369489,0.0947414545389385,0.158417275590606,0.0575337187615392,0.0116985827387852,0.049911780616458,0.0047967522969347,0.0369620337448792,0.511111111111111,0.0111111111111111,0.0217391304347826
2,1249,0.0809388033604325,0.63477282859385,23,72.3140036199657,0.718848328106105,0.0191003229983151,7.08542958639464,"random search",-0.515139577567592,-0.00658631935380538,-0.485963469779699,-0.0963411383570378,0.511111111111111,0.00555555555555556,0,1.95652173913043,92,2,0,180,180,92,0.289089482546063,0.183760699218605,0.527657004830918,0.18891757711625,0.244444444444444,0.0365203923884135,0.0333523903419816,0.00243994110205247,0.00195547067880751,0.00394013586570779,0.0642364383369489,0.0947414545389385,0.158417275590606,0.0575337187615392,0.0116985827387852,0.049911780616458,0.0047967522969347,0.0369620337448792,0.511111111111111,0.0111111111111111,0.0217391304347826
3,4435,0.0423315046222015,0.574143927288242,1,1.00157048195857,0.358497426146641,879.412751855726,50.9252187878285,"random search",-0.23568439585854,-0.0847024197753217,-0.0571141019509533,0.0639864191773741,0.511111111111111,0.00555555555555556,0,1.95652173913043,92,2,0,180,180,92,0.289089482546063,0.183760699218605,0.527657004830918,0.18891757711625,0.244444444444444,0.0365203923884135,0.0333523903419816,0.00243994110205247,0.00195547067880751,0.00394013586570779,0.0642364383369489,0.0947414545389385,0.158417275590606,0.0575337187615392,0.0116985827387852,0.049911780616458,0.0047967522969347,0.0369620337448792,0.511111111111111,0.0111111111111111,0.0217391304347826
4,410,0.00301703112845817,0.592785523016937,16,4.06269753475799,0.310160562396049,116.573785894934,0.01699022233524,"random search",-0.00617553101221846,0.0290347939856013,0.0566356227005997,0.139735834047156,0.511111111111111,0.00555555555555556,0,1.95652173913043,92,2,0,180,180,92,0.289089482546063,0.183760699218605,0.527657004830918,0.18891757711625,0.244444444444444,0.0365203923884135,0.0333523903419816,0.00243994110205247,0.00195547067880751,0.00394013586570779,0.0642364383369489,0.0947414545389385,0.158417275590606,0.0575337187615392,0.0116985827387852,0.049911780616458,0.0047967522969347,0.0369620337448792,0.511111111111111,0.0111111111111111,0.0217391304347826
5,461,0.0205856482462126,0.725045486120507,24,40.3039640643794,0.0388082938734442,302.25959031135,0.654130564555004,"random search",0.0247102631828315,0.126737844229611,0.00140315702564808,0.137186243176804,0.511111111111111,0.00555555555555556,0,1.95652173913043,92,2,0,180,180,92,0.289089482546063,0.183760699218605,0.527657004830918,0.18891757711625,0.244444444444444,0.0365203923884135,0.0333523903419816,0.00243994110205247,0.00195547067880751,0.00394013586570779,0.0642364383369489,0.0947414545389385,0.158417275590606,0.0575337187615392,0.0116985827387852,0.049911780616458,0.0047967522969347,0.0369620337448792,0.511111111111111,0.0111111111111111,0.0217391304347826
6,1674,0.00263741161506833,0.213566328119487,3,1.55724037235933,0.734737614169717,0.14583558031439,129.072799937287,"random search",-0.585963056356295,-0.156512757464814,-0.496727015428966,-0.0321106180465252,0.511111111111111,0.00555555555555556,0,1.95652173913043,92,2,0,180,180,92,0.289089482546063,0.183760699218605,0.527657004830918,0.18891757711625,0.244444444444444,0.0365203923884135,0.0333523903419816,0.00243994110205247,0.00195547067880751,0.00394013586570779,0.0642364383369489,0.0947414545389385,0.158417275590606,0.0575337187615392,0.0116985827387852,0.049911780616458,0.0047967522969347,0.0369620337448792,0.511111111111111,0.0111111111111111,0.0217391304347826
7,79,0.0569031518042489,0.810610581631772,15,1.42092953753426,0.0107813416980207,0.32907564720885,157.503646404414,"random search",-0.507635689393333,-0.156514939582781,-0.22500007368248,-0.032085297926876,0.511111111111111,0.00555555555555556,0,1.95652173913043,92,2,0,180,180,92,0.289089482546063,0.183760699218605,0.527657004830918,0.18891757711625,0.244444444444444,0.0365203923884135,0.0333523903419816,0.00243994110205247,0.00195547067880751,0.00394013586570779,0.0642364383369489,0.0947414545389385,0.158417275590606,0.0575337187615392,0.0116985827387852,0.049911780616458,0.0047967522969347,0.0369620337448792,0.511111111111111,0.0111111111111111,0.0217391304347826
8,1547,0.0338092236660149,0.500073992763646,1,1.88506315875621,0.438870696583763,3.09983112264356,4.02206548188104,"random search",0.651527805548444,0.638710782751529,0.592624417219266,0.788506389129526,0.511111111111111,0.00555555555555556,0,1.95652173913043,92,2,0,180,180,92,0.289089482546063,0.183760699218605,0.527657004830918,0.18891757711625,0.244444444444444,0.0365203923884135,0.0333523903419816,0.00243994110205247,0.00195547067880751,0.00394013586570779,0.0642364383369489,0.0947414545389385,0.158417275590606,0.0575337187615392,0.0116985827387852,0.049911780616458,0.0047967522969347,0.0369620337448792,0.511111111111111,0.0111111111111111,0.0217391304347826
