"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.683196374557395,0.565108238908935,0.804986800792084,0.72610786604017,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.258588545322006,0.169947402216442,0.546448432760364,0.171121608561106,0.313953488372093,0.0487676791865505,0.0419660229391205,0.00412919438735208,0.0027162390551724,0.0043771492145643,0.0967636758066942,0.10428741413577,0.164063604241942,0.0577910762349416,0.0186142062755006,0.0483455561778261,0.00838821714395823,0.0514828635948892,0.534883720930233,0.0116279069767442,0.0217391304347826
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.618259358607048,0.569117820825236,0.764422658338007,0.700519372602448,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.258588545322006,0.169947402216442,0.546448432760364,0.171121608561106,0.313953488372093,0.0487676791865505,0.0419660229391205,0.00412919438735208,0.0027162390551724,0.0043771492145643,0.0967636758066942,0.10428741413577,0.164063604241942,0.0577910762349416,0.0186142062755006,0.0483455561778261,0.00838821714395823,0.0514828635948892,0.534883720930233,0.0116279069767442,0.0217391304347826
1,2400,0.0216842709516451,0.877841097535565,17,15.5689701336475,0.468549993121997,2.39747130816353,4.62683716929286,"random search",0.415949938839161,0.495355399195603,0.554604786062538,0.546121209369256,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.258588545322006,0.169947402216442,0.546448432760364,0.171121608561106,0.313953488372093,0.0487676791865505,0.0419660229391205,0.00412919438735208,0.0027162390551724,0.0043771492145643,0.0967636758066942,0.10428741413577,0.164063604241942,0.0577910762349416,0.0186142062755006,0.0483455561778261,0.00838821714395823,0.0514828635948892,0.534883720930233,0.0116279069767442,0.0217391304347826
2,3412,0.143442025652392,0.369134181085974,7,49.4815198079726,0.94201259012334,0.0378823990090087,88.1562397590945,"random search",-0.862516203793405,-2.28418630181806,-0.641561932865928,-2.15544063788651,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.258588545322006,0.169947402216442,0.546448432760364,0.171121608561106,0.313953488372093,0.0487676791865505,0.0419660229391205,0.00412919438735208,0.0027162390551724,0.0043771492145643,0.0967636758066942,0.10428741413577,0.164063604241942,0.0577910762349416,0.0186142062755006,0.0483455561778261,0.00838821714395823,0.0514828635948892,0.534883720930233,0.0116279069767442,0.0217391304347826
3,4636,0.00799725197151798,0.720978083577938,22,1.57962675693688,0.109885558718815,0.00239821549093567,129.521016588467,"random search",-0.882648994363588,-2.28417477218687,-0.53314053278717,-2.15561808961764,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.258588545322006,0.169947402216442,0.546448432760364,0.171121608561106,0.313953488372093,0.0487676791865505,0.0419660229391205,0.00412919438735208,0.0027162390551724,0.0043771492145643,0.0967636758066942,0.10428741413577,0.164063604241942,0.0577910762349416,0.0186142062755006,0.0483455561778261,0.00838821714395823,0.0514828635948892,0.534883720930233,0.0116279069767442,0.0217391304347826
4,970,0.00268300492216047,0.257738077524118,4,2.29558130072812,0.859031559433788,0.0448886309393264,72.4231261258426,"random search",-0.841699401827267,-2.28423416006126,-0.582357149257817,-2.15516701688027,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.258588545322006,0.169947402216442,0.546448432760364,0.171121608561106,0.313953488372093,0.0487676791865505,0.0419660229391205,0.00412919438735208,0.0027162390551724,0.0043771492145643,0.0967636758066942,0.10428741413577,0.164063604241942,0.0577910762349416,0.0186142062755006,0.0483455561778261,0.00838821714395823,0.0514828635948892,0.534883720930233,0.0116279069767442,0.0217391304347826
5,2934,0.295365958849342,0.798804963752627,1,1.0580660616194,0.787036116002128,0.00236078282410397,95.4451048312853,"random search",-0.750462856828274,-2.28426054634782,-0.667252980159517,-2.15570379068115,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.258588545322006,0.169947402216442,0.546448432760364,0.171121608561106,0.313953488372093,0.0487676791865505,0.0419660229391205,0.00412919438735208,0.0027162390551724,0.0043771492145643,0.0967636758066942,0.10428741413577,0.164063604241942,0.0577910762349416,0.0186142062755006,0.0483455561778261,0.00838821714395823,0.0514828635948892,0.534883720930233,0.0116279069767442,0.0217391304347826
6,4822,0.0982365873466544,0.8089949228568,18,34.739139445554,0.102001097751781,0.0051210281739032,168.359448097689,"random search",-0.776249503582259,-2.28416913573464,-0.964416636500515,-2.15533731533402,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.258588545322006,0.169947402216442,0.546448432760364,0.171121608561106,0.313953488372093,0.0487676791865505,0.0419660229391205,0.00412919438735208,0.0027162390551724,0.0043771492145643,0.0967636758066942,0.10428741413577,0.164063604241942,0.0577910762349416,0.0186142062755006,0.0483455561778261,0.00838821714395823,0.0514828635948892,0.534883720930233,0.0116279069767442,0.0217391304347826
7,2702,0.106887537537575,0.405932664684951,3,11.3663588502752,0.111678440356627,0.150586149475299,0.38388918515796,"random search",0.704186836086155,0.609951762849037,0.813591767827073,0.753108329454105,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.258588545322006,0.169947402216442,0.546448432760364,0.171121608561106,0.313953488372093,0.0487676791865505,0.0419660229391205,0.00412919438735208,0.0027162390551724,0.0043771492145643,0.0967636758066942,0.10428741413577,0.164063604241942,0.0577910762349416,0.0186142062755006,0.0483455561778261,0.00838821714395823,0.0514828635948892,0.534883720930233,0.0116279069767442,0.0217391304347826
8,1235,0.0327554073091974,0.149773859558627,5,3.67883343708731,0.53784522251226,0.0249910008829067,0.671698776418132,"random search",0.58924695832147,0.564967371052004,0.75397451045504,0.707982643988561,0.534883720930233,0.00581395348837209,0,1.8695652173913,92,2,0,172,172,92,0.258588545322006,0.169947402216442,0.546448432760364,0.171121608561106,0.313953488372093,0.0487676791865505,0.0419660229391205,0.00412919438735208,0.0027162390551724,0.0043771492145643,0.0967636758066942,0.10428741413577,0.164063604241942,0.0577910762349416,0.0186142062755006,0.0483455561778261,0.00838821714395823,0.0514828635948892,0.534883720930233,0.0116279069767442,0.0217391304347826
