"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.588322081976176,0.307795525092609,0.557060984617374,0.470906248742238,0.0730994152046784,0.00242718446601942,0.0100315551677717,13.68,50,1,7,412,684,43,0.12004787064896,0.110810648093702,0.556815353987806,0.103265541073528,0.0394736842105263,0.0350604463753809,0.0607046648383215,0.00490890372391494,0.00374463216694335,0.0265058985200398,0.0304694061914414,0.0897639703886093,0.115217068836632,0.0538204139906394,0.00859245556302969,0.0658413219053132,0.0025450071314582,0.044020924390843,0.137426900584795,0.00146198830409357,0.0106382978723404
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.557528211641153,0.381594532598769,0.41799007361319,0.300933521068631,0.0730994152046784,0.00242718446601942,0.0100315551677717,13.68,50,1,7,412,684,43,0.12004787064896,0.110810648093702,0.556815353987806,0.103265541073528,0.0394736842105263,0.0350604463753809,0.0607046648383215,0.00490890372391494,0.00374463216694335,0.0265058985200398,0.0304694061914414,0.0897639703886093,0.115217068836632,0.0538204139906394,0.00859245556302969,0.0658413219053132,0.0025450071314582,0.044020924390843,0.137426900584795,0.00146198830409357,0.0106382978723404
1,2459,0.534274454586753,0.362748766154982,20,55.73336232622,0.863661273382604,0.0103877080419618,0.081331232267824,"random search",0.431917789216701,-0.022838588710258,0.306409320882236,-0.249994849254196,0.0730994152046784,0.00242718446601942,0.0100315551677717,13.68,50,1,7,412,684,43,0.12004787064896,0.110810648093702,0.556815353987806,0.103265541073528,0.0394736842105263,0.0350604463753809,0.0607046648383215,0.00490890372391494,0.00374463216694335,0.0265058985200398,0.0304694061914414,0.0897639703886093,0.115217068836632,0.0538204139906394,0.00859245556302969,0.0658413219053132,0.0025450071314582,0.044020924390843,0.137426900584795,0.00146198830409357,0.0106382978723404
2,1167,0.226240899993949,0.806713495170698,10,22.1378340203204,0.910440968116745,0.0699028284194382,74.5662965397272,"random search",0.479023840822685,0.317968074918046,0.315580719681812,0.0979607501310623,0.0730994152046784,0.00242718446601942,0.0100315551677717,13.68,50,1,7,412,684,43,0.12004787064896,0.110810648093702,0.556815353987806,0.103265541073528,0.0394736842105263,0.0350604463753809,0.0607046648383215,0.00490890372391494,0.00374463216694335,0.0265058985200398,0.0304694061914414,0.0897639703886093,0.115217068836632,0.0538204139906394,0.00859245556302969,0.0658413219053132,0.0025450071314582,0.044020924390843,0.137426900584795,0.00146198830409357,0.0106382978723404
3,1580,0.0936415163807345,0.715862749307416,8,7.62206905136491,0.396624441724271,200.289255307349,0.0142396942327292,"random search",0.514688378325487,0.384960027858555,0.367485321277619,0.267480808441948,0.0730994152046784,0.00242718446601942,0.0100315551677717,13.68,50,1,7,412,684,43,0.12004787064896,0.110810648093702,0.556815353987806,0.103265541073528,0.0394736842105263,0.0350604463753809,0.0607046648383215,0.00490890372391494,0.00374463216694335,0.0265058985200398,0.0304694061914414,0.0897639703886093,0.115217068836632,0.0538204139906394,0.00859245556302969,0.0658413219053132,0.0025450071314582,0.044020924390843,0.137426900584795,0.00146198830409357,0.0106382978723404
4,1968,0.00338564043243994,0.992993614077568,22,115.736338480878,0.500354176852852,0.00815736328853892,0.229642712494201,"random search",0.32317001995638,0.320172711193814,0.263756207887804,0.260550432535452,0.0730994152046784,0.00242718446601942,0.0100315551677717,13.68,50,1,7,412,684,43,0.12004787064896,0.110810648093702,0.556815353987806,0.103265541073528,0.0394736842105263,0.0350604463753809,0.0607046648383215,0.00490890372391494,0.00374463216694335,0.0265058985200398,0.0304694061914414,0.0897639703886093,0.115217068836632,0.0538204139906394,0.00859245556302969,0.0658413219053132,0.0025450071314582,0.044020924390843,0.137426900584795,0.00146198830409357,0.0106382978723404
5,4512,0.00150364406313804,0.736417802143842,24,2.67487818039278,0.51339380373247,0.00683700740370316,248.69731735914,"random search",0.456853262453851,0.424468089880598,0.472295601410599,0.445717364313791,0.0730994152046784,0.00242718446601942,0.0100315551677717,13.68,50,1,7,412,684,43,0.12004787064896,0.110810648093702,0.556815353987806,0.103265541073528,0.0394736842105263,0.0350604463753809,0.0607046648383215,0.00490890372391494,0.00374463216694335,0.0265058985200398,0.0304694061914414,0.0897639703886093,0.115217068836632,0.0538204139906394,0.00859245556302969,0.0658413219053132,0.0025450071314582,0.044020924390843,0.137426900584795,0.00146198830409357,0.0106382978723404
6,3789,0.0261577777259325,0.506041138363071,23,14.4133861361402,0.402914859121665,0.0915447919858047,395.606237099174,"random search",0.313672458559138,0.322967268799412,0.321734088591027,0.32681620660019,0.0730994152046784,0.00242718446601942,0.0100315551677717,13.68,50,1,7,412,684,43,0.12004787064896,0.110810648093702,0.556815353987806,0.103265541073528,0.0394736842105263,0.0350604463753809,0.0607046648383215,0.00490890372391494,0.00374463216694335,0.0265058985200398,0.0304694061914414,0.0897639703886093,0.115217068836632,0.0538204139906394,0.00859245556302969,0.0658413219053132,0.0025450071314582,0.044020924390843,0.137426900584795,0.00146198830409357,0.0106382978723404
7,861,0.00147154602732111,0.454026302602142,21,1.56539032238799,0.110076433280483,0.752405543642006,131.38285621082,"random search",0.159709748604137,0.189594462777437,0.237440676371726,0.264519622008259,0.0730994152046784,0.00242718446601942,0.0100315551677717,13.68,50,1,7,412,684,43,0.12004787064896,0.110810648093702,0.556815353987806,0.103265541073528,0.0394736842105263,0.0350604463753809,0.0607046648383215,0.00490890372391494,0.00374463216694335,0.0265058985200398,0.0304694061914414,0.0897639703886093,0.115217068836632,0.0538204139906394,0.00859245556302969,0.0658413219053132,0.0025450071314582,0.044020924390843,0.137426900584795,0.00146198830409357,0.0106382978723404
8,704,0.263389764178277,0.248380821733736,17,25.5693366933321,0.636218934552744,102.628281437927,148.335801722665,"random search",0.319301889814106,0.314008761065228,0.250131804276887,0.294790735376611,0.0730994152046784,0.00242718446601942,0.0100315551677717,13.68,50,1,7,412,684,43,0.12004787064896,0.110810648093702,0.556815353987806,0.103265541073528,0.0394736842105263,0.0350604463753809,0.0607046648383215,0.00490890372391494,0.00374463216694335,0.0265058985200398,0.0304694061914414,0.0897639703886093,0.115217068836632,0.0538204139906394,0.00859245556302969,0.0658413219053132,0.0025450071314582,0.044020924390843,0.137426900584795,0.00146198830409357,0.0106382978723404
