"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.663334020713574,0.43283721852475,0.600156893474935,0.395297905419059,0.0745156482861401,0.00253164556962025,0.00998636403783106,13.42,50,1,7,395,671,43,0.129782629453616,0.11482042287809,0.576529156229191,0.12096130052769,0.0730253353204173,0.0460522100488358,0.0637382181520506,0.00617731201706305,0.00475285826320121,0.0219495877196494,0.0440977571528638,0.107700616366574,0.122184734525824,0.0542610801494706,0.0112870496027526,0.0668687232545966,0.00169632399973608,0.0300001335836006,0.140089418777943,0.0014903129657228,0.0106382978723404
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.641631370094516,0.472205353612978,0.657898455914132,0.512029553242185,0.0745156482861401,0.00253164556962025,0.00998636403783106,13.42,50,1,7,395,671,43,0.129782629453616,0.11482042287809,0.576529156229191,0.12096130052769,0.0730253353204173,0.0460522100488358,0.0637382181520506,0.00617731201706305,0.00475285826320121,0.0219495877196494,0.0440977571528638,0.107700616366574,0.122184734525824,0.0542610801494706,0.0112870496027526,0.0668687232545966,0.00169632399973608,0.0300001335836006,0.140089418777943,0.0014903129657228,0.0106382978723404
1,4222,0.0247301299288533,0.54766659361776,6,60.318785474638,0.267870342126116,264.966147696535,0.196608875782829,"random search",0.575779966675773,0.4926225290811,0.54319695889001,0.487465396915113,0.0745156482861401,0.00253164556962025,0.00998636403783106,13.42,50,1,7,395,671,43,0.129782629453616,0.11482042287809,0.576529156229191,0.12096130052769,0.0730253353204173,0.0460522100488358,0.0637382181520506,0.00617731201706305,0.00475285826320121,0.0219495877196494,0.0440977571528638,0.107700616366574,0.122184734525824,0.0542610801494706,0.0112870496027526,0.0668687232545966,0.00169632399973608,0.0300001335836006,0.140089418777943,0.0014903129657228,0.0106382978723404
2,1712,0.078654558633059,0.267359056905843,23,16.4903965581081,0.562852644827217,540.748624511257,0.00425118033848868,"random search",0.538629250194338,0.509110674164908,0.486789515553763,0.442347607845739,0.0745156482861401,0.00253164556962025,0.00998636403783106,13.42,50,1,7,395,671,43,0.129782629453616,0.11482042287809,0.576529156229191,0.12096130052769,0.0730253353204173,0.0460522100488358,0.0637382181520506,0.00617731201706305,0.00475285826320121,0.0219495877196494,0.0440977571528638,0.107700616366574,0.122184734525824,0.0542610801494706,0.0112870496027526,0.0668687232545966,0.00169632399973608,0.0300001335836006,0.140089418777943,0.0014903129657228,0.0106382978723404
3,4482,0.00150053379692326,0.40177974535618,6,3.55616199821512,0.767378903226927,0.433258931665609,0.069692124577195,"random search",0.6134273333203,0.44316430409193,0.649342696664058,0.573894042161509,0.0745156482861401,0.00253164556962025,0.00998636403783106,13.42,50,1,7,395,671,43,0.129782629453616,0.11482042287809,0.576529156229191,0.12096130052769,0.0730253353204173,0.0460522100488358,0.0637382181520506,0.00617731201706305,0.00475285826320121,0.0219495877196494,0.0440977571528638,0.107700616366574,0.122184734525824,0.0542610801494706,0.0112870496027526,0.0668687232545966,0.00169632399973608,0.0300001335836006,0.140089418777943,0.0014903129657228,0.0106382978723404
4,4505,0.665687633942049,0.539854326052591,6,66.5611828399874,0.45640798471868,0.250224784549492,0.0890690506623812,"random search",0.607673365597731,0.281907510845185,0.559217707399598,0.272937768450841,0.0745156482861401,0.00253164556962025,0.00998636403783106,13.42,50,1,7,395,671,43,0.129782629453616,0.11482042287809,0.576529156229191,0.12096130052769,0.0730253353204173,0.0460522100488358,0.0637382181520506,0.00617731201706305,0.00475285826320121,0.0219495877196494,0.0440977571528638,0.107700616366574,0.122184734525824,0.0542610801494706,0.0112870496027526,0.0668687232545966,0.00169632399973608,0.0300001335836006,0.140089418777943,0.0014903129657228,0.0106382978723404
5,1123,0.0338082233168814,0.487609835783951,1,6.59724974212018,0.989840731490403,1.08209127653579,0.00618128995191569,"random search",0.55606505178585,0.324189580309647,0.619778952117243,0.461629759508605,0.0745156482861401,0.00253164556962025,0.00998636403783106,13.42,50,1,7,395,671,43,0.129782629453616,0.11482042287809,0.576529156229191,0.12096130052769,0.0730253353204173,0.0460522100488358,0.0637382181520506,0.00617731201706305,0.00475285826320121,0.0219495877196494,0.0440977571528638,0.107700616366574,0.122184734525824,0.0542610801494706,0.0112870496027526,0.0668687232545966,0.00169632399973608,0.0300001335836006,0.140089418777943,0.0014903129657228,0.0106382978723404
6,1962,0.00144068880429289,0.10700713484548,14,60.9378415453446,0.35837141238153,0.00107954427282111,0.175854214604715,"random search",-0.488975530424201,-0.00411529186020543,-0.576494555797325,-1.74607854659392e-05,0.0745156482861401,0.00253164556962025,0.00998636403783106,13.42,50,1,7,395,671,43,0.129782629453616,0.11482042287809,0.576529156229191,0.12096130052769,0.0730253353204173,0.0460522100488358,0.0637382181520506,0.00617731201706305,0.00475285826320121,0.0219495877196494,0.0440977571528638,0.107700616366574,0.122184734525824,0.0542610801494706,0.0112870496027526,0.0668687232545966,0.00169632399973608,0.0300001335836006,0.140089418777943,0.0014903129657228,0.0106382978723404
7,4179,0.00221280683756862,0.229547371785156,3,14.2943826853995,0.309057986596599,0.378191297306302,219.412798073709,"random search",0.429038984918253,0.432393129060811,0.420830396510467,0.419137331424768,0.0745156482861401,0.00253164556962025,0.00998636403783106,13.42,50,1,7,395,671,43,0.129782629453616,0.11482042287809,0.576529156229191,0.12096130052769,0.0730253353204173,0.0460522100488358,0.0637382181520506,0.00617731201706305,0.00475285826320121,0.0219495877196494,0.0440977571528638,0.107700616366574,0.122184734525824,0.0542610801494706,0.0112870496027526,0.0668687232545966,0.00169632399973608,0.0300001335836006,0.140089418777943,0.0014903129657228,0.0106382978723404
8,3382,0.0277027656437936,0.334228793275543,9,1.36487449337036,0.783154805889353,6.59694612133159,3.41320838889016,"random search",0.634884787157854,0.437930478979184,0.706324561573315,0.564258856319642,0.0745156482861401,0.00253164556962025,0.00998636403783106,13.42,50,1,7,395,671,43,0.129782629453616,0.11482042287809,0.576529156229191,0.12096130052769,0.0730253353204173,0.0460522100488358,0.0637382181520506,0.00617731201706305,0.00475285826320121,0.0219495877196494,0.0440977571528638,0.107700616366574,0.122184734525824,0.0542610801494706,0.0112870496027526,0.0668687232545966,0.00169632399973608,0.0300001335836006,0.140089418777943,0.0014903129657228,0.0106382978723404
