"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.761200212353837,0.652114368300012,0.805978003782425,0.707266446885633,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.63657606690444,0.104316897311622,0.684971098265896,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.117560509147757,0.0618253036441809,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.135838150289017,0.00144508670520231,0.0106382978723404
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.779524221084708,0.709877079787073,0.767624300369116,0.717435434681798,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.63657606690444,0.104316897311622,0.684971098265896,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.117560509147757,0.0618253036441809,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.135838150289017,0.00144508670520231,0.0106382978723404
1,4734,0.00250143622501974,0.565629344037734,12,3.87733028943517,0.0768357394263148,0.0327985854829195,0.00381355306796551,"random search",0.678116783632269,0.689885684957698,0.674747197484557,0.71723337786655,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.63657606690444,0.104316897311622,0.684971098265896,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.117560509147757,0.0618253036441809,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.135838150289017,0.00144508670520231,0.0106382978723404
2,1975,0.296607015312487,0.514303706074134,22,9.0255775429938,0.87141887540929,54.5708138273609,1.92923736858284,"random search",0.795379248956637,0.723239275795758,0.755645509515453,0.730435813860946,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.63657606690444,0.104316897311622,0.684971098265896,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.117560509147757,0.0618253036441809,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.135838150289017,0.00144508670520231,0.0106382978723404
3,2130,0.00458356195626121,0.458616352430545,21,54.5729790350419,0.161551869241521,2.22048932268592,0.145610901409663,"random search",0.630221652421095,0.589200022639814,0.606057308772265,0.555443084415056,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.63657606690444,0.104316897311622,0.684971098265896,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.117560509147757,0.0618253036441809,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.135838150289017,0.00144508670520231,0.0106382978723404
4,978,0.213076740591835,0.715825516683981,5,1.53403166335378,0.593465431593359,0.72729134461281,0.00511572079353465,"random search",0.785942864136677,0.707132122478759,0.724571231890401,0.664111007926109,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.63657606690444,0.104316897311622,0.684971098265896,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.117560509147757,0.0618253036441809,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.135838150289017,0.00144508670520231,0.0106382978723404
5,4616,0.00130510163343334,0.617437916249037,8,1.21687309222073,0.51820228388533,0.00234415266968013,0.00160169123750356,"random search",0.771653755347307,0.725863225674876,0.754605920995243,0.721455166151276,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.63657606690444,0.104316897311622,0.684971098265896,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.117560509147757,0.0618253036441809,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.135838150289017,0.00144508670520231,0.0106382978723404
6,45,0.00111684412570332,0.283031829679385,5,29.4588221230653,0.452876607654616,0.00236618054354301,70.3456071403413,"random search",-0.177307873080177,-0.280419577695414,-0.152484469438821,-0.309631882659684,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.63657606690444,0.104316897311622,0.684971098265896,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.117560509147757,0.0618253036441809,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.135838150289017,0.00144508670520231,0.0106382978723404
7,2343,0.00136987889274258,0.931400583940558,18,30.6086811385113,0.278937241062522,0.162278345436635,0.0343384664817621,"random search",0.678849401525411,0.647002685323228,0.643987368179519,0.585243094058359,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.63657606690444,0.104316897311622,0.684971098265896,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.117560509147757,0.0618253036441809,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.135838150289017,0.00144508670520231,0.0106382978723404
8,3885,0.00885054636800754,0.18169913943857,11,23.3893058004554,0.97000578022562,0.00743692605942058,223.043059681636,"random search",0.698061105392491,0.638006166414298,0.630175848041466,0.596557129939511,0.0722543352601156,0.00235294117647059,0.0145894727643163,13.84,50,1,7,425,692,43,0.116404239970084,0.11209672607672,0.63657606690444,0.104316897311622,0.684971098265896,0.076120163785706,0.08025196383517,0.0122253501299743,0.00883871942001485,0.018071547660111,0.07278533590613,0.13312175149932,0.117560509147757,0.0618253036441809,0.0192859325877963,0.0675345860631839,0.00353288645514301,0.0268242599061823,0.135838150289017,0.00144508670520231,0.0106382978723404
