"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.539093241129393,0.290344925996846,0.65566678881226,0.64804799713563,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.312168027438006,0.250982089378893,0.0185449358059914,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0612277842211599,0.0452225931895573,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.134094151212553,0.0014265335235378,0.0106382978723404
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",-20.0599380435202,-9.23861998327846,-2.98250995041697,-0.888695117435042,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.312168027438006,0.250982089378893,0.0185449358059914,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0612277842211599,0.0452225931895573,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.134094151212553,0.0014265335235378,0.0106382978723404
1,3134,0.0065138904294375,0.279584553441964,25,16.879242570472,0.618137227371335,0.238344364243825,0.229622178599778,"random search",-11.4300324192255,-3.20195065821354,-1.1572300680965,-0.245080355645289,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.312168027438006,0.250982089378893,0.0185449358059914,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0612277842211599,0.0452225931895573,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.134094151212553,0.0014265335235378,0.0106382978723404
2,4134,0.0232509511948773,0.264836298511364,20,1.9286634029875,0.781846410827711,0.0902646895167168,0.0405913190139722,"random search",-1.02053571974221,0.237360682222223,0.499006836606402,0.53636436154589,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.312168027438006,0.250982089378893,0.0185449358059914,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0612277842211599,0.0452225931895573,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.134094151212553,0.0014265335235378,0.0106382978723404
3,1860,0.014731774304087,0.706454415037297,11,21.1665001073223,0.235886230366305,0.0777305713552828,23.2816189254396,"random search",-519.690181984803,-5690.81797755346,-109.754729815263,-913.487266419922,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.312168027438006,0.250982089378893,0.0185449358059914,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0612277842211599,0.0452225931895573,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.134094151212553,0.0014265335235378,0.0106382978723404
4,3088,0.00282025777752015,0.697219201014377,20,29.5968536416602,0.330487770261243,21.119312412403,0.230713464932708,"random search",-5.77790027778334,-0.834657308937987,-0.214207271253856,0.123094915411511,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.312168027438006,0.250982089378893,0.0185449358059914,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0612277842211599,0.0452225931895573,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.134094151212553,0.0014265335235378,0.0106382978723404
5,2977,0.0010527746079055,0.7441350574838,8,3.89651298928759,0.924309328664094,0.655520278154309,0.193570354394169,"random search",-229.551570067555,-1115.67623643267,-52.8536504264604,-215.845457124033,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.312168027438006,0.250982089378893,0.0185449358059914,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0612277842211599,0.0452225931895573,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.134094151212553,0.0014265335235378,0.0106382978723404
6,3584,0.546752653467869,0.867966488469392,2,2.27960889236577,0.187410520622507,0.169350716586917,0.433678604566268,"random search",-6.81023556445218,-1.13509088730279,-0.359281004700924,0.181316681789193,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.312168027438006,0.250982089378893,0.0185449358059914,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0612277842211599,0.0452225931895573,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.134094151212553,0.0014265335235378,0.0106382978723404
7,447,0.0492221346297266,0.986947269341908,23,5.98968539133803,0.189002331346273,10.3171636385532,0.0101512107144851,"random search",0.328887051989993,0.308984908817767,0.496638777044333,0.52330109152828,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.312168027438006,0.250982089378893,0.0185449358059914,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0612277842211599,0.0452225931895573,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.134094151212553,0.0014265335235378,0.0106382978723404
8,1062,0.0189054964926055,0.890314618567936,3,7.94490059264212,0.915565522853285,6.86285793160569,0.00237410300800837,"random search",0.487783877087857,0.375022972662854,0.532297530239714,0.626169263912647,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.312168027438006,0.250982089378893,0.0185449358059914,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0612277842211599,0.0452225931895573,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.134094151212553,0.0014265335235378,0.0106382978723404
9,3949,0.0756114816829244,0.123170120711438,19,10.2909031384774,0.448849785840139,0.00140228908397892,1.68341236858993,"random search",-173.165447909579,-636.703453860972,-35.9187935773679,-101.270954137775,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.312168027438006,0.250982089378893,0.0185449358059914,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0612277842211599,0.0452225931895573,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.134094151212553,0.0014265335235378,0.0106382978723404
10,2813,0.110642840674524,0.620671086618677,9,26.6431362896595,1.23865902423859e-06,1017.31905725001,0.00984454645037849,"random search",-0.141988343853107,0.0426147052862818,-0.114895951790318,0.0358317974271244,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.312168027438006,0.250982089378893,0.0185449358059914,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0612277842211599,0.0452225931895573,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.134094151212553,0.0014265335235378,0.0106382978723404
11,1758,0.00694991618691122,0.271757025993429,24,4.14546157683748,0.176180237904191,204.441350052476,0.0223273002864622,"random search",-20.1235810754092,-9.27895984026185,-2.1266399815549,-0.524834631710142,0.0713266761768902,0.0227272727272727,0.136242643722524,14.02,50,1,7,44,701,43,0.141753671617041,0.137747221019083,0.312168027438006,0.250982089378893,0.0185449358059914,0.0229556723922644,0.044968288618164,0.0025462252157692,0.00241650766328295,0.0170248149249084,0.0094915514592934,0.0594313373926832,0.0612277842211599,0.0452225931895573,0.00342548815766057,0.0300747186704813,0.000760761559098673,0.016991845637202,0.134094151212553,0.0014265335235378,0.0106382978723404
