"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.818613364574026,0.713217478007377,0.649837054273408,0.550811681227241,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.300420815385399,0.236325191139015,0.510017327268789,0.165387801792076,0.497076023391813,0.0430576080183317,0.0415273810745198,0.00356839605512829,0.00300482717829384,0.00768142947525615,0.0716636728440618,0.116232568469013,0.16856779147141,0.0813086316006795,0.0148944339646116,0.0397707141975083,0.000329079137994414,0.00281804566161094,0.631578947368421,0.0116959064327485,0.0185185185185185
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.802731432173998,0.758439791308755,0.718975275277644,0.715066952565183,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.300420815385399,0.236325191139015,0.510017327268789,0.165387801792076,0.497076023391813,0.0430576080183317,0.0415273810745198,0.00356839605512829,0.00300482717829384,0.00768142947525615,0.0716636728440618,0.116232568469013,0.16856779147141,0.0813086316006795,0.0148944339646116,0.0397707141975083,0.000329079137994414,0.00281804566161094,0.631578947368421,0.0116959064327485,0.0185185185185185
1,900,0.00345775526178427,0.809935616306029,14,4.68106283394955,0.77835559588857,695.207106479461,2.13046041322201,"random search",0.057847869234557,0.14084445279065,0.0631447824837215,0.120395631705374,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.300420815385399,0.236325191139015,0.510017327268789,0.165387801792076,0.497076023391813,0.0430576080183317,0.0415273810745198,0.00356839605512829,0.00300482717829384,0.00768142947525615,0.0716636728440618,0.116232568469013,0.16856779147141,0.0813086316006795,0.0148944339646116,0.0397707141975083,0.000329079137994414,0.00281804566161094,0.631578947368421,0.0116959064327485,0.0185185185185185
2,1191,0.0930379866173618,0.295698751183227,23,8.89533754624164,0.0151546832639724,61.8115852423913,0.0240758719508789,"random search",0.667199979995123,0.646591207560001,0.619793430198821,0.54855105571669,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.300420815385399,0.236325191139015,0.510017327268789,0.165387801792076,0.497076023391813,0.0430576080183317,0.0415273810745198,0.00356839605512829,0.00300482717829384,0.00768142947525615,0.0716636728440618,0.116232568469013,0.16856779147141,0.0813086316006795,0.0148944339646116,0.0397707141975083,0.000329079137994414,0.00281804566161094,0.631578947368421,0.0116959064327485,0.0185185185185185
3,3086,0.0656872142632756,0.425943864439614,23,16.8954882432098,0.173283061012626,6.82758436224528,24.5435182624415,"random search",-0.352602728747132,-0.00879857160063113,-0.000339722977709567,0.0231819590133855,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.300420815385399,0.236325191139015,0.510017327268789,0.165387801792076,0.497076023391813,0.0430576080183317,0.0415273810745198,0.00356839605512829,0.00300482717829384,0.00768142947525615,0.0716636728440618,0.116232568469013,0.16856779147141,0.0813086316006795,0.0148944339646116,0.0397707141975083,0.000329079137994414,0.00281804566161094,0.631578947368421,0.0116959064327485,0.0185185185185185
4,464,0.273558954514604,0.799072598549537,25,1.56242918511455,0.891330266371369,15.098349307473,0.0229607244324774,"random search",0.811872701764894,0.742213424278871,0.698114382635754,0.696865025168265,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.300420815385399,0.236325191139015,0.510017327268789,0.165387801792076,0.497076023391813,0.0430576080183317,0.0415273810745198,0.00356839605512829,0.00300482717829384,0.00768142947525615,0.0716636728440618,0.116232568469013,0.16856779147141,0.0813086316006795,0.0148944339646116,0.0397707141975083,0.000329079137994414,0.00281804566161094,0.631578947368421,0.0116959064327485,0.0185185185185185
5,3725,0.132002482643084,0.1830125706736,18,84.263152663433,0.08763642096892,763.754988272125,2.06687672377985,"random search",-0.596251308729403,-0.0191951117177471,-0.362146193296076,-0.00376983266207476,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.300420815385399,0.236325191139015,0.510017327268789,0.165387801792076,0.497076023391813,0.0430576080183317,0.0415273810745198,0.00356839605512829,0.00300482717829384,0.00768142947525615,0.0716636728440618,0.116232568469013,0.16856779147141,0.0813086316006795,0.0148944339646116,0.0397707141975083,0.000329079137994414,0.00281804566161094,0.631578947368421,0.0116959064327485,0.0185185185185185
6,3555,0.0582034109803426,0.247327536065131,13,39.3181968883363,0.289565074723214,0.00118666151624897,0.00155788884638807,"random search",-0.565702372090449,-0.0217698901666166,-0.418954836870419,-0.000755151532585874,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.300420815385399,0.236325191139015,0.510017327268789,0.165387801792076,0.497076023391813,0.0430576080183317,0.0415273810745198,0.00356839605512829,0.00300482717829384,0.00768142947525615,0.0716636728440618,0.116232568469013,0.16856779147141,0.0813086316006795,0.0148944339646116,0.0397707141975083,0.000329079137994414,0.00281804566161094,0.631578947368421,0.0116959064327485,0.0185185185185185
7,4135,0.100407696042746,0.199306434509344,6,2.95019018353055,0.0149559539277107,0.264038608982541,17.9919190107372,"random search",-0.436805000124617,-0.0102823093354276,-0.387569326709343,-0.000869541548192077,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.300420815385399,0.236325191139015,0.510017327268789,0.165387801792076,0.497076023391813,0.0430576080183317,0.0415273810745198,0.00356839605512829,0.00300482717829384,0.00768142947525615,0.0716636728440618,0.116232568469013,0.16856779147141,0.0813086316006795,0.0148944339646116,0.0397707141975083,0.000329079137994414,0.00281804566161094,0.631578947368421,0.0116959064327485,0.0185185185185185
8,3341,0.0199420596868087,0.495723479287699,1,70.8564571906724,0.40688617550768,3.0766083910147,0.00593881645370629,"random search",-0.591434136711304,-0.016650468221008,-0.481983125476898,-0.00247739628341415,0.403508771929825,0.00584795321637427,0,2.47826086956522,69,3,9,171,171,60,0.300420815385399,0.236325191139015,0.510017327268789,0.165387801792076,0.497076023391813,0.0430576080183317,0.0415273810745198,0.00356839605512829,0.00300482717829384,0.00768142947525615,0.0716636728440618,0.116232568469013,0.16856779147141,0.0813086316006795,0.0148944339646116,0.0397707141975083,0.000329079137994414,0.00281804566161094,0.631578947368421,0.0116959064327485,0.0185185185185185
