"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.668051601407792,0.448389336574532,0.870597865479185,0.734645562294919,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.558691006125234,0.452671222065735,0.777243580238648,0.812340364568115,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
1,2614,0.0137259626884392,0.729815200786106,9,7.25121467494234,0.462492835009471,2.08509868630138,2.36667781046193,"random search",0.469677543188145,0.451257927089714,0.624727048411798,0.731718200566606,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
2,2458,0.00194572184053806,0.963927580113523,20,81.6921868508356,0.317333827726543,979.328876839487,45.4154416016662,"random search",-0.468320480451971,-2.33992505859257,-0.602185436403034,-3.03392481537596,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
3,3557,0.0118936957025503,0.447560050501488,9,116.61588875976,0.35123872384429,366.589067488701,0.0208665087544403,"random search",-0.527330070664757,-0.00661539994813087,-0.480497804940576,-0.000264032157170968,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
4,1681,0.0127670522792135,0.724254336720332,25,3.45679211687986,0.0765199635643512,2.40546579114246,54.9812633869868,"random search",-0.486233215642691,-2.34018195704045,-0.562905815306186,-3.03232029053556,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
5,1898,0.0166505695822111,0.840995628759265,1,9.70679406256911,0.577849843539298,41.9595290692758,1.73490293237392,"random search",0.495077369295268,0.479255709214473,0.641523742559092,0.680876651790423,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
6,517,0.0350900623940355,0.44896948763635,7,64.0672070920691,0.201382883358747,0.0486056100708431,3.36059140780834,"random search",-0.511439219595307,-0.0671571509885136,-0.426352092819964,-0.0636667720043849,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
7,1825,0.460515426809738,0.415440952731296,9,12.65639772935,0.461278802249581,4.19519935959701,396.773620077044,"random search",-0.376706604038252,-2.34029346115944,-0.404736535386002,-3.03395568887191,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
8,4272,0.949344999349997,0.986162764905021,22,29.6808594245831,0.0259868984576315,220.405985371797,481.378175816094,"random search",-0.453288216800998,-2.3400131123897,-0.48938498024603,-3.03343642064261,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
9,3137,0.0121843699738661,0.133766934880987,12,2.70187222679863,0.882601923076436,324.929280789229,2.15321457300475,"random search",-0.0216778457523039,-0.584663522280288,0.105147612244018,-0.503807583994245,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
10,4731,0.00157861844668289,0.709680729429238,12,3.4153626977633,0.396936699282378,0.388787983845937,0.0116938103818859,"random search",0.656969516071167,0.520639836120955,0.818995177798481,0.833029099310377,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
11,441,0.0122256551434665,0.349016151460819,17,38.2926389138378,0.856731279985979,55.7030102108744,133.392610413469,"random search",-0.468883869975953,-2.33983480992817,-0.349187198169448,-3.03288278583822,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
12,3921,0.0470902705326497,0.551290873857215,23,11.8727416038947,0.0482464395463467,0.0700817324945198,84.2274932863049,"random search",-0.38796953075946,-2.34029360976673,-0.33522951657682,-3.03402174951284,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
13,3612,0.0389811669308037,0.608813185780309,11,1.67922470123622,0.695958327734843,414.351653092436,0.0108330082193216,"random search",0.643383551610958,0.525957303331103,0.835755960091117,0.84116171026119,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
14,2602,0.263081440134018,0.658159563876689,21,19.7978819815502,0.649012141628191,1.00341913414004,0.000976609284120413,"random search",0.646486180790832,0.443078059378488,0.870761161002028,0.735048813598963,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
15,177,0.0161006474804726,0.645993193075992,5,89.324538594571,0.325695812702179,0.144084317051985,0.00296404683492235,"random search",-0.52336445584937,-0.0139605523970168,-0.413929075513069,-0.0135643661430966,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
16,2062,0.03520487947264,0.60507911790628,18,2.54330031821278,0.418644584948197,0.0139822879781376,0.0189408081593291,"random search",0.641355538272925,0.467147085534032,0.821246723982906,0.816432080677068,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
17,829,0.121324268359845,0.478512880625203,20,109.851443274465,0.586842061951756,0.00119099740112143,0.00317662303721055,"random search",-0.496795129645099,-0.00655337539326295,-0.358414381940512,-0.00126064142532623,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
18,3930,0.463029868346662,0.283058279613033,16,8.74962706994646,0.173132122727111,0.0504492290207601,0.980403427732953,"random search",0.621033147483205,0.435099762909479,0.793521666851994,0.753460846819567,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
19,2742,0.0042033172617755,0.153610625653528,13,36.5493439547665,0.896342317108065,0.00465518653119292,0.2250525394445,"random search",-0.520000474163623,-0.00789322044213314,-0.194460967595814,-2.22263794082966e-05,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
20,3811,0.100253103466973,0.313397322036326,6,14.3362582197017,0.436792521504685,4.56673542218035,22.6031315691915,"random search",-0.380994365474807,-2.34050529705125,-0.559524817388878,-3.03360764611413,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
21,4028,0.00572880140723261,0.346314471494406,2,1.83428938659529,0.9494850251358,73.7390704119554,0.00241304067393408,"random search",0.607271969063889,0.519731498660964,0.781013494660752,0.825192221230918,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
22,1155,0.0117583183831972,0.766099218884483,19,29.9692511910897,0.718037609476596,0.466273554584405,0.00852573717274969,"random search",0.642203687000844,0.514463708164733,0.822326708471996,0.797941169785652,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
23,550,0.183634471809643,0.13851851047948,15,5.09378620311966,0.410186568275094,0.0132035786673991,4.98975246340968,"random search",-0.268535401747807,-1.18170724436446,-0.0788218654192696,-1.20598163694601,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
24,1893,0.141694757528657,0.382337961602025,18,41.8127243461839,0.618215505499393,3.84600885719945,0.00446843483998362,"random search",-0.364453144307732,0.000842483097428515,0.434558450667115,0.439063459877697,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
25,3197,0.423313713548813,0.881838637334295,3,1.07859205946229,0.0467036140616983,0.00139814860867173,701.835286437245,"random search",-0.479387995148914,-2.33989671627856,-0.475077199403344,-3.03364629663377,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
26,3987,0.00651885558788366,0.899710760102607,9,26.3754557417282,0.883537379326299,45.0885440410591,104.849238379432,"random search",-0.464863781102859,-2.33974901612114,-0.454346298613431,-3.03349146569517,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
27,1156,0.0010139557874016,0.135662658605725,22,22.3972451756474,0.708263206994161,0.571107775287269,0.00522707020493436,"random search",-0.528925011171802,-0.245116639811749,-0.311294084671313,-0.319182752140554,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
28,308,0.0232230906000331,0.384112855582498,19,33.9841347641338,0.423556723864749,0.0123289411101137,1.33628028004068,"random search",0.111056728277687,0.19576418016007,0.389109614434698,0.423532351711023,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
29,3840,0.135300430194919,0.122340520378202,24,77.774278795601,0.436240768991411,22.5178037316991,0.00218389913355516,"random search",-0.411358599270783,-0.0051246152120874,-0.300242373334432,-0.000419316838487171,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
30,1255,0.00476246871737063,0.581857329467312,8,1.70048018632054,0.0888620314653963,0.0233725307129145,1.24005624885548,"random search",0.454700665534126,0.450221388160597,0.576341592518017,0.672039024308753,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
31,2947,0.0178464843576579,0.81203825653065,24,2.6005594879515,0.198722440982237,883.320700135614,0.0426738179997131,"random search",0.527063571248874,0.504755149283414,0.681891543120618,0.76831976773546,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
32,4131,0.207000468597272,0.726931368862279,9,1.29713176411587,0.336672232020646,1.19086451025433,0.00326961118065695,"random search",0.647500185847775,0.442086412918474,0.828505751910958,0.81789057535561,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
33,3365,0.189850176123081,0.175051268888637,18,55.4938847112053,0.695301686413586,917.635890159526,0.340942523616776,"random search",-0.522837306321869,-0.00697556259450804,-0.331762208769242,0.000176174556822506,0.392045454545455,0.00568181818181818,0,2.55072463768116,69,3,9,176,176,60,0.282314822236033,0.186672416643054,0.518623737373737,0.14368915872504,0.579545454545455,0.0600352140295573,0.0464685471854954,0.00575128390407394,0.00451381164569566,0.00689962659098894,0.10908564574631,0.108197229499774,0.164257718266601,0.0798402181178676,0.028060836165673,0.0524159311100795,0.00104061153477281,0.00762121648048055,0.613636363636364,0.0113636363636364,0.0185185185185185
