"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.384179840364665,0.0371007177592255,0.623748224339141,0.242738801613872,0.372972972972973,0.00613496932515337,0.00931444859445139,2.68115942028985,69,3,9,163,185,60,0.181628456293514,0.129677718059625,0.544944944944945,0.101155974076343,0.297297297297297,0.0596677589479749,0.0655984735569389,0.00784014086799297,0.00610569115955952,0.0219573201423133,0.0967643011791561,0.175086088278074,0.177555249512368,0.0808723651011689,0.0306688446262875,0.116517541548147,0.000712345937336571,0.00494299813110122,0.583783783783784,0.0108108108108108,0.0185185185185185
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.427147060566733,0.179133044906588,0.629588860999356,0.242974309817172,0.372972972972973,0.00613496932515337,0.00931444859445139,2.68115942028985,69,3,9,163,185,60,0.181628456293514,0.129677718059625,0.544944944944945,0.101155974076343,0.297297297297297,0.0596677589479749,0.0655984735569389,0.00784014086799297,0.00610569115955952,0.0219573201423133,0.0967643011791561,0.175086088278074,0.177555249512368,0.0808723651011689,0.0306688446262875,0.116517541548147,0.000712345937336571,0.00494299813110122,0.583783783783784,0.0108108108108108,0.0185185185185185
1,614,0.00114465411008855,0.237143185082823,11,4.92193716105474,0.468053830787539,263.342821850736,0.0015187312699144,"random search",-0.403409447092874,-0.279655970916272,-0.322283835645237,-0.67566786319594,0.372972972972973,0.00613496932515337,0.00931444859445139,2.68115942028985,69,3,9,163,185,60,0.181628456293514,0.129677718059625,0.544944944944945,0.101155974076343,0.297297297297297,0.0596677589479749,0.0655984735569389,0.00784014086799297,0.00610569115955952,0.0219573201423133,0.0967643011791561,0.175086088278074,0.177555249512368,0.0808723651011689,0.0306688446262875,0.116517541548147,0.000712345937336571,0.00494299813110122,0.583783783783784,0.0108108108108108,0.0185185185185185
2,4341,0.0049992235281417,0.203414506465197,19,95.789996079739,0.597599185537547,298.761044616504,0.0415145987916373,"random search",-0.524758947387114,-0.00946916768847772,-0.36504711695359,-0.0318251284093927,0.372972972972973,0.00613496932515337,0.00931444859445139,2.68115942028985,69,3,9,163,185,60,0.181628456293514,0.129677718059625,0.544944944944945,0.101155974076343,0.297297297297297,0.0596677589479749,0.0655984735569389,0.00784014086799297,0.00610569115955952,0.0219573201423133,0.0967643011791561,0.175086088278074,0.177555249512368,0.0808723651011689,0.0306688446262875,0.116517541548147,0.000712345937336571,0.00494299813110122,0.583783783783784,0.0108108108108108,0.0185185185185185
3,987,0.0239453211389534,0.383953876444139,16,9.70066204003584,0.623228687327355,73.30774797291,29.9895144288147,"random search",0.288330628449009,0.225515914618578,0.646879568914867,0.541301208861848,0.372972972972973,0.00613496932515337,0.00931444859445139,2.68115942028985,69,3,9,163,185,60,0.181628456293514,0.129677718059625,0.544944944944945,0.101155974076343,0.297297297297297,0.0596677589479749,0.0655984735569389,0.00784014086799297,0.00610569115955952,0.0219573201423133,0.0967643011791561,0.175086088278074,0.177555249512368,0.0808723651011689,0.0306688446262875,0.116517541548147,0.000712345937336571,0.00494299813110122,0.583783783783784,0.0108108108108108,0.0185185185185185
4,4091,0.86212736919391,0.236231807968579,19,2.81445623666414,0.179713100893423,1.71574904271041,0.0109981382395184,"random search",-131345846674.786,-1.80226943360553e+25,-531144326346.409,-5.4328855515457e+25,0.372972972972973,0.00613496932515337,0.00931444859445139,2.68115942028985,69,3,9,163,185,60,0.181628456293514,0.129677718059625,0.544944944944945,0.101155974076343,0.297297297297297,0.0596677589479749,0.0655984735569389,0.00784014086799297,0.00610569115955952,0.0219573201423133,0.0967643011791561,0.175086088278074,0.177555249512368,0.0808723651011689,0.0306688446262875,0.116517541548147,0.000712345937336571,0.00494299813110122,0.583783783783784,0.0108108108108108,0.0185185185185185
5,4688,0.045843974176382,0.571016126452014,18,68.7734633855375,0.453508873470128,499.497715666237,405.045204094754,"random search",-0.529132209974333,-0.0219219570003748,-0.434656643114371,-0.0601895356637077,0.372972972972973,0.00613496932515337,0.00931444859445139,2.68115942028985,69,3,9,163,185,60,0.181628456293514,0.129677718059625,0.544944944944945,0.101155974076343,0.297297297297297,0.0596677589479749,0.0655984735569389,0.00784014086799297,0.00610569115955952,0.0219573201423133,0.0967643011791561,0.175086088278074,0.177555249512368,0.0808723651011689,0.0306688446262875,0.116517541548147,0.000712345937336571,0.00494299813110122,0.583783783783784,0.0108108108108108,0.0185185185185185
6,1079,0.620603501516954,0.515005312860012,10,68.3629918574187,0.304007507394999,0.0103652182742353,0.0192125675060895,"random search",-0.430333173467241,-0.00723374485611372,-0.314188574443572,-0.024055627892378,0.372972972972973,0.00613496932515337,0.00931444859445139,2.68115942028985,69,3,9,163,185,60,0.181628456293514,0.129677718059625,0.544944944944945,0.101155974076343,0.297297297297297,0.0596677589479749,0.0655984735569389,0.00784014086799297,0.00610569115955952,0.0219573201423133,0.0967643011791561,0.175086088278074,0.177555249512368,0.0808723651011689,0.0306688446262875,0.116517541548147,0.000712345937336571,0.00494299813110122,0.583783783783784,0.0108108108108108,0.0185185185185185
7,3202,0.0226671457296076,0.298391120741144,12,2.5664894184988,0.749248679727316,28.3059223740847,5.55205823501384,"random search",0.387780630934291,0.22832906736246,0.704278763857092,0.461032312834462,0.372972972972973,0.00613496932515337,0.00931444859445139,2.68115942028985,69,3,9,163,185,60,0.181628456293514,0.129677718059625,0.544944944944945,0.101155974076343,0.297297297297297,0.0596677589479749,0.0655984735569389,0.00784014086799297,0.00610569115955952,0.0219573201423133,0.0967643011791561,0.175086088278074,0.177555249512368,0.0808723651011689,0.0306688446262875,0.116517541548147,0.000712345937336571,0.00494299813110122,0.583783783783784,0.0108108108108108,0.0185185185185185
8,2468,0.583359377247223,0.266346941888332,11,10.0443960206661,0.817117501283064,0.00152915574470636,1.39108548706697,"random search",-0.0781983208026154,-1.50180417864453,0.00407227279357647,-2.56706739364718,0.372972972972973,0.00613496932515337,0.00931444859445139,2.68115942028985,69,3,9,163,185,60,0.181628456293514,0.129677718059625,0.544944944944945,0.101155974076343,0.297297297297297,0.0596677589479749,0.0655984735569389,0.00784014086799297,0.00610569115955952,0.0219573201423133,0.0967643011791561,0.175086088278074,0.177555249512368,0.0808723651011689,0.0306688446262875,0.116517541548147,0.000712345937336571,0.00494299813110122,0.583783783783784,0.0108108108108108,0.0185185185185185
9,4392,0.460158414920477,0.647150967339985,24,1.16480456235475,0.279564899625257,0.00144192232061646,0.00507553143610844,"random search",0.319254221248857,-0.121316916167031,0.332867285282556,-0.794066749297087,0.372972972972973,0.00613496932515337,0.00931444859445139,2.68115942028985,69,3,9,163,185,60,0.181628456293514,0.129677718059625,0.544944944944945,0.101155974076343,0.297297297297297,0.0596677589479749,0.0655984735569389,0.00784014086799297,0.00610569115955952,0.0219573201423133,0.0967643011791561,0.175086088278074,0.177555249512368,0.0808723651011689,0.0306688446262875,0.116517541548147,0.000712345937336571,0.00494299813110122,0.583783783783784,0.0108108108108108,0.0185185185185185
10,1870,0.303541459579403,0.463969488209114,15,36.1189441736712,0.215976055944338,64.8940118123461,0.00684027187553216,"random search",0.324725162688133,-0.0267844983663477,0.500484443539845,-0.0775954606981737,0.372972972972973,0.00613496932515337,0.00931444859445139,2.68115942028985,69,3,9,163,185,60,0.181628456293514,0.129677718059625,0.544944944944945,0.101155974076343,0.297297297297297,0.0596677589479749,0.0655984735569389,0.00784014086799297,0.00610569115955952,0.0219573201423133,0.0967643011791561,0.175086088278074,0.177555249512368,0.0808723651011689,0.0306688446262875,0.116517541548147,0.000712345937336571,0.00494299813110122,0.583783783783784,0.0108108108108108,0.0185185185185185
11,2691,0.753294779451923,0.139990647393279,9,17.5609923628914,0.22519846376963,22.9319637697102,3.18510680527093,"random search",0.145013375215392,0.0295025473594737,0.266929203860983,-0.320675919113327,0.372972972972973,0.00613496932515337,0.00931444859445139,2.68115942028985,69,3,9,163,185,60,0.181628456293514,0.129677718059625,0.544944944944945,0.101155974076343,0.297297297297297,0.0596677589479749,0.0655984735569389,0.00784014086799297,0.00610569115955952,0.0219573201423133,0.0967643011791561,0.175086088278074,0.177555249512368,0.0808723651011689,0.0306688446262875,0.116517541548147,0.000712345937336571,0.00494299813110122,0.583783783783784,0.0108108108108108,0.0185185185185185
12,4334,0.0677508216828386,0.432067926600575,14,89.7709497918547,0.347305494826287,0.001458422084874,7.15738281398436,"random search",-0.468196051098728,-0.00656126066218676,-0.189625617144144,-0.0125265688454372,0.372972972972973,0.00613496932515337,0.00931444859445139,2.68115942028985,69,3,9,163,185,60,0.181628456293514,0.129677718059625,0.544944944944945,0.101155974076343,0.297297297297297,0.0596677589479749,0.0655984735569389,0.00784014086799297,0.00610569115955952,0.0219573201423133,0.0967643011791561,0.175086088278074,0.177555249512368,0.0808723651011689,0.0306688446262875,0.116517541548147,0.000712345937336571,0.00494299813110122,0.583783783783784,0.0108108108108108,0.0185185185185185
13,3758,0.00289982138607613,0.142958204471506,5,17.6438956131424,0.631600264227018,6.88798061624125,11.4553640047678,"random search",-0.298695935291514,0.00654167744444878,0.00521985956121673,0.0832899559092338,0.372972972972973,0.00613496932515337,0.00931444859445139,2.68115942028985,69,3,9,163,185,60,0.181628456293514,0.129677718059625,0.544944944944945,0.101155974076343,0.297297297297297,0.0596677589479749,0.0655984735569389,0.00784014086799297,0.00610569115955952,0.0219573201423133,0.0967643011791561,0.175086088278074,0.177555249512368,0.0808723651011689,0.0306688446262875,0.116517541548147,0.000712345937336571,0.00494299813110122,0.583783783783784,0.0108108108108108,0.0185185185185185
14,4348,0.24797834862304,0.978398111998104,16,50.1470427403344,0.69210201012902,0.00367609833417401,0.257151413503153,"random search",0.294160356306111,-0.157771178836699,0.552581637894089,0.248423265939066,0.372972972972973,0.00613496932515337,0.00931444859445139,2.68115942028985,69,3,9,163,185,60,0.181628456293514,0.129677718059625,0.544944944944945,0.101155974076343,0.297297297297297,0.0596677589479749,0.0655984735569389,0.00784014086799297,0.00610569115955952,0.0219573201423133,0.0967643011791561,0.175086088278074,0.177555249512368,0.0808723651011689,0.0306688446262875,0.116517541548147,0.000712345937336571,0.00494299813110122,0.583783783783784,0.0108108108108108,0.0185185185185185
