"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.485090971904674,0.277483239596745,0.449564501774991,0.104374338027154,0.396551724137931,0.00617283950617284,0.00541844276771301,2.52173913043478,69,3,9,162,174,60,0.191703144500315,0.139654318640376,0.55316091954023,0.111119483918675,0.747126436781609,0.0776508361876227,0.0572896958893881,0.00929289891886721,0.00702917936642071,0.0102958324992279,0.14265835299047,0.164549253710379,0.180719813425921,0.0798341375541419,0.0393581181144182,0.0920590674711291,0.000504571501655092,0.00322510613060837,0.620689655172414,0.0114942528735632,0.0185185185185185
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.490730333020352,0.355231058003139,0.560187932426479,0.387970707728223,0.396551724137931,0.00617283950617284,0.00541844276771301,2.52173913043478,69,3,9,162,174,60,0.191703144500315,0.139654318640376,0.55316091954023,0.111119483918675,0.747126436781609,0.0776508361876227,0.0572896958893881,0.00929289891886721,0.00702917936642071,0.0102958324992279,0.14265835299047,0.164549253710379,0.180719813425921,0.0798341375541419,0.0393581181144182,0.0920590674711291,0.000504571501655092,0.00322510613060837,0.620689655172414,0.0114942528735632,0.0185185185185185
1,198,0.00108991576630223,0.255907433410175,21,40.8350422404495,0.0600764451082796,0.102290108264464,57.4045503091684,"random search",-0.692926223179785,-0.616144505046431,-0.441822995713858,-0.5671114191783,0.396551724137931,0.00617283950617284,0.00541844276771301,2.52173913043478,69,3,9,162,174,60,0.191703144500315,0.139654318640376,0.55316091954023,0.111119483918675,0.747126436781609,0.0776508361876227,0.0572896958893881,0.00929289891886721,0.00702917936642071,0.0102958324992279,0.14265835299047,0.164549253710379,0.180719813425921,0.0798341375541419,0.0393581181144182,0.0920590674711291,0.000504571501655092,0.00322510613060837,0.620689655172414,0.0114942528735632,0.0185185185185185
2,1415,0.0130285377683169,0.380519223143347,25,4.03036517992845,0.973903917241842,7.34962398878822,0.00970916360149682,"random search",0.537628003600142,0.42001969837235,0.616816141444504,0.484447993318624,0.396551724137931,0.00617283950617284,0.00541844276771301,2.52173913043478,69,3,9,162,174,60,0.191703144500315,0.139654318640376,0.55316091954023,0.111119483918675,0.747126436781609,0.0776508361876227,0.0572896958893881,0.00929289891886721,0.00702917936642071,0.0102958324992279,0.14265835299047,0.164549253710379,0.180719813425921,0.0798341375541419,0.0393581181144182,0.0920590674711291,0.000504571501655092,0.00322510613060837,0.620689655172414,0.0114942528735632,0.0185185185185185
3,4031,0.00203552551466882,0.287097751139663,21,10.1797123361164,0.624704987276345,0.51493242975969,17.7249728513326,"random search",0.470751020540179,0.390872939190091,0.544600303715407,0.442835665505535,0.396551724137931,0.00617283950617284,0.00541844276771301,2.52173913043478,69,3,9,162,174,60,0.191703144500315,0.139654318640376,0.55316091954023,0.111119483918675,0.747126436781609,0.0776508361876227,0.0572896958893881,0.00929289891886721,0.00702917936642071,0.0102958324992279,0.14265835299047,0.164549253710379,0.180719813425921,0.0798341375541419,0.0393581181144182,0.0920590674711291,0.000504571501655092,0.00322510613060837,0.620689655172414,0.0114942528735632,0.0185185185185185
4,3534,0.0127700759154125,0.270710888621397,23,1.4605367514895,0.713347846874967,0.305772963240129,0.00864007426200246,"random search",0.539226106233365,0.38296097613625,0.593183313140172,0.457890620275511,0.396551724137931,0.00617283950617284,0.00541844276771301,2.52173913043478,69,3,9,162,174,60,0.191703144500315,0.139654318640376,0.55316091954023,0.111119483918675,0.747126436781609,0.0776508361876227,0.0572896958893881,0.00929289891886721,0.00702917936642071,0.0102958324992279,0.14265835299047,0.164549253710379,0.180719813425921,0.0798341375541419,0.0393581181144182,0.0920590674711291,0.000504571501655092,0.00322510613060837,0.620689655172414,0.0114942528735632,0.0185185185185185
5,1053,0.00888918302978998,0.510750240762718,17,1.61368274708333,0.174809305462986,100.569971017943,0.774853975782985,"random search",0.379530978351359,0.315994991522933,0.458965196392129,0.372067623663074,0.396551724137931,0.00617283950617284,0.00541844276771301,2.52173913043478,69,3,9,162,174,60,0.191703144500315,0.139654318640376,0.55316091954023,0.111119483918675,0.747126436781609,0.0776508361876227,0.0572896958893881,0.00929289891886721,0.00702917936642071,0.0102958324992279,0.14265835299047,0.164549253710379,0.180719813425921,0.0798341375541419,0.0393581181144182,0.0920590674711291,0.000504571501655092,0.00322510613060837,0.620689655172414,0.0114942528735632,0.0185185185185185
6,3027,0.386372393409381,0.389177620573901,12,1.01231642858537,0.668770147720352,500.047270098758,30.8773677717105,"random search",0.526909651199055,0.377983683076363,0.602377338093111,0.460156524811705,0.396551724137931,0.00617283950617284,0.00541844276771301,2.52173913043478,69,3,9,162,174,60,0.191703144500315,0.139654318640376,0.55316091954023,0.111119483918675,0.747126436781609,0.0776508361876227,0.0572896958893881,0.00929289891886721,0.00702917936642071,0.0102958324992279,0.14265835299047,0.164549253710379,0.180719813425921,0.0798341375541419,0.0393581181144182,0.0920590674711291,0.000504571501655092,0.00322510613060837,0.620689655172414,0.0114942528735632,0.0185185185185185
7,3871,0.584730874980194,0.560229878127575,5,32.9541813362093,0.714499001158401,0.074502379173624,0.103545965094187,"random search",0.591844307453199,0.311825478817765,0.610008625184816,0.284419986940964,0.396551724137931,0.00617283950617284,0.00541844276771301,2.52173913043478,69,3,9,162,174,60,0.191703144500315,0.139654318640376,0.55316091954023,0.111119483918675,0.747126436781609,0.0776508361876227,0.0572896958893881,0.00929289891886721,0.00702917936642071,0.0102958324992279,0.14265835299047,0.164549253710379,0.180719813425921,0.0798341375541419,0.0393581181144182,0.0920590674711291,0.000504571501655092,0.00322510613060837,0.620689655172414,0.0114942528735632,0.0185185185185185
8,2120,0.469078929764013,0.812665151851252,3,3.28061543221692,0.302859473275021,0.396434947289571,519.423547300692,"random search",0.510787544044098,0.330718987840049,0.534139072390411,0.328452517321369,0.396551724137931,0.00617283950617284,0.00541844276771301,2.52173913043478,69,3,9,162,174,60,0.191703144500315,0.139654318640376,0.55316091954023,0.111119483918675,0.747126436781609,0.0776508361876227,0.0572896958893881,0.00929289891886721,0.00702917936642071,0.0102958324992279,0.14265835299047,0.164549253710379,0.180719813425921,0.0798341375541419,0.0393581181144182,0.0920590674711291,0.000504571501655092,0.00322510613060837,0.620689655172414,0.0114942528735632,0.0185185185185185
