"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.740994749052977,0.609169016099995,0.837662789367533,0.783511797665426,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.515693659761456,0.147589264280972,0.621468926553672,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.166355426300644,0.0771686615435242,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.610169491525424,0.0169491525423729,0.0277777777777778
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.74900963338504,0.678145815004048,0.763003430083025,0.701663785582213,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.515693659761456,0.147589264280972,0.621468926553672,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.166355426300644,0.0771686615435242,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.610169491525424,0.0169491525423729,0.0277777777777778
1,13,0.129551672421827,0.306384075526148,9,2.95136281411696,0.866075457306579,11.8037643652006,16.8507287766408,"random search",-0.189151796936949,-0.147715382027862,-0.0673322193521384,-0.0337692629103041,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.515693659761456,0.147589264280972,0.621468926553672,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.166355426300644,0.0771686615435242,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.610169491525424,0.0169491525423729,0.0277777777777778
2,3787,0.072686100276004,0.598032230837271,14,99.6695072828269,0.979682492092252,0.0131853065697405,0.027825343933858,"random search",-0.497729428721561,-0.00829291422445677,-0.261675347478454,-0.0477516745638615,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.515693659761456,0.147589264280972,0.621468926553672,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.166355426300644,0.0771686615435242,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.610169491525424,0.0169491525423729,0.0277777777777778
3,2968,0.34336563625764,0.176223019347526,18,6.25796893940816,0.586784536018968,237.793525258531,966.145164649613,"random search",-0.486768670044891,-0.162423394756946,-0.241520259013169,-0.0405572539366483,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.515693659761456,0.147589264280972,0.621468926553672,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.166355426300644,0.0771686615435242,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.610169491525424,0.0169491525423729,0.0277777777777778
4,2289,0.0412511006552134,0.569534458685666,22,9.97938424893067,0.595374529249966,0.0691326568344923,0.00285381104666458,"random search",0.788925982386401,0.733618291997323,0.796663422846903,0.755046702334182,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.515693659761456,0.147589264280972,0.621468926553672,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.166355426300644,0.0771686615435242,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.610169491525424,0.0169491525423729,0.0277777777777778
5,1171,0.159632690930173,0.70261072863359,18,89.0765908523002,0.600951867410913,0.00778880093273935,2.56510052115062,"random search",-0.487520830349442,-0.00312766748800852,-0.412432299343485,-0.0469682089751384,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.515693659761456,0.147589264280972,0.621468926553672,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.166355426300644,0.0771686615435242,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.610169491525424,0.0169491525423729,0.0277777777777778
6,2129,0.0123560348721949,0.547817028872669,8,2.35066861442376,0.690245046745986,0.0155809569758309,0.01197239245009,"random search",0.783250504293112,0.72775484314989,0.770401874583678,0.727546894064102,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.515693659761456,0.147589264280972,0.621468926553672,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.166355426300644,0.0771686615435242,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.610169491525424,0.0169491525423729,0.0277777777777778
7,2898,0.0122682516273918,0.483651892724447,25,7.18899492098212,0.426165632670745,1.43863661284143,0.0709199477979952,"random search",0.783633259601981,0.739873422824562,0.783342546654994,0.747165515735753,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.515693659761456,0.147589264280972,0.621468926553672,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.166355426300644,0.0771686615435242,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.610169491525424,0.0169491525423729,0.0277777777777778
8,4667,0.440353965491168,0.544476351793855,13,13.2624846271817,0.11279164836742,0.00517090510718228,0.00981860834189225,"random search",0.795252076774495,0.6323999863095,0.770210331405005,0.616688541055403,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.515693659761456,0.147589264280972,0.621468926553672,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.166355426300644,0.0771686615435242,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.610169491525424,0.0169491525423729,0.0277777777777778
9,4839,0.00907233737250816,0.693032502406277,17,43.1285774486085,0.83343607489951,0.260555281231624,0.0065628421282939,"random search",0.76648178977289,0.67208070781612,0.760104054621114,0.697523509646407,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.515693659761456,0.147589264280972,0.621468926553672,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.166355426300644,0.0771686615435242,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.610169491525424,0.0169491525423729,0.0277777777777778
10,4124,0.0088046515981687,0.764046399854124,22,30.2376069857909,0.353917885338888,621.936664231891,37.8636263238647,"random search",-0.302621507180558,-0.162403022382686,-0.048054772049247,-0.034946422528217,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.515693659761456,0.147589264280972,0.621468926553672,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.166355426300644,0.0771686615435242,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.610169491525424,0.0169491525423729,0.0277777777777778
11,3011,0.0733388111106062,0.177444395702332,24,18.2242420132612,0.164102570619434,0.377936078786811,0.0048100498446021,"random search",0.572971486001635,0.540813724125029,0.747757640565029,0.707094155459757,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.515693659761456,0.147589264280972,0.621468926553672,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.166355426300644,0.0771686615435242,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.610169491525424,0.0169491525423729,0.0277777777777778
12,2066,0.024324137233356,0.172445215121843,7,2.68845948339503,0.259633982088417,0.00311912492337227,2.27092038209547,"random search",0.636103341536477,0.628753299417072,0.659827059161543,0.702514716723107,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.515693659761456,0.147589264280972,0.621468926553672,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.166355426300644,0.0771686615435242,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.610169491525424,0.0169491525423729,0.0277777777777778
13,786,0.00303260001494703,0.103025243221782,9,67.8038898571294,0.994169200537726,0.494303291387793,111.026298808851,"random search",-0.479830552605118,-0.162395116108872,-0.345499387299017,-0.0406537971370768,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.515693659761456,0.147589264280972,0.621468926553672,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.166355426300644,0.0771686615435242,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.610169491525424,0.0169491525423729,0.0277777777777778
14,3660,0.0170919687363754,0.430215666186996,16,5.59657252120014,0.352698732633144,0.0546948881587779,0.029481368388911,"random search",0.787611435098463,0.748449052752006,0.787906804719617,0.745949314619857,0.389830508474576,0.00564971751412429,0,2.56521739130435,69,3,9,177,177,60,0.277375252072229,0.217718293551444,0.515693659761456,0.147589264280972,0.621468926553672,0.045089818618307,0.0371088252788049,0.0034023766288444,0.00246174626155445,0.00459517636935676,0.10568307676077,0.100210831226834,0.166355426300644,0.0771686615435242,0.0192366679049478,0.0333921893005494,0.000218393659487539,0.00115936688309395,0.610169491525424,0.0169491525423729,0.0277777777777778
