"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.683853810013098,0.524372979758371,0.75213923306111,0.556571407091465,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.52591496822266,0.125351614021958,0.57396449704142,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.160918784654485,0.0737039433234576,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.63905325443787,0.0118343195266272,0.0185185185185185
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.687910295864673,0.5150153873003,0.763412408414647,0.589025715464901,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.52591496822266,0.125351614021958,0.57396449704142,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.160918784654485,0.0737039433234576,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.63905325443787,0.0118343195266272,0.0185185185185185
1,1574,0.00174532238396081,0.618040319439024,10,1.71571455738541,0.723686556098983,0.0115426203225592,0.109147384839153,"random search",0.670412857177044,0.56502871326759,0.746456150709899,0.610279776758116,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.52591496822266,0.125351614021958,0.57396449704142,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.160918784654485,0.0737039433234576,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.63905325443787,0.0118343195266272,0.0185185185185185
2,3857,0.277916620336353,0.285696186707355,10,4.81893348610119,0.204745484050363,0.0440741791114217,0.0170512058313801,"random search",0.668106712700952,0.446174117515475,0.676946001245648,0.358959560960392,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.52591496822266,0.125351614021958,0.57396449704142,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.160918784654485,0.0737039433234576,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.63905325443787,0.0118343195266272,0.0185185185185185
3,2529,0.324296978021485,0.37122229442466,11,10.1818510381761,0.794495936948806,55.8189256491417,221.519931118217,"random search",-0.601325697509042,-1.15857608855666,-0.515057474118244,-1.30334155859602,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.52591496822266,0.125351614021958,0.57396449704142,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.160918784654485,0.0737039433234576,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.63905325443787,0.0118343195266272,0.0185185185185185
4,1990,0.154153113101681,0.763029008009471,25,24.3112891162617,0.667577081359923,0.0140981602588129,0.00471018536595486,"random search",0.698583247584403,0.522862839415083,0.728407676014594,0.535265897522092,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.52591496822266,0.125351614021958,0.57396449704142,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.160918784654485,0.0737039433234576,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.63905325443787,0.0118343195266272,0.0185185185185185
5,97,0.0175344162802831,0.436319641117007,21,6.98741746200948,0.11181867076084,0.367596893561676,0.00460947835352602,"random search",0.556015406478427,0.499315855874143,0.645619209934063,0.533477770683122,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.52591496822266,0.125351614021958,0.57396449704142,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.160918784654485,0.0737039433234576,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.63905325443787,0.0118343195266272,0.0185185185185185
6,2073,0.34302557214871,0.377149210660718,23,1.57310550491912,0.0981587707065046,0.410295202456605,0.00308878726336445,"random search",0.572291559532588,0.238965780793906,0.624366765771224,0.240245783881285,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.52591496822266,0.125351614021958,0.57396449704142,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.160918784654485,0.0737039433234576,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.63905325443787,0.0118343195266272,0.0185185185185185
7,4226,0.00140975141433714,0.157274061115459,14,4.39632814031155,0.599426868138835,0.0384553622610612,2.20893218029243,"random search",0.475319031925304,0.52136082045491,0.613749946355118,0.609822230830603,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.52591496822266,0.125351614021958,0.57396449704142,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.160918784654485,0.0737039433234576,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.63905325443787,0.0118343195266272,0.0185185185185185
8,3960,0.179125181671285,0.332616719021462,14,10.1292983141711,0.218887174967676,0.479521132391452,0.00297108195280403,"random search",0.698614706054006,0.516962707044206,0.70591654768551,0.502255884195614,0.408284023668639,0.00591715976331361,0,2.44927536231884,69,3,9,169,169,60,0.248136224374825,0.176533276938661,0.52591496822266,0.125351614021958,0.57396449704142,0.0536317311335391,0.0481864306567555,0.00518455544062659,0.0039248485720631,0.00683843199831352,0.111517824103413,0.116649350501446,0.160918784654485,0.0737039433234576,0.033070410555348,0.0937719207188977,0.00152505062984155,0.0162330436275855,0.63905325443787,0.0118343195266272,0.0185185185185185
