"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.95412845326662,0.928655328848835,0.956099482102746,0.918855618102562,0.172675521821632,0.00229885057471264,0.00093130303969855,5.79120879120879,91,3,4,435,527,87,0.391853270303545,0.246542798739374,0.556684153737396,0.243935236932068,0.0967741935483871,0.0193877908037507,0.0210662078757195,0.000818829449522017,0.000563926838347518,0.00186290061613186,0.0485684701893508,0.0678685331690537,0.135322129637636,0.0485063351808644,0.0062346668060043,0.0236615790995675,0.000151458986609237,0.00124883500797439,0.193548387096774,0.00189753320683112,0.00980392156862745
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.953722432048852,0.934516330663313,0.962580588509604,0.944670351600326,0.172675521821632,0.00229885057471264,0.00093130303969855,5.79120879120879,91,3,4,435,527,87,0.391853270303545,0.246542798739374,0.556684153737396,0.243935236932068,0.0967741935483871,0.0193877908037507,0.0210662078757195,0.000818829449522017,0.000563926838347518,0.00186290061613186,0.0485684701893508,0.0678685331690537,0.135322129637636,0.0485063351808644,0.0062346668060043,0.0236615790995675,0.000151458986609237,0.00124883500797439,0.193548387096774,0.00189753320683112,0.00980392156862745
1,2214,0.829531087589156,0.392337914067321,20,72.6806352638978,0.935121959773824,3.05941173388148,0.0310354513925106,"random search",0.733913005535499,0.472849026821399,0.750578825906097,0.502145985553682,0.172675521821632,0.00229885057471264,0.00093130303969855,5.79120879120879,91,3,4,435,527,87,0.391853270303545,0.246542798739374,0.556684153737396,0.243935236932068,0.0967741935483871,0.0193877908037507,0.0210662078757195,0.000818829449522017,0.000563926838347518,0.00186290061613186,0.0485684701893508,0.0678685331690537,0.135322129637636,0.0485063351808644,0.0062346668060043,0.0236615790995675,0.000151458986609237,0.00124883500797439,0.193548387096774,0.00189753320683112,0.00980392156862745
2,2932,0.00967149993633203,0.913611277937889,21,2.50222533051334,0.168407715391368,2.92578787744901,0.00143540899010003,"random search",0.894371071681301,0.912925790643646,0.908669398425357,0.92802423137828,0.172675521821632,0.00229885057471264,0.00093130303969855,5.79120879120879,91,3,4,435,527,87,0.391853270303545,0.246542798739374,0.556684153737396,0.243935236932068,0.0967741935483871,0.0193877908037507,0.0210662078757195,0.000818829449522017,0.000563926838347518,0.00186290061613186,0.0485684701893508,0.0678685331690537,0.135322129637636,0.0485063351808644,0.0062346668060043,0.0236615790995675,0.000151458986609237,0.00124883500797439,0.193548387096774,0.00189753320683112,0.00980392156862745
3,2160,0.0284431843968383,0.300600399519317,19,125.303514978457,0.482748883310705,0.0859462153302146,310.400611828967,"random search",-0.478942615885737,-0.0574175900826381,-0.441402568975296,-0.0414558213400766,0.172675521821632,0.00229885057471264,0.00093130303969855,5.79120879120879,91,3,4,435,527,87,0.391853270303545,0.246542798739374,0.556684153737396,0.243935236932068,0.0967741935483871,0.0193877908037507,0.0210662078757195,0.000818829449522017,0.000563926838347518,0.00186290061613186,0.0485684701893508,0.0678685331690537,0.135322129637636,0.0485063351808644,0.0062346668060043,0.0236615790995675,0.000151458986609237,0.00124883500797439,0.193548387096774,0.00189753320683112,0.00980392156862745
4,3135,0.00217929598979957,0.490379579737782,2,2.76148068392738,0.899120507063344,3.26705866953084,929.192847581675,"random search",-0.0734409409699623,-0.355137221993296,0.0524972668007627,-0.230922782703835,0.172675521821632,0.00229885057471264,0.00093130303969855,5.79120879120879,91,3,4,435,527,87,0.391853270303545,0.246542798739374,0.556684153737396,0.243935236932068,0.0967741935483871,0.0193877908037507,0.0210662078757195,0.000818829449522017,0.000563926838347518,0.00186290061613186,0.0485684701893508,0.0678685331690537,0.135322129637636,0.0485063351808644,0.0062346668060043,0.0236615790995675,0.000151458986609237,0.00124883500797439,0.193548387096774,0.00189753320683112,0.00980392156862745
5,2041,0.00305836348925632,0.761682952102274,21,119.478344306265,0.798503359779716,0.0339790855737629,252.002388009115,"random search",0.665821773778134,0.626871509204029,0.713886252086237,0.674367985315551,0.172675521821632,0.00229885057471264,0.00093130303969855,5.79120879120879,91,3,4,435,527,87,0.391853270303545,0.246542798739374,0.556684153737396,0.243935236932068,0.0967741935483871,0.0193877908037507,0.0210662078757195,0.000818829449522017,0.000563926838347518,0.00186290061613186,0.0485684701893508,0.0678685331690537,0.135322129637636,0.0485063351808644,0.0062346668060043,0.0236615790995675,0.000151458986609237,0.00124883500797439,0.193548387096774,0.00189753320683112,0.00980392156862745
6,1658,0.353003031887547,0.684985560830683,8,2.51554653290157,0.168167097494006,44.0185336477327,912.275508721682,"random search",0.248757863733995,0.134312105172514,0.33566688271249,0.228476011720861,0.172675521821632,0.00229885057471264,0.00093130303969855,5.79120879120879,91,3,4,435,527,87,0.391853270303545,0.246542798739374,0.556684153737396,0.243935236932068,0.0967741935483871,0.0193877908037507,0.0210662078757195,0.000818829449522017,0.000563926838347518,0.00186290061613186,0.0485684701893508,0.0678685331690537,0.135322129637636,0.0485063351808644,0.0062346668060043,0.0236615790995675,0.000151458986609237,0.00124883500797439,0.193548387096774,0.00189753320683112,0.00980392156862745
7,167,0.0630622205038054,0.787844556663185,12,42.1472216254324,0.734211683738977,404.831267393658,0.0187634720027189,"random search",0.727707274446247,0.736674069748552,0.764437755613547,0.761333114754549,0.172675521821632,0.00229885057471264,0.00093130303969855,5.79120879120879,91,3,4,435,527,87,0.391853270303545,0.246542798739374,0.556684153737396,0.243935236932068,0.0967741935483871,0.0193877908037507,0.0210662078757195,0.000818829449522017,0.000563926838347518,0.00186290061613186,0.0485684701893508,0.0678685331690537,0.135322129637636,0.0485063351808644,0.0062346668060043,0.0236615790995675,0.000151458986609237,0.00124883500797439,0.193548387096774,0.00189753320683112,0.00980392156862745
8,1184,0.45863166407753,0.97766683830414,25,112.967956799157,0.809756163973361,0.00594561653584734,0.812978262170213,"random search",0.886123228879348,0.782156678721457,0.917272263533893,0.876661235060996,0.172675521821632,0.00229885057471264,0.00093130303969855,5.79120879120879,91,3,4,435,527,87,0.391853270303545,0.246542798739374,0.556684153737396,0.243935236932068,0.0967741935483871,0.0193877908037507,0.0210662078757195,0.000818829449522017,0.000563926838347518,0.00186290061613186,0.0485684701893508,0.0678685331690537,0.135322129637636,0.0485063351808644,0.0062346668060043,0.0236615790995675,0.000151458986609237,0.00124883500797439,0.193548387096774,0.00189753320683112,0.00980392156862745
