"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.19455910173507,-0.423798925106971,0.368756013407934,0.122989614718415,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.308957816671293,0.0465479298461675,0.234957819619391,-0.527399918655666,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
1,2341,0.0328607614470916,0.676452222652733,23,66.5096085175815,0.0106541824061424,163.630651619206,54.0419674948809,"random search",0.0500538270569226,0.127776643836778,0.103492819333892,0.147290715081382,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
2,1544,0.660524002193965,0.617687011323869,23,55.6933875799731,0.766465550288558,0.0161676129264237,0.0244829229747082,"random search",0.187334401371834,-0.519915599567509,0.179364618928117,-1.33261507173693,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
3,1499,0.00160598262533434,0.79241675240919,20,2.91152821950584,0.166966771241277,12.2026091711153,24.9340254099498,"random search",0.102800286471617,0.118721468896493,0.287526360574217,0.288640241360665,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
4,4953,0.0279855537232997,0.371015974925831,7,15.7121871509772,0.97015554504469,0.00113728866586089,327.30638763468,"random search",0.0279238592081875,0.102796902472422,0.0774217618254059,0.0883326182697395,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
5,3106,0.0016060481662663,0.24131242481526,16,29.4661609381515,0.889410477364436,0.0352019610840616,136.074368292534,"random search",-0.0765487673937513,0.0675208852127097,0.00525879055765444,0.0884489908090534,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
6,2018,0.00158880519055916,0.206220101285726,1,5.8693198264316,0.960984249832109,430.557226498252,0.418008923261717,"random search",-0.41898114386864,-0.180095445999869,-0.1411700408596,-0.106826776289503,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
7,2195,0.00846063744959596,0.30503252025228,16,1.0335400896409,0.626693836878985,0.094110788597517,472.576459924132,"random search",-0.179057470553748,-0.0404450396876868,0.0783255511363944,0.114051574389373,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
8,3231,0.0162121919011586,0.468776387302205,18,82.1833412424942,0.122510840417817,15.0887888320643,439.015444295942,"random search",-0.493120709927391,-0.0274787342660499,-0.338749785733795,-0.0400667998089514,0.348432055749129,0.00432900432900433,0.00761446228464916,2.87,100,4,4,231,287,96,0.150986511011257,0.145016144056697,0.595658984112777,0.149889083586905,0.0104529616724739,0.0341886615616834,0.0465204096893154,0.00332547250987152,0.00140178555586386,0.00297269514308779,0.0393597056592651,0.0915952273732697,0.163829476271349,0.0646696571677808,0.010420438394047,0.0818672297467489,0.00143378585151085,0.016024063035832,0.379790940766551,0.00348432055749129,0.00917431192660551
