"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.11750625232954,0.0711227854164592,-0.526367811033717,-8.30614205421165,0.338983050847458,0.00421940928270042,0.00784444410869218,2.95,100,3,4,237,295,96,0.114818447297976,0.0933325654378975,0.628642512828487,0.157730349957779,0.0169491525423729,0.0310827016723257,0.0440341526724612,0.00289856804109825,0.00142854307514361,0.00785853555747462,0.0327496994687173,0.0819457470172854,0.162890014055622,0.0627775838817339,0.00775228019286891,0.0659562392722451,0.0014812552303548,0.0213571388711002,0.369491525423729,0.00338983050847458,0.00917431192660551
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.180126703212215,0.0709994686447518,0.373955732902561,0.0449470682702403,0.338983050847458,0.00421940928270042,0.00784444410869218,2.95,100,3,4,237,295,96,0.114818447297976,0.0933325654378975,0.628642512828487,0.157730349957779,0.0169491525423729,0.0310827016723257,0.0440341526724612,0.00289856804109825,0.00142854307514361,0.00785853555747462,0.0327496994687173,0.0819457470172854,0.162890014055622,0.0627775838817339,0.00775228019286891,0.0659562392722451,0.0014812552303548,0.0213571388711002,0.369491525423729,0.00338983050847458,0.00917431192660551
1,2686,0.00572668806822544,0.813578812195919,7,22.5710641100005,0.612489262362942,0.00378503772508684,15.077138906558,"random search",0.108389546973965,0.0560846784539978,0.469479932249413,0.212975608507793,0.338983050847458,0.00421940928270042,0.00784444410869218,2.95,100,3,4,237,295,96,0.114818447297976,0.0933325654378975,0.628642512828487,0.157730349957779,0.0169491525423729,0.0310827016723257,0.0440341526724612,0.00289856804109825,0.00142854307514361,0.00785853555747462,0.0327496994687173,0.0819457470172854,0.162890014055622,0.0627775838817339,0.00775228019286891,0.0659562392722451,0.0014812552303548,0.0213571388711002,0.369491525423729,0.00338983050847458,0.00917431192660551
2,3894,0.00310171937353476,0.257987860753201,12,1.23107949136306,0.562557708006352,2.67858796006161,0.00452123002047262,"random search",0.155089502632538,0.0896630149204154,0.483828395758034,0.330925043249173,0.338983050847458,0.00421940928270042,0.00784444410869218,2.95,100,3,4,237,295,96,0.114818447297976,0.0933325654378975,0.628642512828487,0.157730349957779,0.0169491525423729,0.0310827016723257,0.0440341526724612,0.00289856804109825,0.00142854307514361,0.00785853555747462,0.0327496994687173,0.0819457470172854,0.162890014055622,0.0627775838817339,0.00775228019286891,0.0659562392722451,0.0014812552303548,0.0213571388711002,0.369491525423729,0.00338983050847458,0.00917431192660551
3,3648,0.00256619170007593,0.882330740755424,13,3.20603580272038,0.194232199573889,108.491117114885,0.104607500508527,"random search",-0.0146509488791724,0.0792863011738426,0.222759401790095,0.172755694695433,0.338983050847458,0.00421940928270042,0.00784444410869218,2.95,100,3,4,237,295,96,0.114818447297976,0.0933325654378975,0.628642512828487,0.157730349957779,0.0169491525423729,0.0310827016723257,0.0440341526724612,0.00289856804109825,0.00142854307514361,0.00785853555747462,0.0327496994687173,0.0819457470172854,0.162890014055622,0.0627775838817339,0.00775228019286891,0.0659562392722451,0.0014812552303548,0.0213571388711002,0.369491525423729,0.00338983050847458,0.00917431192660551
4,4307,0.00134204314479991,0.619647197960876,21,38.8535752368081,0.213150958297774,53.9181073447114,142.074739586698,"random search",-0.0941836713880084,0.0615423064089741,0.0568154220447762,0.122857658891775,0.338983050847458,0.00421940928270042,0.00784444410869218,2.95,100,3,4,237,295,96,0.114818447297976,0.0933325654378975,0.628642512828487,0.157730349957779,0.0169491525423729,0.0310827016723257,0.0440341526724612,0.00289856804109825,0.00142854307514361,0.00785853555747462,0.0327496994687173,0.0819457470172854,0.162890014055622,0.0627775838817339,0.00775228019286891,0.0659562392722451,0.0014812552303548,0.0213571388711002,0.369491525423729,0.00338983050847458,0.00917431192660551
5,3302,0.319775470655288,0.821787610207684,4,53.4208847183395,0.41660666349344,83.4027417048348,0.0578294621109657,"random search",0.145300797827163,-0.235559049813127,0.18265231870139,-1.31282475969864,0.338983050847458,0.00421940928270042,0.00784444410869218,2.95,100,3,4,237,295,96,0.114818447297976,0.0933325654378975,0.628642512828487,0.157730349957779,0.0169491525423729,0.0310827016723257,0.0440341526724612,0.00289856804109825,0.00142854307514361,0.00785853555747462,0.0327496994687173,0.0819457470172854,0.162890014055622,0.0627775838817339,0.00775228019286891,0.0659562392722451,0.0014812552303548,0.0213571388711002,0.369491525423729,0.00338983050847458,0.00917431192660551
6,3691,0.0702382988527889,0.996431442233734,21,12.1220179749501,0.197985065868124,1.5848381841018,10.7241011623338,"random search",0.228284198874432,-0.0297714015248007,0.457340219510305,-0.109742991970029,0.338983050847458,0.00421940928270042,0.00784444410869218,2.95,100,3,4,237,295,96,0.114818447297976,0.0933325654378975,0.628642512828487,0.157730349957779,0.0169491525423729,0.0310827016723257,0.0440341526724612,0.00289856804109825,0.00142854307514361,0.00785853555747462,0.0327496994687173,0.0819457470172854,0.162890014055622,0.0627775838817339,0.00775228019286891,0.0659562392722451,0.0014812552303548,0.0213571388711002,0.369491525423729,0.00338983050847458,0.00917431192660551
7,1694,0.0950310321233914,0.740819658758119,5,14.0337825147918,0.965719330823049,0.00101647705304358,4.87019900747694,"random search",0.212367379498566,-0.165388830053448,0.404946060930314,-0.0318773110126507,0.338983050847458,0.00421940928270042,0.00784444410869218,2.95,100,3,4,237,295,96,0.114818447297976,0.0933325654378975,0.628642512828487,0.157730349957779,0.0169491525423729,0.0310827016723257,0.0440341526724612,0.00289856804109825,0.00142854307514361,0.00785853555747462,0.0327496994687173,0.0819457470172854,0.162890014055622,0.0627775838817339,0.00775228019286891,0.0659562392722451,0.0014812552303548,0.0213571388711002,0.369491525423729,0.00338983050847458,0.00917431192660551
8,847,0.0284371109383734,0.673598395008594,11,33.0527027899454,0.636155721265823,0.00115016288161438,2.09943162344058,"random search",0.0874850752312545,0.041219421192467,0.379803185877125,0.0711964167108172,0.338983050847458,0.00421940928270042,0.00784444410869218,2.95,100,3,4,237,295,96,0.114818447297976,0.0933325654378975,0.628642512828487,0.157730349957779,0.0169491525423729,0.0310827016723257,0.0440341526724612,0.00289856804109825,0.00142854307514361,0.00785853555747462,0.0327496994687173,0.0819457470172854,0.162890014055622,0.0627775838817339,0.00775228019286891,0.0659562392722451,0.0014812552303548,0.0213571388711002,0.369491525423729,0.00338983050847458,0.00917431192660551
9,708,0.160428424941463,0.651038331422023,11,27.7887068573206,0.188141120132059,4.89774414792038,0.0078251281166689,"random search",0.107347719611513,-0.185744256298641,0.459519251256468,-0.139144301177804,0.338983050847458,0.00421940928270042,0.00784444410869218,2.95,100,3,4,237,295,96,0.114818447297976,0.0933325654378975,0.628642512828487,0.157730349957779,0.0169491525423729,0.0310827016723257,0.0440341526724612,0.00289856804109825,0.00142854307514361,0.00785853555747462,0.0327496994687173,0.0819457470172854,0.162890014055622,0.0627775838817339,0.00775228019286891,0.0659562392722451,0.0014812552303548,0.0213571388711002,0.369491525423729,0.00338983050847458,0.00917431192660551
