"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.480067496601969,0.309761601723984,0.346036349295123,0.315529669535907,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.618040718863893,0.150303620795842,0.756849315068493,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.166586954367652,0.0594320293587462,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.373287671232877,0.00342465753424658,0.00917431192660551
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.459329507590689,0.376640530214768,0.278254265876087,0.274889054603602,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.618040718863893,0.150303620795842,0.756849315068493,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.166586954367652,0.0594320293587462,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.373287671232877,0.00342465753424658,0.00917431192660551
1,1795,0.263062970012407,0.376327971904539,22,5.90807189996885,0.374259515432641,0.532641115430251,0.701306946416157,"random search",0.415600409052353,0.0630359120928571,0.368697066741236,-0.0771389383008028,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.618040718863893,0.150303620795842,0.756849315068493,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.166586954367652,0.0594320293587462,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.373287671232877,0.00342465753424658,0.00917431192660551
2,472,0.330118024133301,0.245135185378604,8,1.42226952297592,0.725472655147314,0.000987867936192716,601.579706108924,"random search",0.347879859023474,0.219015780244225,0.127641769996968,-0.068173135008937,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.618040718863893,0.150303620795842,0.756849315068493,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.166586954367652,0.0594320293587462,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.373287671232877,0.00342465753424658,0.00917431192660551
3,4478,0.19263652488025,0.723172976076603,21,67.8927611459817,0.286503862589598,85.9159998356808,177.966391806779,"random search",0.37532027850788,0.118629636200353,0.259783145933268,0.116910002858702,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.618040718863893,0.150303620795842,0.756849315068493,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.166586954367652,0.0594320293587462,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.373287671232877,0.00342465753424658,0.00917431192660551
4,1776,0.496021681837891,0.820685630710795,15,20.6198659717028,0.661483609117568,421.572603875519,8.70993111751718,"random search",0.414392768127927,0.206832322073756,0.208560948510364,0.127640770599144,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.618040718863893,0.150303620795842,0.756849315068493,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.166586954367652,0.0594320293587462,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.373287671232877,0.00342465753424658,0.00917431192660551
5,870,0.13681999940686,0.368646298162639,9,45.4792736980586,0.860246610827744,0.00124227073881656,0.00134511532541414,"random search",0.366090087860347,0.101155109935319,0.240019006987632,0.0776125894179063,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.618040718863893,0.150303620795842,0.756849315068493,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.166586954367652,0.0594320293587462,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.373287671232877,0.00342465753424658,0.00917431192660551
6,2293,0.0749747594567638,0.165193327656016,10,125.010928146927,0.984068950172514,0.0723306346622526,756.494555559018,"random search",-0.492757756925349,-0.00689645277782813,-0.45313003458704,-0.173026566811506,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.618040718863893,0.150303620795842,0.756849315068493,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.166586954367652,0.0594320293587462,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.373287671232877,0.00342465753424658,0.00917431192660551
7,3383,0.00401082660939736,0.195708357566036,8,35.7544041944515,0.113089280202985,102.639193231688,12.810814405866,"random search",-0.511684663667387,-0.00575350193190971,-0.285402956207865,-0.185225963556745,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.618040718863893,0.150303620795842,0.756849315068493,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.166586954367652,0.0594320293587462,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.373287671232877,0.00342465753424658,0.00917431192660551
8,52,0.0257951420031375,0.292608749796636,3,65.8440288559253,0.75929984357208,0.380547133563521,196.850120098448,"random search",-0.525099245968166,-0.0785785555049265,-0.322789912593323,-0.00605001517452841,0.342465753424658,0.00387596899224806,0.00598727269616905,2.92,100,3,4,258,292,96,0.141773922089829,0.113385961063285,0.618040718863893,0.150303620795842,0.756849315068493,0.0925868025239774,0.0860980245661749,0.0159597992952836,0.0131243704615225,0.0304666373311259,0.128671724805181,0.15369350601448,0.166586954367652,0.0594320293587462,0.0402500800865301,0.0955410986833497,0.00383465667730888,0.0273318051464607,0.373287671232877,0.00342465753424658,0.00917431192660551
