"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.950391279845765,0.910499869424967,0.973178884574774,0.94758354531777,0.172675521821632,0.0034965034965035,0.00233597613222838,5.79120879120879,91,2,4,286,527,87,0.403902570905758,0.242412920060246,0.546768612568367,0.255600910260871,0.144212523719165,0.0244841085338932,0.031953992615556,0.00161859172398874,0.00122039651636352,0.00785051591498313,0.0542784386228067,0.0682829840338742,0.131238189441846,0.0498804869900517,0.00727360944323427,0.0210229860624187,0.000790462245028892,0.00801878244581661,0.193548387096774,0.00189753320683112,0.00980392156862745
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.942299525332862,0.919931912049003,0.958855915360197,0.954424587924297,0.172675521821632,0.0034965034965035,0.00233597613222838,5.79120879120879,91,2,4,286,527,87,0.403902570905758,0.242412920060246,0.546768612568367,0.255600910260871,0.144212523719165,0.0244841085338932,0.031953992615556,0.00161859172398874,0.00122039651636352,0.00785051591498313,0.0542784386228067,0.0682829840338742,0.131238189441846,0.0498804869900517,0.00727360944323427,0.0210229860624187,0.000790462245028892,0.00801878244581661,0.193548387096774,0.00189753320683112,0.00980392156862745
1,3329,0.00645640708727275,0.393122451403178,23,23.1804841944801,0.55032933386974,4.78541869212234,448.382176611556,"random search",-0.556182928287285,-0.833587350188672,-0.532057591986266,-0.751693913947753,0.172675521821632,0.0034965034965035,0.00233597613222838,5.79120879120879,91,2,4,286,527,87,0.403902570905758,0.242412920060246,0.546768612568367,0.255600910260871,0.144212523719165,0.0244841085338932,0.031953992615556,0.00161859172398874,0.00122039651636352,0.00785051591498313,0.0542784386228067,0.0682829840338742,0.131238189441846,0.0498804869900517,0.00727360944323427,0.0210229860624187,0.000790462245028892,0.00801878244581661,0.193548387096774,0.00189753320683112,0.00980392156862745
2,4598,0.0501682540654635,0.302421790850349,2,1.96356888628965,0.0738677121698856,13.981354563583,30.6112779090145,"random search",0.695100284515666,0.742179879138949,0.698468428278601,0.75831572029755,0.172675521821632,0.0034965034965035,0.00233597613222838,5.79120879120879,91,2,4,286,527,87,0.403902570905758,0.242412920060246,0.546768612568367,0.255600910260871,0.144212523719165,0.0244841085338932,0.031953992615556,0.00161859172398874,0.00122039651636352,0.00785051591498313,0.0542784386228067,0.0682829840338742,0.131238189441846,0.0498804869900517,0.00727360944323427,0.0210229860624187,0.000790462245028892,0.00801878244581661,0.193548387096774,0.00189753320683112,0.00980392156862745
3,4291,0.0554314448023584,0.276069355080836,12,88.9281308714493,0.323823052225634,0.0557706255806611,10.6071429388924,"random search",-0.470441456096587,-0.00393472660931349,0.0664921973384857,0.126041395053411,0.172675521821632,0.0034965034965035,0.00233597613222838,5.79120879120879,91,2,4,286,527,87,0.403902570905758,0.242412920060246,0.546768612568367,0.255600910260871,0.144212523719165,0.0244841085338932,0.031953992615556,0.00161859172398874,0.00122039651636352,0.00785051591498313,0.0542784386228067,0.0682829840338742,0.131238189441846,0.0498804869900517,0.00727360944323427,0.0210229860624187,0.000790462245028892,0.00801878244581661,0.193548387096774,0.00189753320683112,0.00980392156862745
4,3729,0.0564861715162891,0.28947947374545,17,17.0687361100772,0.865889862412587,0.00636479825526349,0.0562534101402508,"random search",0.934551147344917,0.888695241727251,0.916821542489449,0.908057782697128,0.172675521821632,0.0034965034965035,0.00233597613222838,5.79120879120879,91,2,4,286,527,87,0.403902570905758,0.242412920060246,0.546768612568367,0.255600910260871,0.144212523719165,0.0244841085338932,0.031953992615556,0.00161859172398874,0.00122039651636352,0.00785051591498313,0.0542784386228067,0.0682829840338742,0.131238189441846,0.0498804869900517,0.00727360944323427,0.0210229860624187,0.000790462245028892,0.00801878244581661,0.193548387096774,0.00189753320683112,0.00980392156862745
5,3979,0.0610972452635937,0.328461356367916,6,16.5043091945163,0.0192941362038255,508.701003738723,0.16855585238163,"random search",0.805098267983037,0.798617422190008,0.783557504660224,0.790852388211881,0.172675521821632,0.0034965034965035,0.00233597613222838,5.79120879120879,91,2,4,286,527,87,0.403902570905758,0.242412920060246,0.546768612568367,0.255600910260871,0.144212523719165,0.0244841085338932,0.031953992615556,0.00161859172398874,0.00122039651636352,0.00785051591498313,0.0542784386228067,0.0682829840338742,0.131238189441846,0.0498804869900517,0.00727360944323427,0.0210229860624187,0.000790462245028892,0.00801878244581661,0.193548387096774,0.00189753320683112,0.00980392156862745
6,2347,0.363525841231937,0.357934713317081,24,9.01635761445844,0.0398979163728654,0.730489620654158,871.10162782337,"random search",-0.626023713852444,-0.833593256985144,-0.612215075600534,-0.751655084729797,0.172675521821632,0.0034965034965035,0.00233597613222838,5.79120879120879,91,2,4,286,527,87,0.403902570905758,0.242412920060246,0.546768612568367,0.255600910260871,0.144212523719165,0.0244841085338932,0.031953992615556,0.00161859172398874,0.00122039651636352,0.00785051591498313,0.0542784386228067,0.0682829840338742,0.131238189441846,0.0498804869900517,0.00727360944323427,0.0210229860624187,0.000790462245028892,0.00801878244581661,0.193548387096774,0.00189753320683112,0.00980392156862745
7,3,0.0179812344342782,0.558285190886818,24,7.68770621630982,0.453338400926441,1.13101375293119,8.96867139773137,"random search",-0.114536769920731,-0.683579527110096,-0.120819852508411,-0.611295913317349,0.172675521821632,0.0034965034965035,0.00233597613222838,5.79120879120879,91,2,4,286,527,87,0.403902570905758,0.242412920060246,0.546768612568367,0.255600910260871,0.144212523719165,0.0244841085338932,0.031953992615556,0.00161859172398874,0.00122039651636352,0.00785051591498313,0.0542784386228067,0.0682829840338742,0.131238189441846,0.0498804869900517,0.00727360944323427,0.0210229860624187,0.000790462245028892,0.00801878244581661,0.193548387096774,0.00189753320683112,0.00980392156862745
8,4731,0.854300232634523,0.193495362042449,7,2.03037643261737,0.625156263587996,60.2518653466054,0.0571609257556508,"random search",0.914646731528168,0.836238445846571,0.925965505738254,0.890846603025145,0.172675521821632,0.0034965034965035,0.00233597613222838,5.79120879120879,91,2,4,286,527,87,0.403902570905758,0.242412920060246,0.546768612568367,0.255600910260871,0.144212523719165,0.0244841085338932,0.031953992615556,0.00161859172398874,0.00122039651636352,0.00785051591498313,0.0542784386228067,0.0682829840338742,0.131238189441846,0.0498804869900517,0.00727360944323427,0.0210229860624187,0.000790462245028892,0.00801878244581661,0.193548387096774,0.00189753320683112,0.00980392156862745
