"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.507919612112179,0.395971557899779,0.368999963433423,-0.599032395100344,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.511080644633066,0.397330725522638,0.682807071216126,0.454757765101852,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
1,1313,0.00171247856034498,0.531388419447467,9,4.18230566665015,0.12966674612835,0.01436263984233,1.34908918956346,"random search",0.287708003612408,0.321896206883062,0.41506843352297,0.474549034963804,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
2,1408,0.0936897487547483,0.762428707210347,20,1.02060478738888,0.597964561311528,0.339094980755622,28.6671951405836,"random search",-0.452200503063428,-0.0516432731478094,-0.396338332745263,-0.135936448485221,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
3,249,0.134400151145088,0.925647544418462,11,8.63405446258129,0.114968574838713,1.82921105611723,0.00175033538824229,"random search",0.510436738348827,0.332335295203672,0.608557919226184,0.46902737306586,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
4,4837,0.0624752763747947,0.113392878766172,7,1.41636671415068,0.0490628841798753,6.99687355124789,0.715124420166844,"random search",0.460436022194007,0.34051667403615,0.659191386117325,0.579966518600329,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
5,670,0.0934706340392778,0.621617472008802,19,13.9878586930551,0.117090929299593,0.0289320312131487,0.581653187930816,"random search",0.50941357661477,0.347468837235915,0.713097341437858,0.600670497506839,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
6,1460,0.00128368172783396,0.847453239955939,7,127.550836790249,0.124465989880264,166.082146203007,68.3185206279216,"random search",-0.449820829596403,-0.0516691358262966,-0.465762091350063,-0.136215931161132,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
7,4345,0.0180740740903123,0.347121490980498,6,8.54002285105158,0.293559076497331,0.189317346719757,0.000978191348641084,"random search",0.57620667116676,0.372861398898721,0.767150214300176,0.618032743269449,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
8,1105,0.205377335784985,0.962165533914231,3,5.26664314868798,0.239164864411578,135.262501611604,115.435589801305,"random search",-0.429300655353148,-0.0516781676216025,-0.370722961567199,-0.136130119764517,0.347222222222222,0.0131578947368421,0.00984244107460775,2.88,100,2,4,76,288,96,0.304001942681073,0.200745073133196,0.556033384301733,0.205642922491701,0.0208333333333333,0.0248460489053526,0.0238027940023638,0.00118193188115698,0.000582304246964391,0.000756741976913041,0.0327145592275035,0.0585023950761044,0.14906783604764,0.054535112274979,0.00427749595219513,0.0433318351416734,0.000295474863597037,0.00242484249851722,0.378472222222222,0.00347222222222222,0.00917431192660551
