"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.512890599488351,0.321155588267482,0.669203147114593,0.460730395977312,0.174329501915709,0.00378787878787879,0.00244345481125004,5.73626373626374,91,2,4,264,522,87,0.185148994183466,0.111470034845752,0.623469311096086,0.181860741077651,0.239463601532567,0.0532459523776727,0.0500633428806077,0.00533666833061814,0.00423645476535902,0.011304284163431,0.0802547965527525,0.076322001853275,0.158338586890881,0.0668665027379017,0.0131699410340673,0.0297331140064912,0.00202683292180981,0.0120965141510916,0.195402298850575,0.00191570881226054,0.00980392156862745
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.536977172420258,0.439942642408984,0.667760181905025,0.537270375962565,0.174329501915709,0.00378787878787879,0.00244345481125004,5.73626373626374,91,2,4,264,522,87,0.185148994183466,0.111470034845752,0.623469311096086,0.181860741077651,0.239463601532567,0.0532459523776727,0.0500633428806077,0.00533666833061814,0.00423645476535902,0.011304284163431,0.0802547965527525,0.076322001853275,0.158338586890881,0.0668665027379017,0.0131699410340673,0.0297331140064912,0.00202683292180981,0.0120965141510916,0.195402298850575,0.00191570881226054,0.00980392156862745
1,3493,0.101799791394446,0.869730972126126,9,7.41879800181558,0.0644816884305328,53.1317749581648,448.064189383313,"random search",-0.516176357290744,-1.50725217389411,-0.24264217591397,-1.54197042274701,0.174329501915709,0.00378787878787879,0.00244345481125004,5.73626373626374,91,2,4,264,522,87,0.185148994183466,0.111470034845752,0.623469311096086,0.181860741077651,0.239463601532567,0.0532459523776727,0.0500633428806077,0.00533666833061814,0.00423645476535902,0.011304284163431,0.0802547965527525,0.076322001853275,0.158338586890881,0.0668665027379017,0.0131699410340673,0.0297331140064912,0.00202683292180981,0.0120965141510916,0.195402298850575,0.00191570881226054,0.00980392156862745
2,1587,0.0013024661376958,0.220988992252387,8,12.5509143997516,0.296788740670308,0.00301370057657521,3.93425912709238,"random search",0.242336401260201,0.102997970710029,0.311213850888048,0.0747863951266979,0.174329501915709,0.00378787878787879,0.00244345481125004,5.73626373626374,91,2,4,264,522,87,0.185148994183466,0.111470034845752,0.623469311096086,0.181860741077651,0.239463601532567,0.0532459523776727,0.0500633428806077,0.00533666833061814,0.00423645476535902,0.011304284163431,0.0802547965527525,0.076322001853275,0.158338586890881,0.0668665027379017,0.0131699410340673,0.0297331140064912,0.00202683292180981,0.0120965141510916,0.195402298850575,0.00191570881226054,0.00980392156862745
3,2475,0.00413023111457127,0.605072248727083,12,1.9349831364104,0.194555337773636,0.0398097854451152,2.05201098329272,"random search",0.510210242701343,0.442414032581134,0.628254444804567,0.532207861882754,0.174329501915709,0.00378787878787879,0.00244345481125004,5.73626373626374,91,2,4,264,522,87,0.185148994183466,0.111470034845752,0.623469311096086,0.181860741077651,0.239463601532567,0.0532459523776727,0.0500633428806077,0.00533666833061814,0.00423645476535902,0.011304284163431,0.0802547965527525,0.076322001853275,0.158338586890881,0.0668665027379017,0.0131699410340673,0.0297331140064912,0.00202683292180981,0.0120965141510916,0.195402298850575,0.00191570881226054,0.00980392156862745
4,1922,0.00163900328490164,0.598110394389369,9,8.58456571189016,0.647188723552972,0.0580231012208957,0.00348212039009291,"random search",0.508268656771746,0.440728304035656,0.640527199658144,0.546004390068713,0.174329501915709,0.00378787878787879,0.00244345481125004,5.73626373626374,91,2,4,264,522,87,0.185148994183466,0.111470034845752,0.623469311096086,0.181860741077651,0.239463601532567,0.0532459523776727,0.0500633428806077,0.00533666833061814,0.00423645476535902,0.011304284163431,0.0802547965527525,0.076322001853275,0.158338586890881,0.0668665027379017,0.0131699410340673,0.0297331140064912,0.00202683292180981,0.0120965141510916,0.195402298850575,0.00191570881226054,0.00980392156862745
5,3746,0.00197319158269279,0.769576336583123,9,103.111961591563,0.743034252431244,0.0828057275027879,64.1877832061329,"random search",0.0846735964064363,0.145607721023297,0.198493665758847,0.20387866799497,0.174329501915709,0.00378787878787879,0.00244345481125004,5.73626373626374,91,2,4,264,522,87,0.185148994183466,0.111470034845752,0.623469311096086,0.181860741077651,0.239463601532567,0.0532459523776727,0.0500633428806077,0.00533666833061814,0.00423645476535902,0.011304284163431,0.0802547965527525,0.076322001853275,0.158338586890881,0.0668665027379017,0.0131699410340673,0.0297331140064912,0.00202683292180981,0.0120965141510916,0.195402298850575,0.00191570881226054,0.00980392156862745
6,3830,0.0671689389589677,0.427988971909508,15,40.7435202428439,0.611022781347856,0.234225365845702,15.4259059354396,"random search",0.480060711084768,0.410023925659826,0.626619607175132,0.478855572594873,0.174329501915709,0.00378787878787879,0.00244345481125004,5.73626373626374,91,2,4,264,522,87,0.185148994183466,0.111470034845752,0.623469311096086,0.181860741077651,0.239463601532567,0.0532459523776727,0.0500633428806077,0.00533666833061814,0.00423645476535902,0.011304284163431,0.0802547965527525,0.076322001853275,0.158338586890881,0.0668665027379017,0.0131699410340673,0.0297331140064912,0.00202683292180981,0.0120965141510916,0.195402298850575,0.00191570881226054,0.00980392156862745
7,4598,0.054640810353296,0.594369372678921,16,1.90440957391048,0.419277105946094,148.808519677063,52.8603766241411,"random search",0.220260900116443,0.224305845350832,0.338996773475353,0.30026413575239,0.174329501915709,0.00378787878787879,0.00244345481125004,5.73626373626374,91,2,4,264,522,87,0.185148994183466,0.111470034845752,0.623469311096086,0.181860741077651,0.239463601532567,0.0532459523776727,0.0500633428806077,0.00533666833061814,0.00423645476535902,0.011304284163431,0.0802547965527525,0.076322001853275,0.158338586890881,0.0668665027379017,0.0131699410340673,0.0297331140064912,0.00202683292180981,0.0120965141510916,0.195402298850575,0.00191570881226054,0.00980392156862745
8,4474,0.056442745577067,0.469642273522913,12,38.0796558685293,0.980492821661755,0.0825473966142486,25.8800824932284,"random search",0.335758004665391,0.336540761226871,0.459181823506314,0.396448350478603,0.174329501915709,0.00378787878787879,0.00244345481125004,5.73626373626374,91,2,4,264,522,87,0.185148994183466,0.111470034845752,0.623469311096086,0.181860741077651,0.239463601532567,0.0532459523776727,0.0500633428806077,0.00533666833061814,0.00423645476535902,0.011304284163431,0.0802547965527525,0.076322001853275,0.158338586890881,0.0668665027379017,0.0131699410340673,0.0297331140064912,0.00202683292180981,0.0120965141510916,0.195402298850575,0.00191570881226054,0.00980392156862745
