"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.494220912292529,0.304138770792498,0.541362051534258,0.427756279962985,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.520970263722601,0.395849605668922,0.483305853993079,0.370383589645555,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
1,1290,0.00822473594691424,0.261740200128406,25,36.8271994153118,0.384510882431641,356.392428791681,0.0862465874672391,"random search",-0.296796683178081,-0.176275441497854,-0.130265232814247,-0.274502517595248,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
2,1434,0.00488867440201911,0.234892552299425,9,7.93606467669832,0.376688023097813,0.0209748839344623,19.6213586766618,"random search",0.216326630905503,0.175505515861132,0.172709780145126,0.0760750707521187,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
3,1213,0.827073685342499,0.215881431777962,5,31.7731328630924,0.545132832136005,38.7973888130302,0.365241151960331,"random search",0.504859131520613,0.224541517379544,0.415878508926415,-0.0384232970230158,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
4,169,0.0897666241768068,0.282122245873325,14,36.0002513834975,0.770784665364772,584.261169057563,53.5146237718668,"random search",-0.55702783450621,-1.33378556041023,-0.578067423804827,-1.39938099569175,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
5,4109,0.0137861513691265,0.927916381019168,10,1.45026855096402,0.318473007762805,6.5925282220704,0.0446722342211038,"random search",0.502803878672251,0.396483336662543,0.509097481562677,0.439269324633768,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
6,860,0.0230581564590756,0.692377515556291,25,90.0477264772865,0.417394349584356,998.649502426325,0.650015461829856,"random search",-0.00690609725653601,0.0744532127625932,0.0277911939653878,0.0225106968654859,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
7,4399,0.00861029432900294,0.465368631947786,8,2.202921630518,0.796295932726935,423.237482096244,0.00322330570996484,"random search",0.477688906006598,0.396882400288472,0.459362284238262,0.393744397059809,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
8,4275,0.00195357711693336,0.64112423688639,21,34.433610707253,0.946823447244242,0.356371332378125,8.37796651907421,"random search",0.463895181232073,0.409882236542935,0.38978813915659,0.325146100475455,0.340136054421769,0.00546448087431694,0.00300095296811469,2.94,100,4,4,183,294,96,0.189913405106005,0.119838440353276,0.608874742557573,0.15747022867582,0.418367346938776,0.0853478942453342,0.071751076774967,0.0124149691282406,0.00967892834283546,0.0187862609253467,0.137428896473265,0.136639985766626,0.167959287764747,0.0587168979924968,0.0326550279975936,0.0681657807042282,0.00271912838477424,0.0143910168381256,0.370748299319728,0.00340136054421769,0.00917431192660551
