"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.347413641309561,0.10757571389212,0.434375684792406,0.318109298960711,0.170411985018727,0.00694444444444444,0.0055405072087646,5.86813186813187,91,2,4,144,534,87,0.199671161444461,0.110739013651301,0.607714621429096,0.192511673785773,0.0243445692883895,0.0317693427797738,0.0404343255085204,0.00264116414455829,0.0019961302739359,0.00922138325833507,0.0487448642743487,0.0707620134711387,0.14982851308909,0.0602751493884904,0.00606025766992109,0.0298930185809356,0.00062566117422425,0.00345680626904048,0.191011235955056,0.00187265917602996,0.00980392156862745
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.285738567680886,0.149932429537806,0.405906179311979,0.229626438471798,0.170411985018727,0.00694444444444444,0.0055405072087646,5.86813186813187,91,2,4,144,534,87,0.199671161444461,0.110739013651301,0.607714621429096,0.192511673785773,0.0243445692883895,0.0317693427797738,0.0404343255085204,0.00264116414455829,0.0019961302739359,0.00922138325833507,0.0487448642743487,0.0707620134711387,0.14982851308909,0.0602751493884904,0.00606025766992109,0.0298930185809356,0.00062566117422425,0.00345680626904048,0.191011235955056,0.00187265917602996,0.00980392156862745
1,2026,0.168856046959287,0.606275239377283,15,1.54877393927146,0.233457128284499,744.778010437173,0.00145386476075649,"random search",0.283260085833716,0.177925779593052,0.363361538992184,0.253517267338149,0.170411985018727,0.00694444444444444,0.0055405072087646,5.86813186813187,91,2,4,144,534,87,0.199671161444461,0.110739013651301,0.607714621429096,0.192511673785773,0.0243445692883895,0.0317693427797738,0.0404343255085204,0.00264116414455829,0.0019961302739359,0.00922138325833507,0.0487448642743487,0.0707620134711387,0.14982851308909,0.0602751493884904,0.00606025766992109,0.0298930185809356,0.00062566117422425,0.00345680626904048,0.191011235955056,0.00187265917602996,0.00980392156862745
2,3387,0.872423996369194,0.728708641626872,21,1.6593892076901,0.973158874316141,3.65322994911956,0.00142294157267419,"random search",0.289253784962903,-0.310571827226044,0.374303797544168,-0.123775679833821,0.170411985018727,0.00694444444444444,0.0055405072087646,5.86813186813187,91,2,4,144,534,87,0.199671161444461,0.110739013651301,0.607714621429096,0.192511673785773,0.0243445692883895,0.0317693427797738,0.0404343255085204,0.00264116414455829,0.0019961302739359,0.00922138325833507,0.0487448642743487,0.0707620134711387,0.14982851308909,0.0602751493884904,0.00606025766992109,0.0298930185809356,0.00062566117422425,0.00345680626904048,0.191011235955056,0.00187265917602996,0.00980392156862745
3,2591,0.387455370769894,0.824651665450074,8,1.33307263989033,0.0385734385345131,10.1957053093409,0.00413444947277215,"random search",0.23516891028388,0.0820565467762218,0.281297323978855,0.141379939077449,0.170411985018727,0.00694444444444444,0.0055405072087646,5.86813186813187,91,2,4,144,534,87,0.199671161444461,0.110739013651301,0.607714621429096,0.192511673785773,0.0243445692883895,0.0317693427797738,0.0404343255085204,0.00264116414455829,0.0019961302739359,0.00922138325833507,0.0487448642743487,0.0707620134711387,0.14982851308909,0.0602751493884904,0.00606025766992109,0.0298930185809356,0.00062566117422425,0.00345680626904048,0.191011235955056,0.00187265917602996,0.00980392156862745
4,2317,0.221129508849844,0.209188424679451,4,10.5294599979581,0.0825028815306723,0.00391178224346164,0.00277238915863273,"random search",0.215624333453125,-0.451640138431271,0.273322159044838,-0.35955761204778,0.170411985018727,0.00694444444444444,0.0055405072087646,5.86813186813187,91,2,4,144,534,87,0.199671161444461,0.110739013651301,0.607714621429096,0.192511673785773,0.0243445692883895,0.0317693427797738,0.0404343255085204,0.00264116414455829,0.0019961302739359,0.00922138325833507,0.0487448642743487,0.0707620134711387,0.14982851308909,0.0602751493884904,0.00606025766992109,0.0298930185809356,0.00062566117422425,0.00345680626904048,0.191011235955056,0.00187265917602996,0.00980392156862745
5,1181,0.468811340199514,0.950009981007315,19,34.187069266163,0.25886446912773,2.32414792223978,0.00181807905148289,"random search",0.27095229547182,-0.00646779747765569,0.433058389747988,0.116275065411229,0.170411985018727,0.00694444444444444,0.0055405072087646,5.86813186813187,91,2,4,144,534,87,0.199671161444461,0.110739013651301,0.607714621429096,0.192511673785773,0.0243445692883895,0.0317693427797738,0.0404343255085204,0.00264116414455829,0.0019961302739359,0.00922138325833507,0.0487448642743487,0.0707620134711387,0.14982851308909,0.0602751493884904,0.00606025766992109,0.0298930185809356,0.00062566117422425,0.00345680626904048,0.191011235955056,0.00187265917602996,0.00980392156862745
6,3004,0.308855226850903,0.81592228943482,19,15.8100646364539,0.920710484264418,43.0540264443081,61.8398012499775,"random search",-0.0681231589873144,-0.028373739826616,0.000116116635863084,-0.0609249408338144,0.170411985018727,0.00694444444444444,0.0055405072087646,5.86813186813187,91,2,4,144,534,87,0.199671161444461,0.110739013651301,0.607714621429096,0.192511673785773,0.0243445692883895,0.0317693427797738,0.0404343255085204,0.00264116414455829,0.0019961302739359,0.00922138325833507,0.0487448642743487,0.0707620134711387,0.14982851308909,0.0602751493884904,0.00606025766992109,0.0298930185809356,0.00062566117422425,0.00345680626904048,0.191011235955056,0.00187265917602996,0.00980392156862745
7,4511,0.0028702923962137,0.531288567720912,18,66.5734856068459,0.758394188247621,153.644538609357,7.2043034962085,"random search",0.0839510678299529,0.146391729188631,0.136282138969079,0.172602747245307,0.170411985018727,0.00694444444444444,0.0055405072087646,5.86813186813187,91,2,4,144,534,87,0.199671161444461,0.110739013651301,0.607714621429096,0.192511673785773,0.0243445692883895,0.0317693427797738,0.0404343255085204,0.00264116414455829,0.0019961302739359,0.00922138325833507,0.0487448642743487,0.0707620134711387,0.14982851308909,0.0602751493884904,0.00606025766992109,0.0298930185809356,0.00062566117422425,0.00345680626904048,0.191011235955056,0.00187265917602996,0.00980392156862745
8,962,0.384924824294838,0.621010675025172,1,1.4245556442019,0.709150549490005,0.0945588935033275,258.346010839969,"random search",-0.549074551117316,-3.6871882215312,-0.506875829871905,-2.87840947116081,0.170411985018727,0.00694444444444444,0.0055405072087646,5.86813186813187,91,2,4,144,534,87,0.199671161444461,0.110739013651301,0.607714621429096,0.192511673785773,0.0243445692883895,0.0317693427797738,0.0404343255085204,0.00264116414455829,0.0019961302739359,0.00922138325833507,0.0487448642743487,0.0707620134711387,0.14982851308909,0.0602751493884904,0.00606025766992109,0.0298930185809356,0.00062566117422425,0.00345680626904048,0.191011235955056,0.00187265917602996,0.00980392156862745
