"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.676290797067103,0.5873892063607,0.748061332674284,0.629900812711077,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.55980615118042,0.116425365530753,0.514619883040936,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.195670447710793,0.063277836673464,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.140350877192982,0.00389863547758285,0.0277777777777778
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.664638554424145,0.630447582930969,0.723685368473878,0.631596700766855,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.55980615118042,0.116425365530753,0.514619883040936,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.195670447710793,0.063277836673464,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.140350877192982,0.00389863547758285,0.0277777777777778
1,4872,0.00388345179050161,0.321052544796839,5,1.51091621271092,0.123623620020226,0.00852543994871069,0.0324222268666364,"random search",0.628858946698377,0.623525236109034,0.690087658650288,0.650324247073668,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.55980615118042,0.116425365530753,0.514619883040936,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.195670447710793,0.063277836673464,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.140350877192982,0.00389863547758285,0.0277777777777778
2,1260,0.01463911783617,0.576872401474975,11,94.3149315403178,0.224590776488185,95.2101056122242,0.0188534372321227,"random search",0.39665034621571,0.352449454978812,0.429419627263001,0.348673047670759,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.55980615118042,0.116425365530753,0.514619883040936,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.195670447710793,0.063277836673464,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.140350877192982,0.00389863547758285,0.0277777777777778
3,1355,0.0155947317641534,0.702682781568728,16,1.02456293148067,0.742658551083878,0.0373850291898303,799.835157745482,"random search",-0.439138998698713,-0.00526126462374621,-0.432643546995699,-0.00300879824259992,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.55980615118042,0.116425365530753,0.514619883040936,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.195670447710793,0.063277836673464,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.140350877192982,0.00389863547758285,0.0277777777777778
4,2354,0.783445377430331,0.926271389145404,16,11.2231506614507,0.262172886403278,0.133940164596386,420.376579714277,"random search",-0.406341372783381,-0.00514472915750308,-0.459573636874963,-0.00301369211588631,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.55980615118042,0.116425365530753,0.514619883040936,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.195670447710793,0.063277836673464,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.140350877192982,0.00389863547758285,0.0277777777777778
5,2743,0.00811785777870552,0.644909334625117,18,88.3862826012287,0.847966962493956,0.151288740408062,21.9307092684032,"random search",-0.441013310833339,-0.00531618862612304,-0.433559965462306,-0.00293443883043953,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.55980615118042,0.116425365530753,0.514619883040936,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.195670447710793,0.063277836673464,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.140350877192982,0.00389863547758285,0.0277777777777778
6,29,0.00126556321541409,0.712280364334583,25,1.267470404878,0.509846372297034,311.317940633754,0.26086914255693,"random search",-0.0632145228370908,0.000296918293347881,-0.0755057677758988,0.00219126544313386,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.55980615118042,0.116425365530753,0.514619883040936,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.195670447710793,0.063277836673464,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.140350877192982,0.00389863547758285,0.0277777777777778
7,4836,0.0149822713687335,0.440413316525519,4,2.65103322573242,0.838713455945253,0.283276598637697,0.00297613815518931,"random search",0.706018261316618,0.664636173103099,0.775738852005187,0.689072311553882,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.55980615118042,0.116425365530753,0.514619883040936,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.195670447710793,0.063277836673464,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.140350877192982,0.00389863547758285,0.0277777777777778
8,2502,0.0021390435422799,0.656229044566862,4,3.17327731030614,0.461529969936237,0.908438430914584,1.37876679725951,"random search",0.539948994971145,0.542326286368777,0.584986729981113,0.538696818764722,0.0857699805068226,0.00194931773879142,0,11.6590909090909,44,0,4,513,513,40,0.152614616419973,0.113540917606592,0.55980615118042,0.116425365530753,0.514619883040936,0.0860982894423256,0.0740348934866966,0.0128833963654331,0.0100367150251471,0.0159085392029982,0.0989057012550321,0.105423874612647,0.195670447710793,0.063277836673464,0.0178084758043991,0.0429457827499629,0.00167940818911473,0.0100872984057193,0.140350877192982,0.00389863547758285,0.0277777777777778
