"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.899535263963996,0.857818788124032,0.904879141968216,0.856388441981464,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.531856752480943,0.108016231082521,0.633251833740831,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.16853792334092,0.0589113481669169,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.207823960880196,0.00488997555012225,0.0235294117647059
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.903229649143487,0.88161596060743,0.918410194203057,0.906910455843412,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.531856752480943,0.108016231082521,0.633251833740831,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.16853792334092,0.0589113481669169,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.207823960880196,0.00488997555012225,0.0235294117647059
1,743,0.00793523533966168,0.978715343773365,9,4.13444029045706,0.472573159728199,0.586435141989766,0.158404786793109,"random search",0.889243467220542,0.875394860293984,0.907568035902923,0.909653441432217,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.531856752480943,0.108016231082521,0.633251833740831,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.16853792334092,0.0589113481669169,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.207823960880196,0.00488997555012225,0.0235294117647059
2,4171,0.00318053348644819,0.240370035707019,6,3.74694578128774,0.308233378920704,2.95948849719337,0.796633111696234,"random search",0.856100278433897,0.848093342026369,0.888613694395996,0.908156865832244,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.531856752480943,0.108016231082521,0.633251833740831,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.16853792334092,0.0589113481669169,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.207823960880196,0.00488997555012225,0.0235294117647059
3,3988,0.0342174824949737,0.335091924574226,12,1.42506485559782,0.26605287566781,17.2641744679193,2.39119404077654,"random search",0.848156581435768,0.841575334752029,0.887530675867415,0.887330517528322,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.531856752480943,0.108016231082521,0.633251833740831,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.16853792334092,0.0589113481669169,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.207823960880196,0.00488997555012225,0.0235294117647059
4,2526,0.0117815402464112,0.107274548779242,24,87.3758835376592,0.943266211310402,0.0210659624043828,0.0734028012481605,"random search",-0.504342354955204,-0.00505993315792219,-0.472439955123027,-7.016217993705e-06,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.531856752480943,0.108016231082521,0.633251833740831,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.16853792334092,0.0589113481669169,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.207823960880196,0.00488997555012225,0.0235294117647059
5,3657,0.0052263298174587,0.736119098565541,7,57.9814300308579,0.653512453660369,0.0112826293053843,0.698876836637551,"random search",0.8616828350772,0.825480808483678,0.898699702539222,0.892602154192068,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.531856752480943,0.108016231082521,0.633251833740831,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.16853792334092,0.0589113481669169,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.207823960880196,0.00488997555012225,0.0235294117647059
6,67,0.388442231943461,0.498754797922447,20,42.3987142012701,0.804141839267686,17.1892768257554,2.68743522969806,"random search",0.837418896033219,0.77686199139272,0.92331608788754,0.877315896108349,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.531856752480943,0.108016231082521,0.633251833740831,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.16853792334092,0.0589113481669169,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.207823960880196,0.00488997555012225,0.0235294117647059
7,1497,0.00315211216587188,0.211952527612448,9,126.831994675495,0.910090936347842,849.060158455764,1.51659553378848,"random search",-0.635596822902016,-13.0782073598089,-0.502748241133024,-11.3460783903021,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.531856752480943,0.108016231082521,0.633251833740831,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.16853792334092,0.0589113481669169,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.207823960880196,0.00488997555012225,0.0235294117647059
8,1874,0.0154198127142917,0.15105537942145,1,46.0239778625361,0.474236883223057,0.00648893842698504,402.382585305016,"random search",-0.509139348310976,-0.00512707963141379,-0.436202689259621,-3.04127920469632e-05,0.110024449877751,0.00269541778975741,0.000824816218351133,9.08888888888889,45,0,5,371,409,40,0.158954032004442,0.144750385332882,0.531856752480943,0.108016231082521,0.633251833740831,0.0480178352224859,0.044530133804695,0.00428379706962234,0.00292543837828144,0.00659864779535544,0.0775013138977974,0.0910320423968617,0.16853792334092,0.0589113481669169,0.0111084850638203,0.0345805129465674,0.000205380743190574,0.00237855455467621,0.207823960880196,0.00488997555012225,0.0235294117647059
