"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.491656608158008,0.145972754806814,0.723283469017495,0.608958520636191,0.0866141732283465,0.00208333333333333,0.000826140619966655,11.5454545454545,44,0,4,480,508,40,0.208718385753461,0.193820250775934,0.527203630796151,0.120865124101183,0.0728346456692913,0.0445221526518731,0.0677826326306919,0.00656766310072932,0.00504812478878256,0.0328599402829337,0.0476365637889519,0.105494302972739,0.185668076548271,0.0602593807253898,0.0126838522687009,0.0750977353860513,0.00028932909965826,0.00317097287924782,0.141732283464567,0.00393700787401575,0.0277777777777778
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.534304424845641,0.333442052322449,0.764110371685259,0.724091254515216,0.0866141732283465,0.00208333333333333,0.000826140619966655,11.5454545454545,44,0,4,480,508,40,0.208718385753461,0.193820250775934,0.527203630796151,0.120865124101183,0.0728346456692913,0.0445221526518731,0.0677826326306919,0.00656766310072932,0.00504812478878256,0.0328599402829337,0.0476365637889519,0.105494302972739,0.185668076548271,0.0602593807253898,0.0126838522687009,0.0750977353860513,0.00028932909965826,0.00317097287924782,0.141732283464567,0.00393700787401575,0.0277777777777778
1,4099,0.0249813414325398,0.25350693827495,15,2.85566107581747,0.981074279174209,0.257123524113405,0.0629370134012834,"random search",0.580965288060085,0.337603656314066,0.797936960531836,0.666553854484925,0.0866141732283465,0.00208333333333333,0.000826140619966655,11.5454545454545,44,0,4,480,508,40,0.208718385753461,0.193820250775934,0.527203630796151,0.120865124101183,0.0728346456692913,0.0445221526518731,0.0677826326306919,0.00656766310072932,0.00504812478878256,0.0328599402829337,0.0476365637889519,0.105494302972739,0.185668076548271,0.0602593807253898,0.0126838522687009,0.0750977353860513,0.00028932909965826,0.00317097287924782,0.141732283464567,0.00393700787401575,0.0277777777777778
2,2669,0.0268013187647828,0.143768610036932,12,35.611219877121,0.093280560337007,0.00694710636043526,49.6348013844305,"random search",0.284670728636828,0.26851487898109,0.385643814444203,0.320354962028907,0.0866141732283465,0.00208333333333333,0.000826140619966655,11.5454545454545,44,0,4,480,508,40,0.208718385753461,0.193820250775934,0.527203630796151,0.120865124101183,0.0728346456692913,0.0445221526518731,0.0677826326306919,0.00656766310072932,0.00504812478878256,0.0328599402829337,0.0476365637889519,0.105494302972739,0.185668076548271,0.0602593807253898,0.0126838522687009,0.0750977353860513,0.00028932909965826,0.00317097287924782,0.141732283464567,0.00393700787401575,0.0277777777777778
3,1694,0.00475021489157673,0.779739661561325,15,3.46028761106552,0.621646125335246,0.0859414043405798,95.8705737263886,"random search",0.492177369052474,0.346784652056585,0.566751492580429,0.380500531503182,0.0866141732283465,0.00208333333333333,0.000826140619966655,11.5454545454545,44,0,4,480,508,40,0.208718385753461,0.193820250775934,0.527203630796151,0.120865124101183,0.0728346456692913,0.0445221526518731,0.0677826326306919,0.00656766310072932,0.00504812478878256,0.0328599402829337,0.0476365637889519,0.105494302972739,0.185668076548271,0.0602593807253898,0.0126838522687009,0.0750977353860513,0.00028932909965826,0.00317097287924782,0.141732283464567,0.00393700787401575,0.0277777777777778
4,3227,0.00102609730937958,0.925398821081035,20,25.4722228015569,0.629622410517186,0.107327871998408,117.557167991683,"random search",0.429188327074428,0.330934194548185,0.565816931196101,0.491448892708721,0.0866141732283465,0.00208333333333333,0.000826140619966655,11.5454545454545,44,0,4,480,508,40,0.208718385753461,0.193820250775934,0.527203630796151,0.120865124101183,0.0728346456692913,0.0445221526518731,0.0677826326306919,0.00656766310072932,0.00504812478878256,0.0328599402829337,0.0476365637889519,0.105494302972739,0.185668076548271,0.0602593807253898,0.0126838522687009,0.0750977353860513,0.00028932909965826,0.00317097287924782,0.141732283464567,0.00393700787401575,0.0277777777777778
5,3113,0.0104868943243474,0.742707687686197,13,106.549863544789,0.266351954080164,0.0109296101970008,753.644113503993,"random search",0.212589620959857,0.205862912769065,0.308412397421172,0.295520028025172,0.0866141732283465,0.00208333333333333,0.000826140619966655,11.5454545454545,44,0,4,480,508,40,0.208718385753461,0.193820250775934,0.527203630796151,0.120865124101183,0.0728346456692913,0.0445221526518731,0.0677826326306919,0.00656766310072932,0.00504812478878256,0.0328599402829337,0.0476365637889519,0.105494302972739,0.185668076548271,0.0602593807253898,0.0126838522687009,0.0750977353860513,0.00028932909965826,0.00317097287924782,0.141732283464567,0.00393700787401575,0.0277777777777778
6,4314,0.699395500264802,0.614775702054612,16,9.09499691315942,0.177944726543501,0.155873558316448,139.198858305175,"random search",0.518614961656168,0.346747547240131,0.606877261214114,0.463405772689423,0.0866141732283465,0.00208333333333333,0.000826140619966655,11.5454545454545,44,0,4,480,508,40,0.208718385753461,0.193820250775934,0.527203630796151,0.120865124101183,0.0728346456692913,0.0445221526518731,0.0677826326306919,0.00656766310072932,0.00504812478878256,0.0328599402829337,0.0476365637889519,0.105494302972739,0.185668076548271,0.0602593807253898,0.0126838522687009,0.0750977353860513,0.00028932909965826,0.00317097287924782,0.141732283464567,0.00393700787401575,0.0277777777777778
7,4856,0.266323457015691,0.504999979003333,12,9.27821038620684,0.0186754676979035,0.0439944556545086,80.5471983492599,"random search",0.467988802156042,0.330973603311028,0.593437591199678,0.532061390699038,0.0866141732283465,0.00208333333333333,0.000826140619966655,11.5454545454545,44,0,4,480,508,40,0.208718385753461,0.193820250775934,0.527203630796151,0.120865124101183,0.0728346456692913,0.0445221526518731,0.0677826326306919,0.00656766310072932,0.00504812478878256,0.0328599402829337,0.0476365637889519,0.105494302972739,0.185668076548271,0.0602593807253898,0.0126838522687009,0.0750977353860513,0.00028932909965826,0.00317097287924782,0.141732283464567,0.00393700787401575,0.0277777777777778
8,4554,0.0013052749177046,0.458793464978226,7,99.0409320434947,0.238604563521221,19.5385912076642,0.0017648867374015,"random search",0.287272171405485,0.274480819591294,0.368196885983838,0.328741140283949,0.0866141732283465,0.00208333333333333,0.000826140619966655,11.5454545454545,44,0,4,480,508,40,0.208718385753461,0.193820250775934,0.527203630796151,0.120865124101183,0.0728346456692913,0.0445221526518731,0.0677826326306919,0.00656766310072932,0.00504812478878256,0.0328599402829337,0.0476365637889519,0.105494302972739,0.185668076548271,0.0602593807253898,0.0126838522687009,0.0750977353860513,0.00028932909965826,0.00317097287924782,0.141732283464567,0.00393700787401575,0.0277777777777778
9,1879,0.00506220675009256,0.448897272301838,12,1.2523170864647,0.413920953171328,89.6272751291307,2.42980435714828,"random search",0.426580880208708,0.358018836097238,0.506236515693343,0.420046318509472,0.0866141732283465,0.00208333333333333,0.000826140619966655,11.5454545454545,44,0,4,480,508,40,0.208718385753461,0.193820250775934,0.527203630796151,0.120865124101183,0.0728346456692913,0.0445221526518731,0.0677826326306919,0.00656766310072932,0.00504812478878256,0.0328599402829337,0.0476365637889519,0.105494302972739,0.185668076548271,0.0602593807253898,0.0126838522687009,0.0750977353860513,0.00028932909965826,0.00317097287924782,0.141732283464567,0.00393700787401575,0.0277777777777778
10,2658,0.00233953285230889,0.216184271825478,21,16.1825030175905,0.58981318352744,70.400283203655,1.55311498690674,"random search",0.31305858973551,0.286017905461356,0.411774779925167,0.387094917035783,0.0866141732283465,0.00208333333333333,0.000826140619966655,11.5454545454545,44,0,4,480,508,40,0.208718385753461,0.193820250775934,0.527203630796151,0.120865124101183,0.0728346456692913,0.0445221526518731,0.0677826326306919,0.00656766310072932,0.00504812478878256,0.0328599402829337,0.0476365637889519,0.105494302972739,0.185668076548271,0.0602593807253898,0.0126838522687009,0.0750977353860513,0.00028932909965826,0.00317097287924782,0.141732283464567,0.00393700787401575,0.0277777777777778
11,4596,0.0325949943353566,0.221843402809463,8,1.04308357854304,0.725344168022275,0.00778871153522171,0.117484042063064,"random search",0.578413160184908,0.354985689341542,0.759633289772373,0.636454568413492,0.0866141732283465,0.00208333333333333,0.000826140619966655,11.5454545454545,44,0,4,480,508,40,0.208718385753461,0.193820250775934,0.527203630796151,0.120865124101183,0.0728346456692913,0.0445221526518731,0.0677826326306919,0.00656766310072932,0.00504812478878256,0.0328599402829337,0.0476365637889519,0.105494302972739,0.185668076548271,0.0602593807253898,0.0126838522687009,0.0750977353860513,0.00028932909965826,0.00317097287924782,0.141732283464567,0.00393700787401575,0.0277777777777778
