"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.606568203785098,0.318471718239673,0.350819225494482,0.165407063691527,0.110024449877751,0.00258397932816537,0.00213653233826034,9.08888888888889,45,0,5,387,409,40,0.134323800519856,0.110646623802658,0.534560621314541,0.0870879331817445,0.112469437652812,0.04706974166245,0.0571660588825307,0.00547552875026679,0.00322333219259609,0.00859390725187969,0.0594207655503782,0.0884193265604205,0.182957061947037,0.0535520558115785,0.0104867228283536,0.04868672344241,0.000362398293827126,0.0036604311983572,0.207823960880196,0.00488997555012225,0.0235294117647059
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.636817221310965,0.553021349905461,0.419097615324567,0.283849225714907,0.110024449877751,0.00258397932816537,0.00213653233826034,9.08888888888889,45,0,5,387,409,40,0.134323800519856,0.110646623802658,0.534560621314541,0.0870879331817445,0.112469437652812,0.04706974166245,0.0571660588825307,0.00547552875026679,0.00322333219259609,0.00859390725187969,0.0594207655503782,0.0884193265604205,0.182957061947037,0.0535520558115785,0.0104867228283536,0.04868672344241,0.000362398293827126,0.0036604311983572,0.207823960880196,0.00488997555012225,0.0235294117647059
1,138,0.00597721473699995,0.667316027195193,15,28.607319080176,0.490197411039844,33.3688949071331,0.00178921266209999,"random search",0.0260810136685975,-0.151886825922734,0.0510380366393178,-0.0769332951075146,0.110024449877751,0.00258397932816537,0.00213653233826034,9.08888888888889,45,0,5,387,409,40,0.134323800519856,0.110646623802658,0.534560621314541,0.0870879331817445,0.112469437652812,0.04706974166245,0.0571660588825307,0.00547552875026679,0.00322333219259609,0.00859390725187969,0.0594207655503782,0.0884193265604205,0.182957061947037,0.0535520558115785,0.0104867228283536,0.04868672344241,0.000362398293827126,0.0036604311983572,0.207823960880196,0.00488997555012225,0.0235294117647059
2,3019,0.00394442462314362,0.864919198746793,17,11.4249374359742,0.346177665749565,4.33548620637642,231.499539696749,"random search",0.490646673361329,0.456561938751516,0.412477053373793,0.334716872970205,0.110024449877751,0.00258397932816537,0.00213653233826034,9.08888888888889,45,0,5,387,409,40,0.134323800519856,0.110646623802658,0.534560621314541,0.0870879331817445,0.112469437652812,0.04706974166245,0.0571660588825307,0.00547552875026679,0.00322333219259609,0.00859390725187969,0.0594207655503782,0.0884193265604205,0.182957061947037,0.0535520558115785,0.0104867228283536,0.04868672344241,0.000362398293827126,0.0036604311983572,0.207823960880196,0.00488997555012225,0.0235294117647059
3,2869,0.0109894714073466,0.824453110527247,13,1.99088738325036,0.778065878199413,0.00660634755791009,17.9249230589247,"random search",0.631345979502601,0.526568691878914,0.384165514487912,0.214015739373687,0.110024449877751,0.00258397932816537,0.00213653233826034,9.08888888888889,45,0,5,387,409,40,0.134323800519856,0.110646623802658,0.534560621314541,0.0870879331817445,0.112469437652812,0.04706974166245,0.0571660588825307,0.00547552875026679,0.00322333219259609,0.00859390725187969,0.0594207655503782,0.0884193265604205,0.182957061947037,0.0535520558115785,0.0104867228283536,0.04868672344241,0.000362398293827126,0.0036604311983572,0.207823960880196,0.00488997555012225,0.0235294117647059
4,3156,0.107021165730863,0.65216877439525,2,32.9091330509882,0.178260940359905,0.079326081454694,101.485313480259,"random search",0.580765312392928,0.473603995216389,0.478664871712856,0.3058079504909,0.110024449877751,0.00258397932816537,0.00213653233826034,9.08888888888889,45,0,5,387,409,40,0.134323800519856,0.110646623802658,0.534560621314541,0.0870879331817445,0.112469437652812,0.04706974166245,0.0571660588825307,0.00547552875026679,0.00322333219259609,0.00859390725187969,0.0594207655503782,0.0884193265604205,0.182957061947037,0.0535520558115785,0.0104867228283536,0.04868672344241,0.000362398293827126,0.0036604311983572,0.207823960880196,0.00488997555012225,0.0235294117647059
5,2332,0.00494235969813033,0.635425771726295,22,55.5405005630799,0.403324941173196,0.00669049241374988,0.122702633797006,"random search",0.429081536120714,0.372500244425519,0.458018149756684,0.425374303399268,0.110024449877751,0.00258397932816537,0.00213653233826034,9.08888888888889,45,0,5,387,409,40,0.134323800519856,0.110646623802658,0.534560621314541,0.0870879331817445,0.112469437652812,0.04706974166245,0.0571660588825307,0.00547552875026679,0.00322333219259609,0.00859390725187969,0.0594207655503782,0.0884193265604205,0.182957061947037,0.0535520558115785,0.0104867228283536,0.04868672344241,0.000362398293827126,0.0036604311983572,0.207823960880196,0.00488997555012225,0.0235294117647059
6,2874,0.118222862930463,0.947893082746305,2,34.9334697312974,0.707832535728812,0.621223389995446,0.00663148802136095,"random search",0.619364026469909,0.46154736916073,0.449062434295777,0.157459048475529,0.110024449877751,0.00258397932816537,0.00213653233826034,9.08888888888889,45,0,5,387,409,40,0.134323800519856,0.110646623802658,0.534560621314541,0.0870879331817445,0.112469437652812,0.04706974166245,0.0571660588825307,0.00547552875026679,0.00322333219259609,0.00859390725187969,0.0594207655503782,0.0884193265604205,0.182957061947037,0.0535520558115785,0.0104867228283536,0.04868672344241,0.000362398293827126,0.0036604311983572,0.207823960880196,0.00488997555012225,0.0235294117647059
7,4606,0.0141594609509373,0.611793230636977,16,57.7437571316611,0.709344614995643,27.4075436384077,1.15775694963562,"random search",0.525308980403026,0.434418444102108,0.469043015832461,0.334931752792075,0.110024449877751,0.00258397932816537,0.00213653233826034,9.08888888888889,45,0,5,387,409,40,0.134323800519856,0.110646623802658,0.534560621314541,0.0870879331817445,0.112469437652812,0.04706974166245,0.0571660588825307,0.00547552875026679,0.00322333219259609,0.00859390725187969,0.0594207655503782,0.0884193265604205,0.182957061947037,0.0535520558115785,0.0104867228283536,0.04868672344241,0.000362398293827126,0.0036604311983572,0.207823960880196,0.00488997555012225,0.0235294117647059
8,3756,0.122851725256049,0.641302574868314,6,78.089078200693,0.938357186736539,1.88604449890105,0.0295283532872317,"random search",0.548875146415571,0.323306152460161,0.437299095472452,0.193744526094083,0.110024449877751,0.00258397932816537,0.00213653233826034,9.08888888888889,45,0,5,387,409,40,0.134323800519856,0.110646623802658,0.534560621314541,0.0870879331817445,0.112469437652812,0.04706974166245,0.0571660588825307,0.00547552875026679,0.00322333219259609,0.00859390725187969,0.0594207655503782,0.0884193265604205,0.182957061947037,0.0535520558115785,0.0104867228283536,0.04868672344241,0.000362398293827126,0.0036604311983572,0.207823960880196,0.00488997555012225,0.0235294117647059
