"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.899898268266362,0.831352953731911,0.925386219856847,0.892719247166034,0.0851063829787234,0.00193423597678917,0,11.75,44,0,4,517,517,40,0.232218814871814,0.198312341667731,0.506313131313131,0.16851853133867,0.20889748549323,0.0306153518758184,0.038222435820788,0.00239542853960652,0.00149980301218719,0.00938660869049172,0.0551475347855077,0.0831615402325199,0.171566295178406,0.0648397338263226,0.010628291191863,0.0374909132393409,0.000253459706564237,0.00163714328232235,0.13926499032882,0.00386847195357834,0.0277777777777778
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.897796736189677,0.846576231033809,0.935343455549975,0.932449854688837,0.0851063829787234,0.00193423597678917,0,11.75,44,0,4,517,517,40,0.232218814871814,0.198312341667731,0.506313131313131,0.16851853133867,0.20889748549323,0.0306153518758184,0.038222435820788,0.00239542853960652,0.00149980301218719,0.00938660869049172,0.0551475347855077,0.0831615402325199,0.171566295178406,0.0648397338263226,0.010628291191863,0.0374909132393409,0.000253459706564237,0.00163714328232235,0.13926499032882,0.00386847195357834,0.0277777777777778
1,2044,0.0178367657652133,0.20261763704475,4,1.32425563445969,0.106684666359797,0.910627049630791,0.0161446509005582,"random search",0.852629291688147,0.84044561631243,0.874128387838669,0.893167647669385,0.0851063829787234,0.00193423597678917,0,11.75,44,0,4,517,517,40,0.232218814871814,0.198312341667731,0.506313131313131,0.16851853133867,0.20889748549323,0.0306153518758184,0.038222435820788,0.00239542853960652,0.00149980301218719,0.00938660869049172,0.0551475347855077,0.0831615402325199,0.171566295178406,0.0648397338263226,0.010628291191863,0.0374909132393409,0.000253459706564237,0.00163714328232235,0.13926499032882,0.00386847195357834,0.0277777777777778
2,2143,0.0121705860200956,0.427432955428958,5,1.21498913160792,0.396699266508222,89.9476425519765,570.579028603476,"random search",-0.0197497731662963,-0.131548871251224,0.0640883165542383,-0.0404753261834629,0.0851063829787234,0.00193423597678917,0,11.75,44,0,4,517,517,40,0.232218814871814,0.198312341667731,0.506313131313131,0.16851853133867,0.20889748549323,0.0306153518758184,0.038222435820788,0.00239542853960652,0.00149980301218719,0.00938660869049172,0.0551475347855077,0.0831615402325199,0.171566295178406,0.0648397338263226,0.010628291191863,0.0374909132393409,0.000253459706564237,0.00163714328232235,0.13926499032882,0.00386847195357834,0.0277777777777778
3,4627,0.321389416617994,0.48058718687389,10,12.614249567484,0.854165347758681,0.00675578402680671,79.9620730389084,"random search",0.824758482210511,0.802112778151064,0.879656575494511,0.820951748676813,0.0851063829787234,0.00193423597678917,0,11.75,44,0,4,517,517,40,0.232218814871814,0.198312341667731,0.506313131313131,0.16851853133867,0.20889748549323,0.0306153518758184,0.038222435820788,0.00239542853960652,0.00149980301218719,0.00938660869049172,0.0551475347855077,0.0831615402325199,0.171566295178406,0.0648397338263226,0.010628291191863,0.0374909132393409,0.000253459706564237,0.00163714328232235,0.13926499032882,0.00386847195357834,0.0277777777777778
4,2042,0.503469147776637,0.999530330323614,12,1.11420367642647,0.558552508242428,0.0520216175842444,1.96075439058942,"random search",0.862201844428147,0.774109179407029,0.899687565941273,0.81007381033238,0.0851063829787234,0.00193423597678917,0,11.75,44,0,4,517,517,40,0.232218814871814,0.198312341667731,0.506313131313131,0.16851853133867,0.20889748549323,0.0306153518758184,0.038222435820788,0.00239542853960652,0.00149980301218719,0.00938660869049172,0.0551475347855077,0.0831615402325199,0.171566295178406,0.0648397338263226,0.010628291191863,0.0374909132393409,0.000253459706564237,0.00163714328232235,0.13926499032882,0.00386847195357834,0.0277777777777778
5,799,0.00958710270434565,0.406240946892649,7,9.3053074325533,0.541531658964232,0.656053386815594,0.253883271468875,"random search",0.888458178847381,0.864019717640903,0.933873415240487,0.929184298444725,0.0851063829787234,0.00193423597678917,0,11.75,44,0,4,517,517,40,0.232218814871814,0.198312341667731,0.506313131313131,0.16851853133867,0.20889748549323,0.0306153518758184,0.038222435820788,0.00239542853960652,0.00149980301218719,0.00938660869049172,0.0551475347855077,0.0831615402325199,0.171566295178406,0.0648397338263226,0.010628291191863,0.0374909132393409,0.000253459706564237,0.00163714328232235,0.13926499032882,0.00386847195357834,0.0277777777777778
6,1077,0.00102874581936924,0.832692097849213,10,54.4270473002352,0.853687105467543,100.962471579627,750.672276249681,"random search",-0.080366726556315,-0.301547210008106,-0.00918635782367905,-0.282248451494129,0.0851063829787234,0.00193423597678917,0,11.75,44,0,4,517,517,40,0.232218814871814,0.198312341667731,0.506313131313131,0.16851853133867,0.20889748549323,0.0306153518758184,0.038222435820788,0.00239542853960652,0.00149980301218719,0.00938660869049172,0.0551475347855077,0.0831615402325199,0.171566295178406,0.0648397338263226,0.010628291191863,0.0374909132393409,0.000253459706564237,0.00163714328232235,0.13926499032882,0.00386847195357834,0.0277777777777778
7,1127,0.59959413673696,0.699894718127325,18,23.1940416445511,0.819863143144175,421.383422236683,0.388553506613985,"random search",0.884956193960437,0.819482466104291,0.936917533317608,0.916684642756781,0.0851063829787234,0.00193423597678917,0,11.75,44,0,4,517,517,40,0.232218814871814,0.198312341667731,0.506313131313131,0.16851853133867,0.20889748549323,0.0306153518758184,0.038222435820788,0.00239542853960652,0.00149980301218719,0.00938660869049172,0.0551475347855077,0.0831615402325199,0.171566295178406,0.0648397338263226,0.010628291191863,0.0374909132393409,0.000253459706564237,0.00163714328232235,0.13926499032882,0.00386847195357834,0.0277777777777778
8,2341,0.0157069619191523,0.81667502541095,10,13.0108218589421,0.99059997452423,1.12805185567048,1.00822204717344,"random search",0.90844756556411,0.865777351530684,0.947704501835951,0.931248449168786,0.0851063829787234,0.00193423597678917,0,11.75,44,0,4,517,517,40,0.232218814871814,0.198312341667731,0.506313131313131,0.16851853133867,0.20889748549323,0.0306153518758184,0.038222435820788,0.00239542853960652,0.00149980301218719,0.00938660869049172,0.0551475347855077,0.0831615402325199,0.171566295178406,0.0648397338263226,0.010628291191863,0.0374909132393409,0.000253459706564237,0.00163714328232235,0.13926499032882,0.00386847195357834,0.0277777777777778
