"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.864767483329722,0.790270691772696,0.868484872672041,0.800439354304729,0.082089552238806,0.00186567164179104,0,12.1818181818182,44,0,4,536,536,40,0.238856690928331,0.19544382521225,0.504353233830846,0.174385522601339,0.207089552238806,0.0421114467605811,0.0449065879401363,0.00378621327220113,0.0024202507115162,0.00588961162752632,0.0687720961792417,0.0749845322606475,0.174289144439133,0.0606685498300764,0.00907894698994973,0.0212412009040426,0.00137105779626065,0.0176656184718374,0.134328358208955,0.00373134328358209,0.0277777777777778
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.848889852914702,0.797582460241223,0.859642611577179,0.794828013032457,0.082089552238806,0.00186567164179104,0,12.1818181818182,44,0,4,536,536,40,0.238856690928331,0.19544382521225,0.504353233830846,0.174385522601339,0.207089552238806,0.0421114467605811,0.0449065879401363,0.00378621327220113,0.0024202507115162,0.00588961162752632,0.0687720961792417,0.0749845322606475,0.174289144439133,0.0606685498300764,0.00907894698994973,0.0212412009040426,0.00137105779626065,0.0176656184718374,0.134328358208955,0.00373134328358209,0.0277777777777778
1,4012,0.00417988459842178,0.749041707091965,24,10.642318255212,0.40611746464856,1.74647309908761,0.055547723403925,"random search",0.865179210759525,0.820523982209406,0.872488242120144,0.810268765058823,0.082089552238806,0.00186567164179104,0,12.1818181818182,44,0,4,536,536,40,0.238856690928331,0.19544382521225,0.504353233830846,0.174385522601339,0.207089552238806,0.0421114467605811,0.0449065879401363,0.00378621327220113,0.0024202507115162,0.00588961162752632,0.0687720961792417,0.0749845322606475,0.174289144439133,0.0606685498300764,0.00907894698994973,0.0212412009040426,0.00137105779626065,0.0176656184718374,0.134328358208955,0.00373134328358209,0.0277777777777778
2,4516,0.0998438351028093,0.915205297572538,13,1.2343589338442,0.586610815487802,0.0805710834889516,267.793309415483,"random search",-0.444804554062789,-0.271463704489132,-0.440241948084529,-0.381191222424693,0.082089552238806,0.00186567164179104,0,12.1818181818182,44,0,4,536,536,40,0.238856690928331,0.19544382521225,0.504353233830846,0.174385522601339,0.207089552238806,0.0421114467605811,0.0449065879401363,0.00378621327220113,0.0024202507115162,0.00588961162752632,0.0687720961792417,0.0749845322606475,0.174289144439133,0.0606685498300764,0.00907894698994973,0.0212412009040426,0.00137105779626065,0.0176656184718374,0.134328358208955,0.00373134328358209,0.0277777777777778
3,1668,0.00149445241040513,0.279598342929967,16,54.7130499159126,0.367927546147257,2.15664662882373,0.791954720216185,"random search",0.422136789670131,0.512451065398613,0.442407807548385,0.545478716459503,0.082089552238806,0.00186567164179104,0,12.1818181818182,44,0,4,536,536,40,0.238856690928331,0.19544382521225,0.504353233830846,0.174385522601339,0.207089552238806,0.0421114467605811,0.0449065879401363,0.00378621327220113,0.0024202507115162,0.00588961162752632,0.0687720961792417,0.0749845322606475,0.174289144439133,0.0606685498300764,0.00907894698994973,0.0212412009040426,0.00137105779626065,0.0176656184718374,0.134328358208955,0.00373134328358209,0.0277777777777778
4,3936,0.813860603478196,0.256242099334486,1,4.68250165774939,0.929913289379328,0.16868639838362,0.0658270563997677,"random search",0.366757789202211,-0.404413252897209,0.378647049174408,-0.847298840710084,0.082089552238806,0.00186567164179104,0,12.1818181818182,44,0,4,536,536,40,0.238856690928331,0.19544382521225,0.504353233830846,0.174385522601339,0.207089552238806,0.0421114467605811,0.0449065879401363,0.00378621327220113,0.0024202507115162,0.00588961162752632,0.0687720961792417,0.0749845322606475,0.174289144439133,0.0606685498300764,0.00907894698994973,0.0212412009040426,0.00137105779626065,0.0176656184718374,0.134328358208955,0.00373134328358209,0.0277777777777778
5,2469,0.17963507332401,0.355943954316899,16,2.5800748902179,0.239755466813222,0.00592672053183855,44.8957328773675,"random search",-0.423561367348277,-0.271487082118345,-0.440185590320542,-0.381152952349033,0.082089552238806,0.00186567164179104,0,12.1818181818182,44,0,4,536,536,40,0.238856690928331,0.19544382521225,0.504353233830846,0.174385522601339,0.207089552238806,0.0421114467605811,0.0449065879401363,0.00378621327220113,0.0024202507115162,0.00588961162752632,0.0687720961792417,0.0749845322606475,0.174289144439133,0.0606685498300764,0.00907894698994973,0.0212412009040426,0.00137105779626065,0.0176656184718374,0.134328358208955,0.00373134328358209,0.0277777777777778
6,4425,0.0218363855873392,0.554754986404441,1,15.5313743104811,0.110943908803165,48.2108081065623,0.258277140082882,"random search",0.840601961166544,0.796549040434487,0.841402060358626,0.785035425434833,0.082089552238806,0.00186567164179104,0,12.1818181818182,44,0,4,536,536,40,0.238856690928331,0.19544382521225,0.504353233830846,0.174385522601339,0.207089552238806,0.0421114467605811,0.0449065879401363,0.00378621327220113,0.0024202507115162,0.00588961162752632,0.0687720961792417,0.0749845322606475,0.174289144439133,0.0606685498300764,0.00907894698994973,0.0212412009040426,0.00137105779626065,0.0176656184718374,0.134328358208955,0.00373134328358209,0.0277777777777778
7,408,0.00299281162906474,0.184865358937532,23,67.8930814398507,0.739657350117341,279.27077566548,0.104795379239581,"random search",-0.527597375237465,-0.152622138851158,-0.398337827040106,-0.227952313188091,0.082089552238806,0.00186567164179104,0,12.1818181818182,44,0,4,536,536,40,0.238856690928331,0.19544382521225,0.504353233830846,0.174385522601339,0.207089552238806,0.0421114467605811,0.0449065879401363,0.00378621327220113,0.0024202507115162,0.00588961162752632,0.0687720961792417,0.0749845322606475,0.174289144439133,0.0606685498300764,0.00907894698994973,0.0212412009040426,0.00137105779626065,0.0176656184718374,0.134328358208955,0.00373134328358209,0.0277777777777778
8,394,0.730802542535708,0.846524398308247,14,8.65548185022754,0.624114801641554,6.48777378723982,0.009563611155362,"random search",0.845615996335228,0.73427901321862,0.872448349860232,0.746814871954922,0.082089552238806,0.00186567164179104,0,12.1818181818182,44,0,4,536,536,40,0.238856690928331,0.19544382521225,0.504353233830846,0.174385522601339,0.207089552238806,0.0421114467605811,0.0449065879401363,0.00378621327220113,0.0024202507115162,0.00588961162752632,0.0687720961792417,0.0749845322606475,0.174289144439133,0.0606685498300764,0.00907894698994973,0.0212412009040426,0.00137105779626065,0.0176656184718374,0.134328358208955,0.00373134328358209,0.0277777777777778
