"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.87545387826715,0.778966193227382,0.917999255154111,0.864994054759273,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.212318199380687,0.187979494568863,0.507604017216643,0.150800443906595,0.219512195121951,0.0434845352279623,0.0450787770851741,0.00391804461542941,0.00283466003992777,0.00663813117591048,0.0865348750175678,0.0982110429858492,0.167514304225917,0.0570091200995467,0.0167919472157357,0.0401067304466121,0.000241125283925381,0.00161577650239605,0.207317073170732,0.0048780487804878,0.0235294117647059
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.836869799583571,0.776614506066338,0.872481480822711,0.85041169576506,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.212318199380687,0.187979494568863,0.507604017216643,0.150800443906595,0.219512195121951,0.0434845352279623,0.0450787770851741,0.00391804461542941,0.00283466003992777,0.00663813117591048,0.0865348750175678,0.0982110429858492,0.167514304225917,0.0570091200995467,0.0167919472157357,0.0401067304466121,0.000241125283925381,0.00161577650239605,0.207317073170732,0.0048780487804878,0.0235294117647059
1,4549,0.00280900141455893,0.125474495952949,4,48.8238876216735,0.536957574309781,359.034342441855,96.665367144123,"random search",-0.446497110551142,-0.25888354194987,-0.506775652876452,-0.221012249040793,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.212318199380687,0.187979494568863,0.507604017216643,0.150800443906595,0.219512195121951,0.0434845352279623,0.0450787770851741,0.00391804461542941,0.00283466003992777,0.00663813117591048,0.0865348750175678,0.0982110429858492,0.167514304225917,0.0570091200995467,0.0167919472157357,0.0401067304466121,0.000241125283925381,0.00161577650239605,0.207317073170732,0.0048780487804878,0.0235294117647059
2,2263,0.0121419627596855,0.711737988353707,2,7.4699639228334,0.551277182530612,0.822773989893399,0.506449659874978,"random search",0.852884363624106,0.797777029757986,0.899795730723353,0.883557966669571,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.212318199380687,0.187979494568863,0.507604017216643,0.150800443906595,0.219512195121951,0.0434845352279623,0.0450787770851741,0.00391804461542941,0.00283466003992777,0.00663813117591048,0.0865348750175678,0.0982110429858492,0.167514304225917,0.0570091200995467,0.0167919472157357,0.0401067304466121,0.000241125283925381,0.00161577650239605,0.207317073170732,0.0048780487804878,0.0235294117647059
3,1076,0.318464002047866,0.173092522472143,24,76.9706723602657,0.815968203591183,0.0709325531383878,47.9131178804396,"random search",-0.470009030211736,-0.258870007113526,-0.492257458022217,-0.220939994443626,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.212318199380687,0.187979494568863,0.507604017216643,0.150800443906595,0.219512195121951,0.0434845352279623,0.0450787770851741,0.00391804461542941,0.00283466003992777,0.00663813117591048,0.0865348750175678,0.0982110429858492,0.167514304225917,0.0570091200995467,0.0167919472157357,0.0401067304466121,0.000241125283925381,0.00161577650239605,0.207317073170732,0.0048780487804878,0.0235294117647059
4,2931,0.0359942364533459,0.105016765813343,24,25.2545999288624,0.411980648990721,0.00286052329722989,0.0428964289459643,"random search",0.392068992624912,0.468276634497998,0.684588411081035,0.77454247075382,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.212318199380687,0.187979494568863,0.507604017216643,0.150800443906595,0.219512195121951,0.0434845352279623,0.0450787770851741,0.00391804461542941,0.00283466003992777,0.00663813117591048,0.0865348750175678,0.0982110429858492,0.167514304225917,0.0570091200995467,0.0167919472157357,0.0401067304466121,0.000241125283925381,0.00161577650239605,0.207317073170732,0.0048780487804878,0.0235294117647059
5,3881,0.653175942870142,0.949693435500376,7,35.2588328423585,0.763601061422378,311.059486891962,0.0169256682794952,"random search",0.838575870223388,0.746396630699465,0.924687634026441,0.891895952344104,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.212318199380687,0.187979494568863,0.507604017216643,0.150800443906595,0.219512195121951,0.0434845352279623,0.0450787770851741,0.00391804461542941,0.00283466003992777,0.00663813117591048,0.0865348750175678,0.0982110429858492,0.167514304225917,0.0570091200995467,0.0167919472157357,0.0401067304466121,0.000241125283925381,0.00161577650239605,0.207317073170732,0.0048780487804878,0.0235294117647059
6,1649,0.0031176061393539,0.104318503197283,6,75.0999334834613,0.803687184117734,2.92357607409646,1.87835791080146,"random search",-0.477658206492341,-0.0149330460880082,-0.367359477608107,-0.00623194405437055,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.212318199380687,0.187979494568863,0.507604017216643,0.150800443906595,0.219512195121951,0.0434845352279623,0.0450787770851741,0.00391804461542941,0.00283466003992777,0.00663813117591048,0.0865348750175678,0.0982110429858492,0.167514304225917,0.0570091200995467,0.0167919472157357,0.0401067304466121,0.000241125283925381,0.00161577650239605,0.207317073170732,0.0048780487804878,0.0235294117647059
7,2665,0.25355069097586,0.328167403233238,12,6.69691874923567,0.836923380149528,0.845841477844592,0.0495922564479586,"random search",0.853755105611991,0.744367791998672,0.882703166297971,0.823575462262419,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.212318199380687,0.187979494568863,0.507604017216643,0.150800443906595,0.219512195121951,0.0434845352279623,0.0450787770851741,0.00391804461542941,0.00283466003992777,0.00663813117591048,0.0865348750175678,0.0982110429858492,0.167514304225917,0.0570091200995467,0.0167919472157357,0.0401067304466121,0.000241125283925381,0.00161577650239605,0.207317073170732,0.0048780487804878,0.0235294117647059
8,1357,0.00572543084147561,0.304075864725746,9,4.84853205053091,0.672200823901221,0.00309456698480012,8.24183327741986,"random search",0.225611559995858,0.346447550294596,0.251943928163651,0.392244994708692,0.109756097560976,0.0024390243902439,0,9.11111111111111,45,0,5,410,410,40,0.212318199380687,0.187979494568863,0.507604017216643,0.150800443906595,0.219512195121951,0.0434845352279623,0.0450787770851741,0.00391804461542941,0.00283466003992777,0.00663813117591048,0.0865348750175678,0.0982110429858492,0.167514304225917,0.0570091200995467,0.0167919472157357,0.0401067304466121,0.000241125283925381,0.00161577650239605,0.207317073170732,0.0048780487804878,0.0235294117647059
