"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.7981815349493,0.674426028513352,0.709233227498694,0.647311338892838,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519465894465894,0.119598439889672,0.658301158301158,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.190193271792232,0.0618784594477701,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.138996138996139,0.00386100386100386,0.0277777777777778
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.78188304023777,0.698606888837094,0.738357006082006,0.724882054749438,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519465894465894,0.119598439889672,0.658301158301158,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.190193271792232,0.0618784594477701,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.138996138996139,0.00386100386100386,0.0277777777777778
1,2176,0.0995458725774213,0.656969504407607,2,3.27523878916186,0.0345630836673081,355.952506709424,166.538452956954,"random search",-0.206177326592035,-0.879097126083389,-0.157120928267494,-0.658455933950419,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519465894465894,0.119598439889672,0.658301158301158,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.190193271792232,0.0618784594477701,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.138996138996139,0.00386100386100386,0.0277777777777778
2,3551,0.00315993604894216,0.273474270501174,21,13.1679488225639,0.673004118958488,73.1309678834513,218.358830275457,"random search",-0.544167665439519,-2.0415182373302,-0.401011672220698,-2.09765211911687,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519465894465894,0.119598439889672,0.658301158301158,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.190193271792232,0.0618784594477701,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.138996138996139,0.00386100386100386,0.0277777777777778
3,4103,0.0895167204635761,0.981136194989085,10,3.83377108269537,0.241180963581428,42.4498704315241,0.0122793622408979,"random search",0.776483952856753,0.720589534193141,0.730318939717298,0.716247859585876,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519465894465894,0.119598439889672,0.658301158301158,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.190193271792232,0.0618784594477701,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.138996138996139,0.00386100386100386,0.0277777777777778
4,4677,0.154125650828454,0.445906144054607,18,13.5992104381401,0.934789060382172,384.689219385164,3.0529746963261,"random search",0.773760816606423,0.702905898331595,0.736289981445719,0.697679706399885,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519465894465894,0.119598439889672,0.658301158301158,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.190193271792232,0.0618784594477701,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.138996138996139,0.00386100386100386,0.0277777777777778
5,2337,0.0029398258620987,0.825789788970724,18,1.59558778497069,0.444508893182501,16.6900896815833,10.4073156690554,"random search",0.648600661825863,0.587930441833032,0.610173068581473,0.578657402362404,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519465894465894,0.119598439889672,0.658301158301158,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.190193271792232,0.0618784594477701,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.138996138996139,0.00386100386100386,0.0277777777777778
6,885,0.0603315609184459,0.507996291876771,20,34.7113771984525,0.939536997815594,1.10755227873248,0.561239704304539,"random search",0.785426402730137,0.692572298901809,0.736827246207699,0.692899387255376,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519465894465894,0.119598439889672,0.658301158301158,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.190193271792232,0.0618784594477701,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.138996138996139,0.00386100386100386,0.0277777777777778
7,200,0.0656757300482128,0.419909660471603,11,3.82961591125697,0.632884367369115,0.00305659752264353,388.496394612885,"random search",-0.452938789217113,-2.0415671656127,-0.569900623583489,-2.09756819751388,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519465894465894,0.119598439889672,0.658301158301158,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.190193271792232,0.0618784594477701,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.138996138996139,0.00386100386100386,0.0277777777777778
8,2370,0.772869160747584,0.583346728701144,19,52.1795648451001,0.938987409463152,18.5857855148808,0.0679892891370538,"random search",0.772573023102797,0.565293294321258,0.720298722352362,0.52448273632027,0.0849420849420849,0.00194552529182879,0.000340603159375468,11.7727272727273,44,0,4,514,518,40,0.214103333978707,0.188242099673141,0.519465894465894,0.119598439889672,0.658301158301158,0.0875345286742282,0.0743591010378575,0.0131808953395645,0.0104966237060899,0.0163504616783274,0.112262140515739,0.109983349534876,0.190193271792232,0.0618784594477701,0.0207911106430685,0.0475553642503772,0.00324081440976365,0.0163937252161764,0.138996138996139,0.00386100386100386,0.0277777777777778
