"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.769450760613448,0.675044034367567,0.776589415379528,0.650417269780386,0.110294117647059,0.00247524752475248,0.000487763328534308,9.06666666666667,45,0,5,404,408,40,0.1819558068778,0.17871022725553,0.526931949250288,0.1129279449641,0.436274509803922,0.086665250643509,0.0711053842483599,0.0125544492409809,0.0089956489639493,0.013823402080516,0.121265005655722,0.11718303649366,0.184197819320461,0.056613855272286,0.0243789496652095,0.0548406589328726,0.0002629326740258,0.00381168675508249,0.208333333333333,0.00490196078431373,0.0235294117647059
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.763161909694799,0.697749912476195,0.759850748351018,0.699045635263485,0.110294117647059,0.00247524752475248,0.000487763328534308,9.06666666666667,45,0,5,404,408,40,0.1819558068778,0.17871022725553,0.526931949250288,0.1129279449641,0.436274509803922,0.086665250643509,0.0711053842483599,0.0125544492409809,0.0089956489639493,0.013823402080516,0.121265005655722,0.11718303649366,0.184197819320461,0.056613855272286,0.0243789496652095,0.0548406589328726,0.0002629326740258,0.00381168675508249,0.208333333333333,0.00490196078431373,0.0235294117647059
1,3794,0.00236678332668676,0.939638864458539,8,116.264800865016,0.304671593941748,0.320883160969742,0.521593460957848,"random search",0.627502438956559,0.574000270041872,0.720614156796185,0.620733647874878,0.110294117647059,0.00247524752475248,0.000487763328534308,9.06666666666667,45,0,5,404,408,40,0.1819558068778,0.17871022725553,0.526931949250288,0.1129279449641,0.436274509803922,0.086665250643509,0.0711053842483599,0.0125544492409809,0.0089956489639493,0.013823402080516,0.121265005655722,0.11718303649366,0.184197819320461,0.056613855272286,0.0243789496652095,0.0548406589328726,0.0002629326740258,0.00381168675508249,0.208333333333333,0.00490196078431373,0.0235294117647059
2,4218,0.634175350045285,0.466942538996227,9,11.0056664399383,0.136953922221437,0.016141475554095,0.018725797596481,"random search",0.633239884907315,0.235564021413625,0.618282741922192,0.182494754855134,0.110294117647059,0.00247524752475248,0.000487763328534308,9.06666666666667,45,0,5,404,408,40,0.1819558068778,0.17871022725553,0.526931949250288,0.1129279449641,0.436274509803922,0.086665250643509,0.0711053842483599,0.0125544492409809,0.0089956489639493,0.013823402080516,0.121265005655722,0.11718303649366,0.184197819320461,0.056613855272286,0.0243789496652095,0.0548406589328726,0.0002629326740258,0.00381168675508249,0.208333333333333,0.00490196078431373,0.0235294117647059
3,2235,0.145366364129457,0.514075544802472,24,121.836228178091,0.632291135611013,1.37160653604873,0.0820062348603411,"random search",-0.434045857403982,-0.00264453734838144,-0.444370098632822,-0.00844945323881152,0.110294117647059,0.00247524752475248,0.000487763328534308,9.06666666666667,45,0,5,404,408,40,0.1819558068778,0.17871022725553,0.526931949250288,0.1129279449641,0.436274509803922,0.086665250643509,0.0711053842483599,0.0125544492409809,0.0089956489639493,0.013823402080516,0.121265005655722,0.11718303649366,0.184197819320461,0.056613855272286,0.0243789496652095,0.0548406589328726,0.0002629326740258,0.00381168675508249,0.208333333333333,0.00490196078431373,0.0235294117647059
4,1097,0.0619445317064689,0.517682241485454,20,47.7925162618297,0.77728022262454,200.858995122694,0.0618256273956728,"random search",0.718890759745082,0.65187072444252,0.744712535032654,0.655989098802484,0.110294117647059,0.00247524752475248,0.000487763328534308,9.06666666666667,45,0,5,404,408,40,0.1819558068778,0.17871022725553,0.526931949250288,0.1129279449641,0.436274509803922,0.086665250643509,0.0711053842483599,0.0125544492409809,0.0089956489639493,0.013823402080516,0.121265005655722,0.11718303649366,0.184197819320461,0.056613855272286,0.0243789496652095,0.0548406589328726,0.0002629326740258,0.00381168675508249,0.208333333333333,0.00490196078431373,0.0235294117647059
5,4624,0.00468772895713248,0.19478244392667,19,1.0689588006271,0.887986407615244,62.3822467280371,3.83143866597134,"random search",0.634857327304795,0.608982127372772,0.67211635570256,0.602872775242736,0.110294117647059,0.00247524752475248,0.000487763328534308,9.06666666666667,45,0,5,404,408,40,0.1819558068778,0.17871022725553,0.526931949250288,0.1129279449641,0.436274509803922,0.086665250643509,0.0711053842483599,0.0125544492409809,0.0089956489639493,0.013823402080516,0.121265005655722,0.11718303649366,0.184197819320461,0.056613855272286,0.0243789496652095,0.0548406589328726,0.0002629326740258,0.00381168675508249,0.208333333333333,0.00490196078431373,0.0235294117647059
6,162,0.666198905323877,0.81288718637079,25,30.3053920340488,0.216008762363344,819.263739529536,0.0129325937329617,"random search",0.727348547387155,0.678972876681307,0.725837669622741,0.651202386865323,0.110294117647059,0.00247524752475248,0.000487763328534308,9.06666666666667,45,0,5,404,408,40,0.1819558068778,0.17871022725553,0.526931949250288,0.1129279449641,0.436274509803922,0.086665250643509,0.0711053842483599,0.0125544492409809,0.0089956489639493,0.013823402080516,0.121265005655722,0.11718303649366,0.184197819320461,0.056613855272286,0.0243789496652095,0.0548406589328726,0.0002629326740258,0.00381168675508249,0.208333333333333,0.00490196078431373,0.0235294117647059
7,2326,0.0346379885721479,0.781883773976006,7,8.04675774146511,0.366797650465742,3.28481926005358,1.17169004887647,"random search",0.772641129623809,0.725392375991227,0.765900262218448,0.71900862057539,0.110294117647059,0.00247524752475248,0.000487763328534308,9.06666666666667,45,0,5,404,408,40,0.1819558068778,0.17871022725553,0.526931949250288,0.1129279449641,0.436274509803922,0.086665250643509,0.0711053842483599,0.0125544492409809,0.0089956489639493,0.013823402080516,0.121265005655722,0.11718303649366,0.184197819320461,0.056613855272286,0.0243789496652095,0.0548406589328726,0.0002629326740258,0.00381168675508249,0.208333333333333,0.00490196078431373,0.0235294117647059
8,943,0.00500110898163622,0.293239093432203,16,4.60740700571003,0.0758313902188092,299.138691473622,82.7801349169046,"random search",-0.520565358307427,-1.57937764436596,-0.260352287613571,-2.1395346909164,0.110294117647059,0.00247524752475248,0.000487763328534308,9.06666666666667,45,0,5,404,408,40,0.1819558068778,0.17871022725553,0.526931949250288,0.1129279449641,0.436274509803922,0.086665250643509,0.0711053842483599,0.0125544492409809,0.0089956489639493,0.013823402080516,0.121265005655722,0.11718303649366,0.184197819320461,0.056613855272286,0.0243789496652095,0.0548406589328726,0.0002629326740258,0.00381168675508249,0.208333333333333,0.00490196078431373,0.0235294117647059
