"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.567810791441679,0.387757036734689,0.560605952326575,0.120102138775245,0.113636363636364,0.00252525252525253,0,8.8,45,0,5,396,396,40,0.165262589530571,0.148972495046209,0.535888294711824,0.0962732321976705,0.315656565656566,0.0594092981637976,0.0578510071619972,0.00686775237678646,0.00506835767206967,0.014641943751477,0.0872320616892761,0.0862502766818837,0.191316785673217,0.0496629178349625,0.0135125222036962,0.0278975362031311,0.000471122460981414,0.00400904923026853,0.214646464646465,0.00505050505050505,0.0235294117647059
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.567735314711753,0.441596515969479,0.654486273348783,0.334507148239663,0.113636363636364,0.00252525252525253,0,8.8,45,0,5,396,396,40,0.165262589530571,0.148972495046209,0.535888294711824,0.0962732321976705,0.315656565656566,0.0594092981637976,0.0578510071619972,0.00686775237678646,0.00506835767206967,0.014641943751477,0.0872320616892761,0.0862502766818837,0.191316785673217,0.0496629178349625,0.0135125222036962,0.0278975362031311,0.000471122460981414,0.00400904923026853,0.214646464646465,0.00505050505050505,0.0235294117647059
1,4507,0.0146473940279157,0.706282049161382,13,1.28492563631292,0.992988009471446,0.0914493338326043,4.5563986354484,"random search",0.517489728585924,0.364670466491582,0.627651334823793,0.260744898541369,0.113636363636364,0.00252525252525253,0,8.8,45,0,5,396,396,40,0.165262589530571,0.148972495046209,0.535888294711824,0.0962732321976705,0.315656565656566,0.0594092981637976,0.0578510071619972,0.00686775237678646,0.00506835767206967,0.014641943751477,0.0872320616892761,0.0862502766818837,0.191316785673217,0.0496629178349625,0.0135125222036962,0.0278975362031311,0.000471122460981414,0.00400904923026853,0.214646464646465,0.00505050505050505,0.0235294117647059
2,1787,0.0161281003518682,0.842733754683286,8,88.234841733051,0.733979954617098,61.8189815343422,537.329052313231,"random search",-0.577858554377972,-2.684232224435,-0.586197571297846,-4.36731926621166,0.113636363636364,0.00252525252525253,0,8.8,45,0,5,396,396,40,0.165262589530571,0.148972495046209,0.535888294711824,0.0962732321976705,0.315656565656566,0.0594092981637976,0.0578510071619972,0.00686775237678646,0.00506835767206967,0.014641943751477,0.0872320616892761,0.0862502766818837,0.191316785673217,0.0496629178349625,0.0135125222036962,0.0278975362031311,0.000471122460981414,0.00400904923026853,0.214646464646465,0.00505050505050505,0.0235294117647059
3,4608,0.0916762929998072,0.692244038567878,14,59.5458788104062,0.213748426409438,2.32223487026151,0.436260704393943,"random search",0.561786740142111,0.379759451919346,0.583531713587094,0.183398786721016,0.113636363636364,0.00252525252525253,0,8.8,45,0,5,396,396,40,0.165262589530571,0.148972495046209,0.535888294711824,0.0962732321976705,0.315656565656566,0.0594092981637976,0.0578510071619972,0.00686775237678646,0.00506835767206967,0.014641943751477,0.0872320616892761,0.0862502766818837,0.191316785673217,0.0496629178349625,0.0135125222036962,0.0278975362031311,0.000471122460981414,0.00400904923026853,0.214646464646465,0.00505050505050505,0.0235294117647059
4,3097,0.00283471764067652,0.75545722625684,1,7.22702455314398,0.712730291066691,0.00323355530053988,132.854264488677,"random search",-0.0615327592843227,-0.223115169635195,0.00990877920732458,-0.145522457617344,0.113636363636364,0.00252525252525253,0,8.8,45,0,5,396,396,40,0.165262589530571,0.148972495046209,0.535888294711824,0.0962732321976705,0.315656565656566,0.0594092981637976,0.0578510071619972,0.00686775237678646,0.00506835767206967,0.014641943751477,0.0872320616892761,0.0862502766818837,0.191316785673217,0.0496629178349625,0.0135125222036962,0.0278975362031311,0.000471122460981414,0.00400904923026853,0.214646464646465,0.00505050505050505,0.0235294117647059
5,2996,0.190546872245566,0.393703484511934,14,11.7017657181786,0.0937236689496785,0.00101943251537672,72.1509360849747,"random search",-0.0547247805722264,-0.0683902770652127,0.0269195906892187,0.0551226270608718,0.113636363636364,0.00252525252525253,0,8.8,45,0,5,396,396,40,0.165262589530571,0.148972495046209,0.535888294711824,0.0962732321976705,0.315656565656566,0.0594092981637976,0.0578510071619972,0.00686775237678646,0.00506835767206967,0.014641943751477,0.0872320616892761,0.0862502766818837,0.191316785673217,0.0496629178349625,0.0135125222036962,0.0278975362031311,0.000471122460981414,0.00400904923026853,0.214646464646465,0.00505050505050505,0.0235294117647059
6,1942,0.0457341761250337,0.279204717022367,10,112.824389658186,0.50654268800281,269.720148464677,835.442939034856,"random search",-0.597503149906741,-2.68422076955508,-0.541246722855524,-4.3673760348696,0.113636363636364,0.00252525252525253,0,8.8,45,0,5,396,396,40,0.165262589530571,0.148972495046209,0.535888294711824,0.0962732321976705,0.315656565656566,0.0594092981637976,0.0578510071619972,0.00686775237678646,0.00506835767206967,0.014641943751477,0.0872320616892761,0.0862502766818837,0.191316785673217,0.0496629178349625,0.0135125222036962,0.0278975362031311,0.000471122460981414,0.00400904923026853,0.214646464646465,0.00505050505050505,0.0235294117647059
7,3639,0.0141090500732146,0.87896595983766,5,28.4050695119153,0.265888748690486,0.483424063495801,224.256780558521,"random search",-0.312790757600767,-0.633867344214565,-0.201085644334049,-0.656127081292227,0.113636363636364,0.00252525252525253,0,8.8,45,0,5,396,396,40,0.165262589530571,0.148972495046209,0.535888294711824,0.0962732321976705,0.315656565656566,0.0594092981637976,0.0578510071619972,0.00686775237678646,0.00506835767206967,0.014641943751477,0.0872320616892761,0.0862502766818837,0.191316785673217,0.0496629178349625,0.0135125222036962,0.0278975362031311,0.000471122460981414,0.00400904923026853,0.214646464646465,0.00505050505050505,0.0235294117647059
8,3273,0.430696263870721,0.756842353148386,8,66.1549690125945,0.0216032674070448,0.00418925046562267,519.958468526705,"random search",-0.600723468853146,-2.68424690811212,-0.672182287618977,-4.36716666427913,0.113636363636364,0.00252525252525253,0,8.8,45,0,5,396,396,40,0.165262589530571,0.148972495046209,0.535888294711824,0.0962732321976705,0.315656565656566,0.0594092981637976,0.0578510071619972,0.00686775237678646,0.00506835767206967,0.014641943751477,0.0872320616892761,0.0862502766818837,0.191316785673217,0.0496629178349625,0.0135125222036962,0.0278975362031311,0.000471122460981414,0.00400904923026853,0.214646464646465,0.00505050505050505,0.0235294117647059
