"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.424657127112966,0.129822952834206,0.0414079409535978,-0.342353864909579,0.0874751491053678,0.00847457627118644,0.0689871426626318,11.4318181818182,44,0,4,118,503,40,0.154819952666666,0.134442583844978,0.60978573006406,0.211415553827645,0.0914512922465209,0.0510233850112895,0.0738625063031296,0.00804820939328798,0.00721847833790185,0.0301087015891743,0.0435021118023651,0.126893481432221,0.113883167817774,0.0720592775466792,0.0167969564473668,0.0805038982235008,0.00157187538881898,0.0247053691410634,0.143141153081511,0.00397614314115308,0.0277777777777778
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.481737330880968,0.300749575756114,0.160416655945356,-0.19290541682357,0.0874751491053678,0.00847457627118644,0.0689871426626318,11.4318181818182,44,0,4,118,503,40,0.154819952666666,0.134442583844978,0.60978573006406,0.211415553827645,0.0914512922465209,0.0510233850112895,0.0738625063031296,0.00804820939328798,0.00721847833790185,0.0301087015891743,0.0435021118023651,0.126893481432221,0.113883167817774,0.0720592775466792,0.0167969564473668,0.0805038982235008,0.00157187538881898,0.0247053691410634,0.143141153081511,0.00397614314115308,0.0277777777777778
1,1532,0.0187060538856116,0.150801281817257,25,1.46193248601525,0.765492284903303,2.28223516702119,19.2859099639275,"random search",-5.30574181699888,-3.39473308637712,-6.80950048156138,-5.8551870308422,0.0874751491053678,0.00847457627118644,0.0689871426626318,11.4318181818182,44,0,4,118,503,40,0.154819952666666,0.134442583844978,0.60978573006406,0.211415553827645,0.0914512922465209,0.0510233850112895,0.0738625063031296,0.00804820939328798,0.00721847833790185,0.0301087015891743,0.0435021118023651,0.126893481432221,0.113883167817774,0.0720592775466792,0.0167969564473668,0.0805038982235008,0.00157187538881898,0.0247053691410634,0.143141153081511,0.00397614314115308,0.0277777777777778
2,4275,0.848642116151599,0.645370325888507,2,118.751851476758,0.615005184430629,0.0159478029501427,3.93057744650239,"random search",0.181412904680929,0.199245123362176,0.079984007084084,0.134308910264938,0.0874751491053678,0.00847457627118644,0.0689871426626318,11.4318181818182,44,0,4,118,503,40,0.154819952666666,0.134442583844978,0.60978573006406,0.211415553827645,0.0914512922465209,0.0510233850112895,0.0738625063031296,0.00804820939328798,0.00721847833790185,0.0301087015891743,0.0435021118023651,0.126893481432221,0.113883167817774,0.0720592775466792,0.0167969564473668,0.0805038982235008,0.00157187538881898,0.0247053691410634,0.143141153081511,0.00397614314115308,0.0277777777777778
3,2362,0.00360342675027911,0.217046158830635,10,11.5171046845279,0.296112965326756,0.00920246064064337,261.541103517731,"random search",-11.5859213211612,-14.2473914311284,-15.752560721252,-28.1969110210324,0.0874751491053678,0.00847457627118644,0.0689871426626318,11.4318181818182,44,0,4,118,503,40,0.154819952666666,0.134442583844978,0.60978573006406,0.211415553827645,0.0914512922465209,0.0510233850112895,0.0738625063031296,0.00804820939328798,0.00721847833790185,0.0301087015891743,0.0435021118023651,0.126893481432221,0.113883167817774,0.0720592775466792,0.0167969564473668,0.0805038982235008,0.00157187538881898,0.0247053691410634,0.143141153081511,0.00397614314115308,0.0277777777777778
4,2089,0.0105769371775746,0.752409242303111,10,1.28105808549904,0.212258298415691,0.854552741179375,4.41561727665281,"random search",0.25055605820961,0.26768512006268,0.0990734729295654,0.18804365549488,0.0874751491053678,0.00847457627118644,0.0689871426626318,11.4318181818182,44,0,4,118,503,40,0.154819952666666,0.134442583844978,0.60978573006406,0.211415553827645,0.0914512922465209,0.0510233850112895,0.0738625063031296,0.00804820939328798,0.00721847833790185,0.0301087015891743,0.0435021118023651,0.126893481432221,0.113883167817774,0.0720592775466792,0.0167969564473668,0.0805038982235008,0.00157187538881898,0.0247053691410634,0.143141153081511,0.00397614314115308,0.0277777777777778
5,3841,0.816811528975822,0.993280548835173,22,1.98273519465607,0.713710786076263,4.57003544130036,0.0110107608599275,"random search",0.484308819056529,0.169041766421039,0.321228959315811,-0.38607217366815,0.0874751491053678,0.00847457627118644,0.0689871426626318,11.4318181818182,44,0,4,118,503,40,0.154819952666666,0.134442583844978,0.60978573006406,0.211415553827645,0.0914512922465209,0.0510233850112895,0.0738625063031296,0.00804820939328798,0.00721847833790185,0.0301087015891743,0.0435021118023651,0.126893481432221,0.113883167817774,0.0720592775466792,0.0167969564473668,0.0805038982235008,0.00157187538881898,0.0247053691410634,0.143141153081511,0.00397614314115308,0.0277777777777778
6,3015,0.643663470102495,0.155444391816854,4,9.12537248939995,0.421343079069629,4.53740692681015,0.0496877601485053,"random search",-15.8084413896899,-9573.8572246049,-54.204880451904,-105593.917992593,0.0874751491053678,0.00847457627118644,0.0689871426626318,11.4318181818182,44,0,4,118,503,40,0.154819952666666,0.134442583844978,0.60978573006406,0.211415553827645,0.0914512922465209,0.0510233850112895,0.0738625063031296,0.00804820939328798,0.00721847833790185,0.0301087015891743,0.0435021118023651,0.126893481432221,0.113883167817774,0.0720592775466792,0.0167969564473668,0.0805038982235008,0.00157187538881898,0.0247053691410634,0.143141153081511,0.00397614314115308,0.0277777777777778
7,1422,0.0296751492622141,0.688997361180373,25,119.076139634508,0.910389762371778,5.53603334835357,113.463748939162,"random search",-8.35999174529957,-7.77942926478078,-10.3009720344085,-12.7190601225573,0.0874751491053678,0.00847457627118644,0.0689871426626318,11.4318181818182,44,0,4,118,503,40,0.154819952666666,0.134442583844978,0.60978573006406,0.211415553827645,0.0914512922465209,0.0510233850112895,0.0738625063031296,0.00804820939328798,0.00721847833790185,0.0301087015891743,0.0435021118023651,0.126893481432221,0.113883167817774,0.0720592775466792,0.0167969564473668,0.0805038982235008,0.00157187538881898,0.0247053691410634,0.143141153081511,0.00397614314115308,0.0277777777777778
8,2286,0.00397143992352917,0.252189564402215,3,4.58349849768984,0.8034765094053,580.225132624236,0.100765104577159,"random search",-2.10244859752082,-0.581873661804211,-2.85136536985333,-1.12411598829665,0.0874751491053678,0.00847457627118644,0.0689871426626318,11.4318181818182,44,0,4,118,503,40,0.154819952666666,0.134442583844978,0.60978573006406,0.211415553827645,0.0914512922465209,0.0510233850112895,0.0738625063031296,0.00804820939328798,0.00721847833790185,0.0301087015891743,0.0435021118023651,0.126893481432221,0.113883167817774,0.0720592775466792,0.0167969564473668,0.0805038982235008,0.00157187538881898,0.0247053691410634,0.143141153081511,0.00397614314115308,0.0277777777777778
9,1489,0.0138708913721437,0.559427788876928,10,5.54510489523406,0.0374904088675976,11.2346069337252,83.2953436352975,"random search",-7.43380408822626,-6.31116059879379,-9.24791172003733,-10.4656486462607,0.0874751491053678,0.00847457627118644,0.0689871426626318,11.4318181818182,44,0,4,118,503,40,0.154819952666666,0.134442583844978,0.60978573006406,0.211415553827645,0.0914512922465209,0.0510233850112895,0.0738625063031296,0.00804820939328798,0.00721847833790185,0.0301087015891743,0.0435021118023651,0.126893481432221,0.113883167817774,0.0720592775466792,0.0167969564473668,0.0805038982235008,0.00157187538881898,0.0247053691410634,0.143141153081511,0.00397614314115308,0.0277777777777778
10,4987,0.0164325865944389,0.175751389143988,18,2.06283361111028,0.110763074131683,28.619587233617,806.340228797787,"random search",-11.5829677449343,-14.2478213212136,-15.7591802832077,-28.1996456988282,0.0874751491053678,0.00847457627118644,0.0689871426626318,11.4318181818182,44,0,4,118,503,40,0.154819952666666,0.134442583844978,0.60978573006406,0.211415553827645,0.0914512922465209,0.0510233850112895,0.0738625063031296,0.00804820939328798,0.00721847833790185,0.0301087015891743,0.0435021118023651,0.126893481432221,0.113883167817774,0.0720592775466792,0.0167969564473668,0.0805038982235008,0.00157187538881898,0.0247053691410634,0.143141153081511,0.00397614314115308,0.0277777777777778
11,2676,0.0163667728738704,0.904858342488296,22,52.882312547968,0.679004187928513,7.93624237769826,350.808266294647,"random search",-11.5901015684563,-14.2473316894387,-15.7607885624854,-28.1987954653567,0.0874751491053678,0.00847457627118644,0.0689871426626318,11.4318181818182,44,0,4,118,503,40,0.154819952666666,0.134442583844978,0.60978573006406,0.211415553827645,0.0914512922465209,0.0510233850112895,0.0738625063031296,0.00804820939328798,0.00721847833790185,0.0301087015891743,0.0435021118023651,0.126893481432221,0.113883167817774,0.0720592775466792,0.0167969564473668,0.0805038982235008,0.00157187538881898,0.0247053691410634,0.143141153081511,0.00397614314115308,0.0277777777777778
12,1780,0.818348866055526,0.46437586278189,9,112.200518846943,0.222118782578036,5.07175958064737,6.13818636960414,"random search",-0.338340972850593,-0.00162393380025794,-0.299537028868568,0.0162100225211226,0.0874751491053678,0.00847457627118644,0.0689871426626318,11.4318181818182,44,0,4,118,503,40,0.154819952666666,0.134442583844978,0.60978573006406,0.211415553827645,0.0914512922465209,0.0510233850112895,0.0738625063031296,0.00804820939328798,0.00721847833790185,0.0301087015891743,0.0435021118023651,0.126893481432221,0.113883167817774,0.0720592775466792,0.0167969564473668,0.0805038982235008,0.00157187538881898,0.0247053691410634,0.143141153081511,0.00397614314115308,0.0277777777777778
13,335,0.00177446424426592,0.954316841531545,15,8.43418059888211,0.24164717248641,0.00188991730482966,0.627934413169326,"random search",-6.04401412264458,-4.22409838597966,-8.52401489261104,-8.84860432553327,0.0874751491053678,0.00847457627118644,0.0689871426626318,11.4318181818182,44,0,4,118,503,40,0.154819952666666,0.134442583844978,0.60978573006406,0.211415553827645,0.0914512922465209,0.0510233850112895,0.0738625063031296,0.00804820939328798,0.00721847833790185,0.0301087015891743,0.0435021118023651,0.126893481432221,0.113883167817774,0.0720592775466792,0.0167969564473668,0.0805038982235008,0.00157187538881898,0.0247053691410634,0.143141153081511,0.00397614314115308,0.0277777777777778
14,3714,0.0313523255503674,0.795887061906978,11,3.00966451328705,0.417617151048034,0.00930425538059989,0.00353706894154371,"random search",0.448290014545877,0.213582689239125,0.186269204632821,-0.0893765606131218,0.0874751491053678,0.00847457627118644,0.0689871426626318,11.4318181818182,44,0,4,118,503,40,0.154819952666666,0.134442583844978,0.60978573006406,0.211415553827645,0.0914512922465209,0.0510233850112895,0.0738625063031296,0.00804820939328798,0.00721847833790185,0.0301087015891743,0.0435021118023651,0.126893481432221,0.113883167817774,0.0720592775466792,0.0167969564473668,0.0805038982235008,0.00157187538881898,0.0247053691410634,0.143141153081511,0.00397614314115308,0.0277777777777778
15,3639,0.00163790065932185,0.738083741231822,9,59.4262849677389,0.193947546184063,811.310670625467,0.0107758727668001,"random search",-1.53955590476466,-0.405527708071656,-2.13314285337182,-0.739980063581339,0.0874751491053678,0.00847457627118644,0.0689871426626318,11.4318181818182,44,0,4,118,503,40,0.154819952666666,0.134442583844978,0.60978573006406,0.211415553827645,0.0914512922465209,0.0510233850112895,0.0738625063031296,0.00804820939328798,0.00721847833790185,0.0301087015891743,0.0435021118023651,0.126893481432221,0.113883167817774,0.0720592775466792,0.0167969564473668,0.0805038982235008,0.00157187538881898,0.0247053691410634,0.143141153081511,0.00397614314115308,0.0277777777777778
