"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.402473510514902,0.0182172539187839,0.404148159561432,0.0826745360859485,0.114503816793893,0.0102040816326531,0.0732347490909818,8.73333333333333,45,0,5,98,393,40,0.160957886938054,0.139926593345453,0.641730279898219,0.224599385801913,0.0458015267175573,0.0514488387240181,0.0784483676897535,0.00878546999365615,0.00649376737144048,0.0340078620365215,0.0507415033511987,0.135961098036752,0.124040554042598,0.0647985375279734,0.0194562914542054,0.0880155462174115,7.78190539572009e-05,0.000542817474634453,0.216284987277354,0.00508905852417303,0.0235294117647059
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.377004137329478,0.182402849689288,0.457410427368422,0.236159525700271,0.114503816793893,0.0102040816326531,0.0732347490909818,8.73333333333333,45,0,5,98,393,40,0.160957886938054,0.139926593345453,0.641730279898219,0.224599385801913,0.0458015267175573,0.0514488387240181,0.0784483676897535,0.00878546999365615,0.00649376737144048,0.0340078620365215,0.0507415033511987,0.135961098036752,0.124040554042598,0.0647985375279734,0.0194562914542054,0.0880155462174115,7.78190539572009e-05,0.000542817474634453,0.216284987277354,0.00508905852417303,0.0235294117647059
1,127,0.112919921631723,0.696085642487742,15,17.1895271518959,0.365497783990577,0.727623426116289,0.0179050656521281,"random search",0.348659110989408,0.146198908655451,0.376934671787974,0.199740688832774,0.114503816793893,0.0102040816326531,0.0732347490909818,8.73333333333333,45,0,5,98,393,40,0.160957886938054,0.139926593345453,0.641730279898219,0.224599385801913,0.0458015267175573,0.0514488387240181,0.0784483676897535,0.00878546999365615,0.00649376737144048,0.0340078620365215,0.0507415033511987,0.135961098036752,0.124040554042598,0.0647985375279734,0.0194562914542054,0.0880155462174115,7.78190539572009e-05,0.000542817474634453,0.216284987277354,0.00508905852417303,0.0235294117647059
2,4386,0.267777576410734,0.425754242530093,2,38.8278464342919,0.153066836530343,40.8362551057283,0.0237328394814131,"random search",0.387419929623103,0.00124127647735439,0.372397798142352,0.183936391151539,0.114503816793893,0.0102040816326531,0.0732347490909818,8.73333333333333,45,0,5,98,393,40,0.160957886938054,0.139926593345453,0.641730279898219,0.224599385801913,0.0458015267175573,0.0514488387240181,0.0784483676897535,0.00878546999365615,0.00649376737144048,0.0340078620365215,0.0507415033511987,0.135961098036752,0.124040554042598,0.0647985375279734,0.0194562914542054,0.0880155462174115,7.78190539572009e-05,0.000542817474634453,0.216284987277354,0.00508905852417303,0.0235294117647059
3,4425,0.0328161767945271,0.603726444067433,19,10.5308426495332,0.243390952469781,0.00346454447968631,0.0514499374207648,"random search",0.362273806246292,0.10059646611514,0.418081741305082,0.252108855293736,0.114503816793893,0.0102040816326531,0.0732347490909818,8.73333333333333,45,0,5,98,393,40,0.160957886938054,0.139926593345453,0.641730279898219,0.224599385801913,0.0458015267175573,0.0514488387240181,0.0784483676897535,0.00878546999365615,0.00649376737144048,0.0340078620365215,0.0507415033511987,0.135961098036752,0.124040554042598,0.0647985375279734,0.0194562914542054,0.0880155462174115,7.78190539572009e-05,0.000542817474634453,0.216284987277354,0.00508905852417303,0.0235294117647059
4,4511,0.0151829904603706,0.628706439165398,18,1.07041660035025,0.541138499742374,117.458394622909,0.175539674828002,"random search",0.392031431840572,0.199556373094526,0.496165330237102,0.285977149268453,0.114503816793893,0.0102040816326531,0.0732347490909818,8.73333333333333,45,0,5,98,393,40,0.160957886938054,0.139926593345453,0.641730279898219,0.224599385801913,0.0458015267175573,0.0514488387240181,0.0784483676897535,0.00878546999365615,0.00649376737144048,0.0340078620365215,0.0507415033511987,0.135961098036752,0.124040554042598,0.0647985375279734,0.0194562914542054,0.0880155462174115,7.78190539572009e-05,0.000542817474634453,0.216284987277354,0.00508905852417303,0.0235294117647059
5,2655,0.00259678626629996,0.741139192203991,11,8.57087765544002,0.209286006400362,79.6346907933405,7.1858299776496,"random search",-0.107118454919831,0.203272610444504,-0.159422280475716,0.18364650451761,0.114503816793893,0.0102040816326531,0.0732347490909818,8.73333333333333,45,0,5,98,393,40,0.160957886938054,0.139926593345453,0.641730279898219,0.224599385801913,0.0458015267175573,0.0514488387240181,0.0784483676897535,0.00878546999365615,0.00649376737144048,0.0340078620365215,0.0507415033511987,0.135961098036752,0.124040554042598,0.0647985375279734,0.0194562914542054,0.0880155462174115,7.78190539572009e-05,0.000542817474634453,0.216284987277354,0.00508905852417303,0.0235294117647059
6,4212,0.950815828449205,0.615690564992838,2,54.0517492228513,0.181758946971968,0.0703193442053202,0.00346808663586397,"random search",0.356750522051415,-0.236464083823203,0.328550009659601,-0.342155658510917,0.114503816793893,0.0102040816326531,0.0732347490909818,8.73333333333333,45,0,5,98,393,40,0.160957886938054,0.139926593345453,0.641730279898219,0.224599385801913,0.0458015267175573,0.0514488387240181,0.0784483676897535,0.00878546999365615,0.00649376737144048,0.0340078620365215,0.0507415033511987,0.135961098036752,0.124040554042598,0.0647985375279734,0.0194562914542054,0.0880155462174115,7.78190539572009e-05,0.000542817474634453,0.216284987277354,0.00508905852417303,0.0235294117647059
7,4029,0.275470749809525,0.679605767247267,9,6.17355059481236,0.74821199523285,0.22553322031621,0.00463302925040141,"random search",0.416786879349008,0.0975338709732103,0.381883246234027,0.0423267411348662,0.114503816793893,0.0102040816326531,0.0732347490909818,8.73333333333333,45,0,5,98,393,40,0.160957886938054,0.139926593345453,0.641730279898219,0.224599385801913,0.0458015267175573,0.0514488387240181,0.0784483676897535,0.00878546999365615,0.00649376737144048,0.0340078620365215,0.0507415033511987,0.135961098036752,0.124040554042598,0.0647985375279734,0.0194562914542054,0.0880155462174115,7.78190539572009e-05,0.000542817474634453,0.216284987277354,0.00508905852417303,0.0235294117647059
8,2278,0.00528976601500558,0.252121165348217,19,4.81374233138027,0.186081545660272,25.2385393325639,52.6495274775332,"random search",-10.586400113602,-12.6953339708548,-11.3749973031992,-14.9624947987076,0.114503816793893,0.0102040816326531,0.0732347490909818,8.73333333333333,45,0,5,98,393,40,0.160957886938054,0.139926593345453,0.641730279898219,0.224599385801913,0.0458015267175573,0.0514488387240181,0.0784483676897535,0.00878546999365615,0.00649376737144048,0.0340078620365215,0.0507415033511987,0.135961098036752,0.124040554042598,0.0647985375279734,0.0194562914542054,0.0880155462174115,7.78190539572009e-05,0.000542817474634453,0.216284987277354,0.00508905852417303,0.0235294117647059
