"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.583979911821635,0.381520929775291,0.530254520964072,0.321200880106545,0.0222222222222222,0.00222222222222222,0,45,10,0,0,450,450,10,0.0766811001008138,0.048478150446094,0.557777777777778,0.0340740740740741,0.515555555555556,0.12642782947566,0.0986972009066857,0.0257034865605928,0.0243166628601501,0.0340949041036461,0.121769325433588,0.114805904474177,0.161922313269741,0.0813976442729315,0.0218981124995099,0.0417415270938861,0.0220479772052396,0.0511441872177562,0.0222222222222222,0.00222222222222222,0.1
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.580872901631684,0.471487760193563,0.554366414594272,0.433068189556991,0.0222222222222222,0.00222222222222222,0,45,10,0,0,450,450,10,0.0766811001008138,0.048478150446094,0.557777777777778,0.0340740740740741,0.515555555555556,0.12642782947566,0.0986972009066857,0.0257034865605928,0.0243166628601501,0.0340949041036461,0.121769325433588,0.114805904474177,0.161922313269741,0.0813976442729315,0.0218981124995099,0.0417415270938861,0.0220479772052396,0.0511441872177562,0.0222222222222222,0.00222222222222222,0.1
1,2731,0.00160109469335182,0.401977667864412,9,116.717496448207,0.173560882685706,0.00649771822766793,0.00896375838869611,"random search",-0.496007814626573,-0.00675181190396623,-0.443407133384922,-0.000449190454710147,0.0222222222222222,0.00222222222222222,0,45,10,0,0,450,450,10,0.0766811001008138,0.048478150446094,0.557777777777778,0.0340740740740741,0.515555555555556,0.12642782947566,0.0986972009066857,0.0257034865605928,0.0243166628601501,0.0340949041036461,0.121769325433588,0.114805904474177,0.161922313269741,0.0813976442729315,0.0218981124995099,0.0417415270938861,0.0220479772052396,0.0511441872177562,0.0222222222222222,0.00222222222222222,0.1
2,4084,0.180608559812246,0.258516078651883,14,5.95870145708438,0.273288391297683,0.401745509981845,0.345851186737255,"random search",0.50965786610753,0.255998283922173,0.470200565542511,0.245300586043226,0.0222222222222222,0.00222222222222222,0,45,10,0,0,450,450,10,0.0766811001008138,0.048478150446094,0.557777777777778,0.0340740740740741,0.515555555555556,0.12642782947566,0.0986972009066857,0.0257034865605928,0.0243166628601501,0.0340949041036461,0.121769325433588,0.114805904474177,0.161922313269741,0.0813976442729315,0.0218981124995099,0.0417415270938861,0.0220479772052396,0.0511441872177562,0.0222222222222222,0.00222222222222222,0.1
3,1929,0.0715745083173014,0.727444943366572,15,1.45854110097788,0.697403807193041,44.2253292769172,25.3542443193634,"random search",0.106799135812835,0.139426015308591,0.118566196017704,0.148402041793664,0.0222222222222222,0.00222222222222222,0,45,10,0,0,450,450,10,0.0766811001008138,0.048478150446094,0.557777777777778,0.0340740740740741,0.515555555555556,0.12642782947566,0.0986972009066857,0.0257034865605928,0.0243166628601501,0.0340949041036461,0.121769325433588,0.114805904474177,0.161922313269741,0.0813976442729315,0.0218981124995099,0.0417415270938861,0.0220479772052396,0.0511441872177562,0.0222222222222222,0.00222222222222222,0.1
4,1421,0.666359375901044,0.874032301013358,1,1.23067416359099,0.124087387695909,1.69268599543158,0.00326025373051628,"random search",0.485323196634263,0.0882111837491204,0.527561132250978,0.251557664621112,0.0222222222222222,0.00222222222222222,0,45,10,0,0,450,450,10,0.0766811001008138,0.048478150446094,0.557777777777778,0.0340740740740741,0.515555555555556,0.12642782947566,0.0986972009066857,0.0257034865605928,0.0243166628601501,0.0340949041036461,0.121769325433588,0.114805904474177,0.161922313269741,0.0813976442729315,0.0218981124995099,0.0417415270938861,0.0220479772052396,0.0511441872177562,0.0222222222222222,0.00222222222222222,0.1
5,1696,0.0190667516800313,0.875697490968741,19,10.3808881423884,0.635010149795562,0.00137309995671991,0.0191475082134254,"random search",0.584436450561169,0.469391604076393,0.584817635009789,0.49744332962086,0.0222222222222222,0.00222222222222222,0,45,10,0,0,450,450,10,0.0766811001008138,0.048478150446094,0.557777777777778,0.0340740740740741,0.515555555555556,0.12642782947566,0.0986972009066857,0.0257034865605928,0.0243166628601501,0.0340949041036461,0.121769325433588,0.114805904474177,0.161922313269741,0.0813976442729315,0.0218981124995099,0.0417415270938861,0.0220479772052396,0.0511441872177562,0.0222222222222222,0.00222222222222222,0.1
6,3585,0.389877927637177,0.990206427802332,5,80.6831213306024,0.865887555992231,1.53495457567217,0.0696563798455825,"random search",0.56146862055031,0.29024737313115,0.530910414746089,0.359999469017539,0.0222222222222222,0.00222222222222222,0,45,10,0,0,450,450,10,0.0766811001008138,0.048478150446094,0.557777777777778,0.0340740740740741,0.515555555555556,0.12642782947566,0.0986972009066857,0.0257034865605928,0.0243166628601501,0.0340949041036461,0.121769325433588,0.114805904474177,0.161922313269741,0.0813976442729315,0.0218981124995099,0.0417415270938861,0.0220479772052396,0.0511441872177562,0.0222222222222222,0.00222222222222222,0.1
7,2671,0.0557854210972809,0.801631370210089,19,18.9848888045356,0.695370674831793,0.00268398678018472,0.118038031777239,"random search",0.608043156777678,0.446090730385192,0.602158714813388,0.52146806389718,0.0222222222222222,0.00222222222222222,0,45,10,0,0,450,450,10,0.0766811001008138,0.048478150446094,0.557777777777778,0.0340740740740741,0.515555555555556,0.12642782947566,0.0986972009066857,0.0257034865605928,0.0243166628601501,0.0340949041036461,0.121769325433588,0.114805904474177,0.161922313269741,0.0813976442729315,0.0218981124995099,0.0417415270938861,0.0220479772052396,0.0511441872177562,0.0222222222222222,0.00222222222222222,0.1
8,469,0.162674987316778,0.436492383969016,12,2.83521842178339,0.389190273126587,0.0511065276258311,6.38983612058063,"random search",0.475303408595498,0.389387695631342,0.444207113560344,0.371007312806274,0.0222222222222222,0.00222222222222222,0,45,10,0,0,450,450,10,0.0766811001008138,0.048478150446094,0.557777777777778,0.0340740740740741,0.515555555555556,0.12642782947566,0.0986972009066857,0.0257034865605928,0.0243166628601501,0.0340949041036461,0.121769325433588,0.114805904474177,0.161922313269741,0.0813976442729315,0.0218981124995099,0.0417415270938861,0.0220479772052396,0.0511441872177562,0.0222222222222222,0.00222222222222222,0.1
9,3634,0.00189047573437295,0.782139667612501,5,82.8146206707294,0.385980759980157,14.6815339656613,0.031674235536328,"random search",0.109456455854188,0.179183537002877,0.124850408124066,0.199781672709607,0.0222222222222222,0.00222222222222222,0,45,10,0,0,450,450,10,0.0766811001008138,0.048478150446094,0.557777777777778,0.0340740740740741,0.515555555555556,0.12642782947566,0.0986972009066857,0.0257034865605928,0.0243166628601501,0.0340949041036461,0.121769325433588,0.114805904474177,0.161922313269741,0.0813976442729315,0.0218981124995099,0.0417415270938861,0.0220479772052396,0.0511441872177562,0.0222222222222222,0.00222222222222222,0.1
10,360,0.130987695159516,0.670980052952655,9,8.55057383824313,0.284450290258974,16.2420625994048,0.0775069821411977,"random search",0.505171854551324,0.370173274103812,0.533417160100773,0.456369473021866,0.0222222222222222,0.00222222222222222,0,45,10,0,0,450,450,10,0.0766811001008138,0.048478150446094,0.557777777777778,0.0340740740740741,0.515555555555556,0.12642782947566,0.0986972009066857,0.0257034865605928,0.0243166628601501,0.0340949041036461,0.121769325433588,0.114805904474177,0.161922313269741,0.0813976442729315,0.0218981124995099,0.0417415270938861,0.0220479772052396,0.0511441872177562,0.0222222222222222,0.00222222222222222,0.1
11,3627,0.718064170623584,0.945399960246868,11,28.5452098479878,0.540707237320021,7.06854130155446,121.657644320941,"random search",-0.34609761117912,-0.15791950067512,-0.273651453274984,-0.0842341760119178,0.0222222222222222,0.00222222222222222,0,45,10,0,0,450,450,10,0.0766811001008138,0.048478150446094,0.557777777777778,0.0340740740740741,0.515555555555556,0.12642782947566,0.0986972009066857,0.0257034865605928,0.0243166628601501,0.0340949041036461,0.121769325433588,0.114805904474177,0.161922313269741,0.0813976442729315,0.0218981124995099,0.0417415270938861,0.0220479772052396,0.0511441872177562,0.0222222222222222,0.00222222222222222,0.1
12,4002,0.00252198329344251,0.20732507542707,16,73.9947884706338,0.487488417653367,256.822600335169,0.00767765094665531,"random search",-0.497931734834013,-0.131454502880411,-0.296408029466567,-0.0611455411792863,0.0222222222222222,0.00222222222222222,0,45,10,0,0,450,450,10,0.0766811001008138,0.048478150446094,0.557777777777778,0.0340740740740741,0.515555555555556,0.12642782947566,0.0986972009066857,0.0257034865605928,0.0243166628601501,0.0340949041036461,0.121769325433588,0.114805904474177,0.161922313269741,0.0813976442729315,0.0218981124995099,0.0417415270938861,0.0220479772052396,0.0511441872177562,0.0222222222222222,0.00222222222222222,0.1
13,3007,0.0420440684485601,0.26804784880951,20,110.573129764221,0.667758142575622,0.0302700716746603,900.301309858513,"random search",-0.694081044114611,-18.2820044901877,-0.65555256708793,-16.065220648497,0.0222222222222222,0.00222222222222222,0,45,10,0,0,450,450,10,0.0766811001008138,0.048478150446094,0.557777777777778,0.0340740740740741,0.515555555555556,0.12642782947566,0.0986972009066857,0.0257034865605928,0.0243166628601501,0.0340949041036461,0.121769325433588,0.114805904474177,0.161922313269741,0.0813976442729315,0.0218981124995099,0.0417415270938861,0.0220479772052396,0.0511441872177562,0.0222222222222222,0.00222222222222222,0.1
