"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.541327430715825,0.319431146104281,0.589844840908335,0.401827281079503,0.0132743362831858,0.00221238938053097,0,75.3333333333333,6,0,0,452,452,6,0.165796472955166,0.0917798056970912,0.499262536873156,0.043884942962973,0.462389380530973,0.117038652109632,0.0919867089773449,0.0221408804625194,0.0207892696723735,0.0333221616493878,0.118233058749481,0.118607117986316,0.127563483828835,0.0694561423292424,0.0253382953518143,0.0536830021863716,0.0193138747554517,0.0427796555927866,0.0132743362831858,0.00221238938053097,0.166666666666667
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.516118143772861,0.354581766868252,0.585096405368819,0.441986795716638,0.0132743362831858,0.00221238938053097,0,75.3333333333333,6,0,0,452,452,6,0.165796472955166,0.0917798056970912,0.499262536873156,0.043884942962973,0.462389380530973,0.117038652109632,0.0919867089773449,0.0221408804625194,0.0207892696723735,0.0333221616493878,0.118233058749481,0.118607117986316,0.127563483828835,0.0694561423292424,0.0253382953518143,0.0536830021863716,0.0193138747554517,0.0427796555927866,0.0132743362831858,0.00221238938053097,0.166666666666667
1,1912,0.0031008384537506,0.130562874232419,16,1.96647334146761,0.344802783802152,0.861225549388445,0.0108444811463314,"random search",0.334046384508346,0.301055097950497,0.403952315595135,0.353181252730017,0.0132743362831858,0.00221238938053097,0,75.3333333333333,6,0,0,452,452,6,0.165796472955166,0.0917798056970912,0.499262536873156,0.043884942962973,0.462389380530973,0.117038652109632,0.0919867089773449,0.0221408804625194,0.0207892696723735,0.0333221616493878,0.118233058749481,0.118607117986316,0.127563483828835,0.0694561423292424,0.0253382953518143,0.0536830021863716,0.0193138747554517,0.0427796555927866,0.0132743362831858,0.00221238938053097,0.166666666666667
2,4595,0.00616019195569427,0.574516209727153,3,12.8009466089402,0.106485763797536,0.00148305622976509,0.130998328370802,"random search",0.330521318085119,0.154577301667352,0.357424097810162,0.140518940313772,0.0132743362831858,0.00221238938053097,0,75.3333333333333,6,0,0,452,452,6,0.165796472955166,0.0917798056970912,0.499262536873156,0.043884942962973,0.462389380530973,0.117038652109632,0.0919867089773449,0.0221408804625194,0.0207892696723735,0.0333221616493878,0.118233058749481,0.118607117986316,0.127563483828835,0.0694561423292424,0.0253382953518143,0.0536830021863716,0.0193138747554517,0.0427796555927866,0.0132743362831858,0.00221238938053097,0.166666666666667
3,2342,0.00982062979902229,0.260185874253511,16,6.13815763187928,0.239915733225644,61.0675499900504,0.00223389742731687,"random search",0.1934462097507,0.217298734756746,0.216875492565143,0.216467434441336,0.0132743362831858,0.00221238938053097,0,75.3333333333333,6,0,0,452,452,6,0.165796472955166,0.0917798056970912,0.499262536873156,0.043884942962973,0.462389380530973,0.117038652109632,0.0919867089773449,0.0221408804625194,0.0207892696723735,0.0333221616493878,0.118233058749481,0.118607117986316,0.127563483828835,0.0694561423292424,0.0253382953518143,0.0536830021863716,0.0193138747554517,0.0427796555927866,0.0132743362831858,0.00221238938053097,0.166666666666667
4,4728,0.0375578875560677,0.548500723950565,15,11.7284153591739,0.330299338093027,0.0171341551785036,504.908050468346,"random search",-0.533931148457257,-1.2425927449558,-0.300564503073217,-0.912257241962936,0.0132743362831858,0.00221238938053097,0,75.3333333333333,6,0,0,452,452,6,0.165796472955166,0.0917798056970912,0.499262536873156,0.043884942962973,0.462389380530973,0.117038652109632,0.0919867089773449,0.0221408804625194,0.0207892696723735,0.0333221616493878,0.118233058749481,0.118607117986316,0.127563483828835,0.0694561423292424,0.0253382953518143,0.0536830021863716,0.0193138747554517,0.0427796555927866,0.0132743362831858,0.00221238938053097,0.166666666666667
5,192,0.00152518381475047,0.818864872842096,17,38.1045002209445,0.986590968212113,2.13705055343146,257.29221291886,"random search",-0.669115506579457,-5.39959995835814,-0.617535231797477,-5.47385462299193,0.0132743362831858,0.00221238938053097,0,75.3333333333333,6,0,0,452,452,6,0.165796472955166,0.0917798056970912,0.499262536873156,0.043884942962973,0.462389380530973,0.117038652109632,0.0919867089773449,0.0221408804625194,0.0207892696723735,0.0333221616493878,0.118233058749481,0.118607117986316,0.127563483828835,0.0694561423292424,0.0253382953518143,0.0536830021863716,0.0193138747554517,0.0427796555927866,0.0132743362831858,0.00221238938053097,0.166666666666667
6,2112,0.00317276524046802,0.135078199813142,16,3.40388170860832,0.371423905249685,0.00338264217990279,49.1865076842063,"random search",-0.168656563267753,-0.1378051954613,-0.175780150876483,-0.0438356345147757,0.0132743362831858,0.00221238938053097,0,75.3333333333333,6,0,0,452,452,6,0.165796472955166,0.0917798056970912,0.499262536873156,0.043884942962973,0.462389380530973,0.117038652109632,0.0919867089773449,0.0221408804625194,0.0207892696723735,0.0333221616493878,0.118233058749481,0.118607117986316,0.127563483828835,0.0694561423292424,0.0253382953518143,0.0536830021863716,0.0193138747554517,0.0427796555927866,0.0132743362831858,0.00221238938053097,0.166666666666667
7,4435,0.29227902282012,0.951048692013137,6,46.4231014333142,0.620236935093999,252.216511005212,0.00123444965907468,"random search",0.494627306142614,0.217649842659653,0.51443053079275,0.23967975596625,0.0132743362831858,0.00221238938053097,0,75.3333333333333,6,0,0,452,452,6,0.165796472955166,0.0917798056970912,0.499262536873156,0.043884942962973,0.462389380530973,0.117038652109632,0.0919867089773449,0.0221408804625194,0.0207892696723735,0.0333221616493878,0.118233058749481,0.118607117986316,0.127563483828835,0.0694561423292424,0.0253382953518143,0.0536830021863716,0.0193138747554517,0.0427796555927866,0.0132743362831858,0.00221238938053097,0.166666666666667
8,3311,0.0222357655962598,0.411556033231318,18,1.05155755089711,0.690772945992649,0.899253000435347,0.716119308102872,"random search",0.528705150924461,0.361277647174351,0.596129730987929,0.438351905358703,0.0132743362831858,0.00221238938053097,0,75.3333333333333,6,0,0,452,452,6,0.165796472955166,0.0917798056970912,0.499262536873156,0.043884942962973,0.462389380530973,0.117038652109632,0.0919867089773449,0.0221408804625194,0.0207892696723735,0.0333221616493878,0.118233058749481,0.118607117986316,0.127563483828835,0.0694561423292424,0.0253382953518143,0.0536830021863716,0.0193138747554517,0.0427796555927866,0.0132743362831858,0.00221238938053097,0.166666666666667
9,76,0.00601948325900205,0.21060386011377,3,8.5553358660326,0.0377900253515691,27.1171832644387,0.0703687418163259,"random search",-0.609682781977618,-4.38175157227675,-0.658584995562409,-4.36142960504376,0.0132743362831858,0.00221238938053097,0,75.3333333333333,6,0,0,452,452,6,0.165796472955166,0.0917798056970912,0.499262536873156,0.043884942962973,0.462389380530973,0.117038652109632,0.0919867089773449,0.0221408804625194,0.0207892696723735,0.0333221616493878,0.118233058749481,0.118607117986316,0.127563483828835,0.0694561423292424,0.0253382953518143,0.0536830021863716,0.0193138747554517,0.0427796555927866,0.0132743362831858,0.00221238938053097,0.166666666666667
10,4983,0.00153841291952759,0.798851994401775,23,11.8911382300886,0.495400858577341,0.587610441877012,0.00193473259888788,"random search",0.412002415376119,0.309594456617784,0.465111931241698,0.333279146216552,0.0132743362831858,0.00221238938053097,0,75.3333333333333,6,0,0,452,452,6,0.165796472955166,0.0917798056970912,0.499262536873156,0.043884942962973,0.462389380530973,0.117038652109632,0.0919867089773449,0.0221408804625194,0.0207892696723735,0.0333221616493878,0.118233058749481,0.118607117986316,0.127563483828835,0.0694561423292424,0.0253382953518143,0.0536830021863716,0.0193138747554517,0.0427796555927866,0.0132743362831858,0.00221238938053097,0.166666666666667
11,1987,0.00122009617589604,0.758538901270367,20,1.11086408540389,0.0691201512236148,0.0515198210270718,0.0697030252137477,"random search",0.0734129383211536,0.00191242695630467,0.0442238717888379,0.00685836526609407,0.0132743362831858,0.00221238938053097,0,75.3333333333333,6,0,0,452,452,6,0.165796472955166,0.0917798056970912,0.499262536873156,0.043884942962973,0.462389380530973,0.117038652109632,0.0919867089773449,0.0221408804625194,0.0207892696723735,0.0333221616493878,0.118233058749481,0.118607117986316,0.127563483828835,0.0694561423292424,0.0253382953518143,0.0536830021863716,0.0193138747554517,0.0427796555927866,0.0132743362831858,0.00221238938053097,0.166666666666667
12,4384,0.00245960518510434,0.613141419319436,14,1.13646953417928,0.00964055373333395,0.420171736187199,0.296881211782322,"random search",0.201509170031869,0.0670817764707164,0.184555586249643,-0.0626434903408508,0.0132743362831858,0.00221238938053097,0,75.3333333333333,6,0,0,452,452,6,0.165796472955166,0.0917798056970912,0.499262536873156,0.043884942962973,0.462389380530973,0.117038652109632,0.0919867089773449,0.0221408804625194,0.0207892696723735,0.0333221616493878,0.118233058749481,0.118607117986316,0.127563483828835,0.0694561423292424,0.0253382953518143,0.0536830021863716,0.0193138747554517,0.0427796555927866,0.0132743362831858,0.00221238938053097,0.166666666666667
