"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.677548202558986,0.520004334779378,0.603623875165632,0.413176872527914,0.0445859872611465,0.000911577028258888,3.88343261876332e-05,22.4285714285714,49,1,0,1097,1099,49,0.18828635277328,0.14618718661802,0.58793708566229,0.163189464154111,0.368516833484986,0.0590905987922636,0.0651325144983506,0.00773008321546983,0.00647659100534803,0.0174020376617308,0.0739269899022619,0.0916881730326337,0.104361964391007,0.0315452886602226,0.0125497296970534,0.0392040711497558,0.0053034145058749,0.0264312224051708,0.0445859872611465,0.000909918107370337,0.0204081632653061
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.675974574797258,0.57378907550636,0.60068205774601,0.497961725400037,0.0445859872611465,0.000911577028258888,3.88343261876332e-05,22.4285714285714,49,1,0,1097,1099,49,0.18828635277328,0.14618718661802,0.58793708566229,0.163189464154111,0.368516833484986,0.0590905987922636,0.0651325144983506,0.00773008321546983,0.00647659100534803,0.0174020376617308,0.0739269899022619,0.0916881730326337,0.104361964391007,0.0315452886602226,0.0125497296970534,0.0392040711497558,0.0053034145058749,0.0264312224051708,0.0445859872611465,0.000909918107370337,0.0204081632653061
1,4966,0.00144984635890337,0.497538053407334,10,33.7912429945077,0.0911674636881799,45.5027529024289,0.00222944861739884,"random search",0.465278537234234,0.448499895357618,0.36793818349766,0.316594798990388,0.0445859872611465,0.000911577028258888,3.88343261876332e-05,22.4285714285714,49,1,0,1097,1099,49,0.18828635277328,0.14618718661802,0.58793708566229,0.163189464154111,0.368516833484986,0.0590905987922636,0.0651325144983506,0.00773008321546983,0.00647659100534803,0.0174020376617308,0.0739269899022619,0.0916881730326337,0.104361964391007,0.0315452886602226,0.0125497296970534,0.0392040711497558,0.0053034145058749,0.0264312224051708,0.0445859872611465,0.000909918107370337,0.0204081632653061
2,1735,0.023719835908444,0.457941114902496,4,1.05357033704599,0.255894384579733,0.15467604492934,0.00129393014624065,"random search",0.691471512352539,0.603652669226045,0.607973007688309,0.493840640689264,0.0445859872611465,0.000911577028258888,3.88343261876332e-05,22.4285714285714,49,1,0,1097,1099,49,0.18828635277328,0.14618718661802,0.58793708566229,0.163189464154111,0.368516833484986,0.0590905987922636,0.0651325144983506,0.00773008321546983,0.00647659100534803,0.0174020376617308,0.0739269899022619,0.0916881730326337,0.104361964391007,0.0315452886602226,0.0125497296970534,0.0392040711497558,0.0053034145058749,0.0264312224051708,0.0445859872611465,0.000909918107370337,0.0204081632653061
3,4395,0.0976358849640062,0.912798658502288,19,6.25739720165978,0.446495605632663,1.02614539813834,449.794252639723,"random search",0.681417539470581,0.582439990744225,0.605254822218945,0.487540447294355,0.0445859872611465,0.000911577028258888,3.88343261876332e-05,22.4285714285714,49,1,0,1097,1099,49,0.18828635277328,0.14618718661802,0.58793708566229,0.163189464154111,0.368516833484986,0.0590905987922636,0.0651325144983506,0.00773008321546983,0.00647659100534803,0.0174020376617308,0.0739269899022619,0.0916881730326337,0.104361964391007,0.0315452886602226,0.0125497296970534,0.0392040711497558,0.0053034145058749,0.0264312224051708,0.0445859872611465,0.000909918107370337,0.0204081632653061
4,2849,0.671313392871614,0.459256150852889,22,6.98803758661387,0.408299131784588,0.0131250237956066,14.5315580413332,"random search",0.467101125375783,-0.237890568908087,0.364977296775418,-0.367245574128204,0.0445859872611465,0.000911577028258888,3.88343261876332e-05,22.4285714285714,49,1,0,1097,1099,49,0.18828635277328,0.14618718661802,0.58793708566229,0.163189464154111,0.368516833484986,0.0590905987922636,0.0651325144983506,0.00773008321546983,0.00647659100534803,0.0174020376617308,0.0739269899022619,0.0916881730326337,0.104361964391007,0.0315452886602226,0.0125497296970534,0.0392040711497558,0.0053034145058749,0.0264312224051708,0.0445859872611465,0.000909918107370337,0.0204081632653061
5,4454,0.011432198953913,0.993262186599895,20,16.4999186155715,0.718122226884589,0.360225262489222,0.0640819325908215,"random search",0.691869602260457,0.563824548321623,0.636625052696546,0.527685536448078,0.0445859872611465,0.000911577028258888,3.88343261876332e-05,22.4285714285714,49,1,0,1097,1099,49,0.18828635277328,0.14618718661802,0.58793708566229,0.163189464154111,0.368516833484986,0.0590905987922636,0.0651325144983506,0.00773008321546983,0.00647659100534803,0.0174020376617308,0.0739269899022619,0.0916881730326337,0.104361964391007,0.0315452886602226,0.0125497296970534,0.0392040711497558,0.0053034145058749,0.0264312224051708,0.0445859872611465,0.000909918107370337,0.0204081632653061
6,868,0.0613652684968821,0.295154658798128,2,4.02687142364909,0.122441436629742,1.37467421529267,0.00675233418903427,"random search",0.666607087739768,0.5681097105735,0.570682443851092,0.424338097830259,0.0445859872611465,0.000911577028258888,3.88343261876332e-05,22.4285714285714,49,1,0,1097,1099,49,0.18828635277328,0.14618718661802,0.58793708566229,0.163189464154111,0.368516833484986,0.0590905987922636,0.0651325144983506,0.00773008321546983,0.00647659100534803,0.0174020376617308,0.0739269899022619,0.0916881730326337,0.104361964391007,0.0315452886602226,0.0125497296970534,0.0392040711497558,0.0053034145058749,0.0264312224051708,0.0445859872611465,0.000909918107370337,0.0204081632653061
7,3038,0.00880212592940413,0.639201607671566,20,8.73818449285981,0.866355081554502,14.5126229997921,0.0141268585993453,"random search",0.695940598291413,0.59177318229486,0.62557626706763,0.510188454593527,0.0445859872611465,0.000911577028258888,3.88343261876332e-05,22.4285714285714,49,1,0,1097,1099,49,0.18828635277328,0.14618718661802,0.58793708566229,0.163189464154111,0.368516833484986,0.0590905987922636,0.0651325144983506,0.00773008321546983,0.00647659100534803,0.0174020376617308,0.0739269899022619,0.0916881730326337,0.104361964391007,0.0315452886602226,0.0125497296970534,0.0392040711497558,0.0053034145058749,0.0264312224051708,0.0445859872611465,0.000909918107370337,0.0204081632653061
8,1190,0.0407098761966652,0.37666417339351,4,7.09285593343465,0.844484983477741,0.00837481999759618,399.210922731581,"random search",0.704945752657161,0.5964730102185,0.661105428408881,0.526787434257118,0.0445859872611465,0.000911577028258888,3.88343261876332e-05,22.4285714285714,49,1,0,1097,1099,49,0.18828635277328,0.14618718661802,0.58793708566229,0.163189464154111,0.368516833484986,0.0590905987922636,0.0651325144983506,0.00773008321546983,0.00647659100534803,0.0174020376617308,0.0739269899022619,0.0916881730326337,0.104361964391007,0.0315452886602226,0.0125497296970534,0.0392040711497558,0.0053034145058749,0.0264312224051708,0.0445859872611465,0.000909918107370337,0.0204081632653061
