"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.610757250808465,0.487434620138385,0.601260305061723,0.513583557656481,0.0435943060498221,0.00208333333333333,0.00132096416616628,22.9387755102041,49,1,0,480,1124,49,0.116449892754955,0.084328682420794,0.61685670709565,0.133722115710657,0.567615658362989,0.109212748329303,0.0902170204783978,0.0200592939798742,0.0179096183317135,0.0342566038401649,0.108573825882914,0.114247478622928,0.106135134451036,0.0342822525136918,0.0208887213198121,0.0520998710352582,0.0098821671696312,0.0358589820717704,0.0435943060498221,0.000889679715302491,0.0204081632653061
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.587768910634759,0.527450136941807,0.566826026962661,0.554045606486551,0.0435943060498221,0.00208333333333333,0.00132096416616628,22.9387755102041,49,1,0,480,1124,49,0.116449892754955,0.084328682420794,0.61685670709565,0.133722115710657,0.567615658362989,0.109212748329303,0.0902170204783978,0.0200592939798742,0.0179096183317135,0.0342566038401649,0.108573825882914,0.114247478622928,0.106135134451036,0.0342822525136918,0.0208887213198121,0.0520998710352582,0.0098821671696312,0.0358589820717704,0.0435943060498221,0.000889679715302491,0.0204081632653061
1,2808,0.00245040887611568,0.767805091454647,21,3.53768766418232,0.898579543456435,9.66455445777556,0.00471516812606235,"random search",0.588694641966892,0.548987711962476,0.575490061117003,0.579695972734437,0.0435943060498221,0.00208333333333333,0.00132096416616628,22.9387755102041,49,1,0,480,1124,49,0.116449892754955,0.084328682420794,0.61685670709565,0.133722115710657,0.567615658362989,0.109212748329303,0.0902170204783978,0.0200592939798742,0.0179096183317135,0.0342566038401649,0.108573825882914,0.114247478622928,0.106135134451036,0.0342822525136918,0.0208887213198121,0.0520998710352582,0.0098821671696312,0.0358589820717704,0.0435943060498221,0.000889679715302491,0.0204081632653061
2,2606,0.00100358752973562,0.562850583042018,4,1.35597943171196,0.079078006092459,227.851485920836,854.392283485811,"random search",-0.795718908938497,-2.94026571260155,-0.861492007325264,-3.1892769958309,0.0435943060498221,0.00208333333333333,0.00132096416616628,22.9387755102041,49,1,0,480,1124,49,0.116449892754955,0.084328682420794,0.61685670709565,0.133722115710657,0.567615658362989,0.109212748329303,0.0902170204783978,0.0200592939798742,0.0179096183317135,0.0342566038401649,0.108573825882914,0.114247478622928,0.106135134451036,0.0342822525136918,0.0208887213198121,0.0520998710352582,0.0098821671696312,0.0358589820717704,0.0435943060498221,0.000889679715302491,0.0204081632653061
3,3353,0.00963721583740755,0.496633891225792,2,1.11053583788397,0.45821366389282,0.349787789226503,0.226972471065568,"random search",0.549729107519173,0.472353887146209,0.532513703477542,0.503617947584304,0.0435943060498221,0.00208333333333333,0.00132096416616628,22.9387755102041,49,1,0,480,1124,49,0.116449892754955,0.084328682420794,0.61685670709565,0.133722115710657,0.567615658362989,0.109212748329303,0.0902170204783978,0.0200592939798742,0.0179096183317135,0.0342566038401649,0.108573825882914,0.114247478622928,0.106135134451036,0.0342822525136918,0.0208887213198121,0.0520998710352582,0.0098821671696312,0.0358589820717704,0.0435943060498221,0.000889679715302491,0.0204081632653061
4,2041,0.250171379616266,0.267920490819961,6,3.80272832456462,0.376943880459294,0.973099355991927,3.95374574359147,"random search",0.477461866622997,0.420284389909286,0.465504795892091,0.450245415532011,0.0435943060498221,0.00208333333333333,0.00132096416616628,22.9387755102041,49,1,0,480,1124,49,0.116449892754955,0.084328682420794,0.61685670709565,0.133722115710657,0.567615658362989,0.109212748329303,0.0902170204783978,0.0200592939798742,0.0179096183317135,0.0342566038401649,0.108573825882914,0.114247478622928,0.106135134451036,0.0342822525136918,0.0208887213198121,0.0520998710352582,0.0098821671696312,0.0358589820717704,0.0435943060498221,0.000889679715302491,0.0204081632653061
5,2947,0.0386916663852785,0.537951676989906,3,32.5804251996365,0.505874160910025,1014.33285640585,0.00577744675877018,"random search",0.505480950398258,0.446843944855077,0.491765246701932,0.480644130241973,0.0435943060498221,0.00208333333333333,0.00132096416616628,22.9387755102041,49,1,0,480,1124,49,0.116449892754955,0.084328682420794,0.61685670709565,0.133722115710657,0.567615658362989,0.109212748329303,0.0902170204783978,0.0200592939798742,0.0179096183317135,0.0342566038401649,0.108573825882914,0.114247478622928,0.106135134451036,0.0342822525136918,0.0208887213198121,0.0520998710352582,0.0098821671696312,0.0358589820717704,0.0435943060498221,0.000889679715302491,0.0204081632653061
6,736,0.0597316441993593,0.773155831475742,7,64.4638081922744,0.0738026495091617,0.11537996161025,0.0340879250869068,"random search",0.492055770514777,0.394822541720477,0.476029343129065,0.428936003569255,0.0435943060498221,0.00208333333333333,0.00132096416616628,22.9387755102041,49,1,0,480,1124,49,0.116449892754955,0.084328682420794,0.61685670709565,0.133722115710657,0.567615658362989,0.109212748329303,0.0902170204783978,0.0200592939798742,0.0179096183317135,0.0342566038401649,0.108573825882914,0.114247478622928,0.106135134451036,0.0342822525136918,0.0208887213198121,0.0520998710352582,0.0098821671696312,0.0358589820717704,0.0435943060498221,0.000889679715302491,0.0204081632653061
7,881,0.0154476576913362,0.362829938600771,15,7.98656606840384,0.669782835524529,3.7438986235046,34.4949263538963,"random search",-0.1174072220495,-0.202397350062705,-0.0954765216369327,-0.202206788899441,0.0435943060498221,0.00208333333333333,0.00132096416616628,22.9387755102041,49,1,0,480,1124,49,0.116449892754955,0.084328682420794,0.61685670709565,0.133722115710657,0.567615658362989,0.109212748329303,0.0902170204783978,0.0200592939798742,0.0179096183317135,0.0342566038401649,0.108573825882914,0.114247478622928,0.106135134451036,0.0342822525136918,0.0208887213198121,0.0520998710352582,0.0098821671696312,0.0358589820717704,0.0435943060498221,0.000889679715302491,0.0204081632653061
8,1432,0.795973450000513,0.405982976011001,21,13.0588994851128,0.816370793152601,8.27034976656647,0.0597721172037948,"random search",0.510172317728244,-0.0579000298547205,0.567580827148176,0.104198339218452,0.0435943060498221,0.00208333333333333,0.00132096416616628,22.9387755102041,49,1,0,480,1124,49,0.116449892754955,0.084328682420794,0.61685670709565,0.133722115710657,0.567615658362989,0.109212748329303,0.0902170204783978,0.0200592939798742,0.0179096183317135,0.0342566038401649,0.108573825882914,0.114247478622928,0.106135134451036,0.0342822525136918,0.0208887213198121,0.0520998710352582,0.0098821671696312,0.0358589820717704,0.0435943060498221,0.000889679715302491,0.0204081632653061
9,3755,0.156446684628008,0.283605833933689,4,33.7581336884748,0.897202613065019,2.1436712707895,0.0874818554425308,"random search",0.583313453998624,0.354500036205013,0.609150207780461,0.432526424093227,0.0435943060498221,0.00208333333333333,0.00132096416616628,22.9387755102041,49,1,0,480,1124,49,0.116449892754955,0.084328682420794,0.61685670709565,0.133722115710657,0.567615658362989,0.109212748329303,0.0902170204783978,0.0200592939798742,0.0179096183317135,0.0342566038401649,0.108573825882914,0.114247478622928,0.106135134451036,0.0342822525136918,0.0208887213198121,0.0520998710352582,0.0098821671696312,0.0358589820717704,0.0435943060498221,0.000889679715302491,0.0204081632653061
10,1937,0.0258092842899719,0.628522741794586,1,47.2532714347892,0.177955231862143,0.38475287267069,0.0990408145883627,"random search",0.458019878653354,0.372707695017395,0.460502074594245,0.417873108436222,0.0435943060498221,0.00208333333333333,0.00132096416616628,22.9387755102041,49,1,0,480,1124,49,0.116449892754955,0.084328682420794,0.61685670709565,0.133722115710657,0.567615658362989,0.109212748329303,0.0902170204783978,0.0200592939798742,0.0179096183317135,0.0342566038401649,0.108573825882914,0.114247478622928,0.106135134451036,0.0342822525136918,0.0208887213198121,0.0520998710352582,0.0098821671696312,0.0358589820717704,0.0435943060498221,0.000889679715302491,0.0204081632653061
