"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.631973484453595,0.480500275946071,0.695324014948912,0.631465964182689,0.0446672743846855,0.00130039011703511,0.000649680880531134,22.3877551020408,49,0,0,769,1097,49,0.136466603516744,0.0893566219428503,0.618402693803137,0.138673835358052,0.148587055606199,0.053504898707446,0.0537130178626375,0.00574523249339832,0.00491319910562862,0.0201420742299538,0.0570714177919547,0.0767876908516591,0.109274307366856,0.034173035547296,0.00867029167282184,0.0400983485725165,0.00367338295558748,0.0219893060775888,0.0446672743846855,0.000911577028258888,0.0204081632653061
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.61091319473842,0.518004051185964,0.663560429541582,0.651776219077193,0.0446672743846855,0.00130039011703511,0.000649680880531134,22.3877551020408,49,0,0,769,1097,49,0.136466603516744,0.0893566219428503,0.618402693803137,0.138673835358052,0.148587055606199,0.053504898707446,0.0537130178626375,0.00574523249339832,0.00491319910562862,0.0201420742299538,0.0570714177919547,0.0767876908516591,0.109274307366856,0.034173035547296,0.00867029167282184,0.0400983485725165,0.00367338295558748,0.0219893060775888,0.0446672743846855,0.000911577028258888,0.0204081632653061
1,2761,0.00432322802026978,0.693369736755267,8,74.4617966558923,0.13176410109736,287.566689303845,740.376037813695,"random search",-0.53084949513432,-1.42886960365961,-0.541477835853445,-1.22670602219036,0.0446672743846855,0.00130039011703511,0.000649680880531134,22.3877551020408,49,0,0,769,1097,49,0.136466603516744,0.0893566219428503,0.618402693803137,0.138673835358052,0.148587055606199,0.053504898707446,0.0537130178626375,0.00574523249339832,0.00491319910562862,0.0201420742299538,0.0570714177919547,0.0767876908516591,0.109274307366856,0.034173035547296,0.00867029167282184,0.0400983485725165,0.00367338295558748,0.0219893060775888,0.0446672743846855,0.000911577028258888,0.0204081632653061
2,4246,0.00609769458143138,0.793536711926572,17,115.345089461741,0.354781324742362,205.572099918456,10.1326677291653,"random search",0.314374032586183,0.3054860441376,0.366576545721175,0.390994641252224,0.0446672743846855,0.00130039011703511,0.000649680880531134,22.3877551020408,49,0,0,769,1097,49,0.136466603516744,0.0893566219428503,0.618402693803137,0.138673835358052,0.148587055606199,0.053504898707446,0.0537130178626375,0.00574523249339832,0.00491319910562862,0.0201420742299538,0.0570714177919547,0.0767876908516591,0.109274307366856,0.034173035547296,0.00867029167282184,0.0400983485725165,0.00367338295558748,0.0219893060775888,0.0446672743846855,0.000911577028258888,0.0204081632653061
3,825,0.0168038984541517,0.348228058731183,13,1.91941139301814,0.139990932773799,3.43865896871785,0.0112366887216198,"random search",0.500301899451553,0.497128805377105,0.574964785387057,0.608201168759952,0.0446672743846855,0.00130039011703511,0.000649680880531134,22.3877551020408,49,0,0,769,1097,49,0.136466603516744,0.0893566219428503,0.618402693803137,0.138673835358052,0.148587055606199,0.053504898707446,0.0537130178626375,0.00574523249339832,0.00491319910562862,0.0201420742299538,0.0570714177919547,0.0767876908516591,0.109274307366856,0.034173035547296,0.00867029167282184,0.0400983485725165,0.00367338295558748,0.0219893060775888,0.0446672743846855,0.000911577028258888,0.0204081632653061
4,702,0.00337529781098085,0.197399506694637,24,7.55136988396402,0.562607957748696,13.8892091502507,0.205895362337577,"random search",0.231595657035735,0.223714107854465,0.24898898946251,0.251972427437351,0.0446672743846855,0.00130039011703511,0.000649680880531134,22.3877551020408,49,0,0,769,1097,49,0.136466603516744,0.0893566219428503,0.618402693803137,0.138673835358052,0.148587055606199,0.053504898707446,0.0537130178626375,0.00574523249339832,0.00491319910562862,0.0201420742299538,0.0570714177919547,0.0767876908516591,0.109274307366856,0.034173035547296,0.00867029167282184,0.0400983485725165,0.00367338295558748,0.0219893060775888,0.0446672743846855,0.000911577028258888,0.0204081632653061
5,3076,0.00150355609408625,0.326119154226035,22,63.7920577402012,0.117491617798805,0.0184783809159721,1.26127906785948,"random search",0.173074842061819,0.230744756379023,0.201303667682791,0.263355538390849,0.0446672743846855,0.00130039011703511,0.000649680880531134,22.3877551020408,49,0,0,769,1097,49,0.136466603516744,0.0893566219428503,0.618402693803137,0.138673835358052,0.148587055606199,0.053504898707446,0.0537130178626375,0.00574523249339832,0.00491319910562862,0.0201420742299538,0.0570714177919547,0.0767876908516591,0.109274307366856,0.034173035547296,0.00867029167282184,0.0400983485725165,0.00367338295558748,0.0219893060775888,0.0446672743846855,0.000911577028258888,0.0204081632653061
6,2282,0.00148243323476553,0.822627287474461,16,69.7632959079221,0.00313501688651741,0.0392326454396127,145.51547514444,"random search",-0.268508082503931,-0.111725419358097,-0.226868043014396,-0.07304180307879,0.0446672743846855,0.00130039011703511,0.000649680880531134,22.3877551020408,49,0,0,769,1097,49,0.136466603516744,0.0893566219428503,0.618402693803137,0.138673835358052,0.148587055606199,0.053504898707446,0.0537130178626375,0.00574523249339832,0.00491319910562862,0.0201420742299538,0.0570714177919547,0.0767876908516591,0.109274307366856,0.034173035547296,0.00867029167282184,0.0400983485725165,0.00367338295558748,0.0219893060775888,0.0446672743846855,0.000911577028258888,0.0204081632653061
7,2889,0.182011413729054,0.602810242958367,16,43.5681832729664,0.462137024151161,0.00282839474198362,213.150419038646,"random search",-0.206199068926187,-0.264786739660971,-0.17120709771714,-0.16369801667544,0.0446672743846855,0.00130039011703511,0.000649680880531134,22.3877551020408,49,0,0,769,1097,49,0.136466603516744,0.0893566219428503,0.618402693803137,0.138673835358052,0.148587055606199,0.053504898707446,0.0537130178626375,0.00574523249339832,0.00491319910562862,0.0201420742299538,0.0570714177919547,0.0767876908516591,0.109274307366856,0.034173035547296,0.00867029167282184,0.0400983485725165,0.00367338295558748,0.0219893060775888,0.0446672743846855,0.000911577028258888,0.0204081632653061
8,1136,0.00333147703047476,0.53299622668419,20,3.25333176681517,0.524038859643042,27.4543450875057,7.56928932772502,"random search",0.267109573493506,0.275838967234001,0.284457790481563,0.308123294806948,0.0446672743846855,0.00130039011703511,0.000649680880531134,22.3877551020408,49,0,0,769,1097,49,0.136466603516744,0.0893566219428503,0.618402693803137,0.138673835358052,0.148587055606199,0.053504898707446,0.0537130178626375,0.00574523249339832,0.00491319910562862,0.0201420742299538,0.0570714177919547,0.0767876908516591,0.109274307366856,0.034173035547296,0.00867029167282184,0.0400983485725165,0.00367338295558748,0.0219893060775888,0.0446672743846855,0.000911577028258888,0.0204081632653061
