"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.174902572313081,-0.348738207593395,0.11372726797334,-0.0177987098239376,0.044263775971093,0.0045045045045045,0.0443587697988674,22.5918367346939,49,0,0,222,1107,49,0.084316127716289,0.0543437574826793,0.714506940987777,0.188588717024526,0.003613369467028,0.0204991483331072,0.0394060609389435,0.00197164997707871,0.00172846578393635,0.0246130568625971,0.0187605754327047,0.0538802511436032,0.0885133290642467,0.0383602705512407,0.00400471905649116,0.0436364586648543,0.00138765057152666,0.0281313804427607,0.044263775971093,0.000903342366757001,0.0204081632653061
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.186625047446617,0.0106764015510518,0.138238329803254,-0.0293226690833848,0.044263775971093,0.0045045045045045,0.0443587697988674,22.5918367346939,49,0,0,222,1107,49,0.084316127716289,0.0543437574826793,0.714506940987777,0.188588717024526,0.003613369467028,0.0204991483331072,0.0394060609389435,0.00197164997707871,0.00172846578393635,0.0246130568625971,0.0187605754327047,0.0538802511436032,0.0885133290642467,0.0383602705512407,0.00400471905649116,0.0436364586648543,0.00138765057152666,0.0281313804427607,0.044263775971093,0.000903342366757001,0.0204081632653061
1,1214,0.0179156798185669,0.559095305809751,13,74.9424862449534,0.67958015576005,40.5974171391798,251.026361354517,"random search",-0.442367391516939,-1.19597003498395e-05,-0.429950279852767,-0.00222965667982411,0.044263775971093,0.0045045045045045,0.0443587697988674,22.5918367346939,49,0,0,222,1107,49,0.084316127716289,0.0543437574826793,0.714506940987777,0.188588717024526,0.003613369467028,0.0204991483331072,0.0394060609389435,0.00197164997707871,0.00172846578393635,0.0246130568625971,0.0187605754327047,0.0538802511436032,0.0885133290642467,0.0383602705512407,0.00400471905649116,0.0436364586648543,0.00138765057152666,0.0281313804427607,0.044263775971093,0.000903342366757001,0.0204081632653061
2,4778,0.00322581729482741,0.525266057765111,10,5.87740966959107,0.833153622923419,0.00142633869348028,3.61326399524891,"random search",0.189838941967131,0.0542023891976703,0.125777503810438,0.0235505155811895,0.044263775971093,0.0045045045045045,0.0443587697988674,22.5918367346939,49,0,0,222,1107,49,0.084316127716289,0.0543437574826793,0.714506940987777,0.188588717024526,0.003613369467028,0.0204991483331072,0.0394060609389435,0.00197164997707871,0.00172846578393635,0.0246130568625971,0.0187605754327047,0.0538802511436032,0.0885133290642467,0.0383602705512407,0.00400471905649116,0.0436364586648543,0.00138765057152666,0.0281313804427607,0.044263775971093,0.000903342366757001,0.0204081632653061
3,3154,0.0111312955580341,0.965861104126088,5,2.72187829073724,0.66845592088066,27.2129121800493,933.501430113017,"random search",-0.389460442222156,-7.48095911462521e-06,-0.427777298118331,-0.00220907942971249,0.044263775971093,0.0045045045045045,0.0443587697988674,22.5918367346939,49,0,0,222,1107,49,0.084316127716289,0.0543437574826793,0.714506940987777,0.188588717024526,0.003613369467028,0.0204991483331072,0.0394060609389435,0.00197164997707871,0.00172846578393635,0.0246130568625971,0.0187605754327047,0.0538802511436032,0.0885133290642467,0.0383602705512407,0.00400471905649116,0.0436364586648543,0.00138765057152666,0.0281313804427607,0.044263775971093,0.000903342366757001,0.0204081632653061
4,1719,0.0164193842057924,0.823417770303786,25,13.3457071616493,0.788156586699188,0.0124265913749503,5.56036362966177,"random search",0.174702015489377,0.0523408124662235,0.14151824739222,-0.00922215541412341,0.044263775971093,0.0045045045045045,0.0443587697988674,22.5918367346939,49,0,0,222,1107,49,0.084316127716289,0.0543437574826793,0.714506940987777,0.188588717024526,0.003613369467028,0.0204991483331072,0.0394060609389435,0.00197164997707871,0.00172846578393635,0.0246130568625971,0.0187605754327047,0.0538802511436032,0.0885133290642467,0.0383602705512407,0.00400471905649116,0.0436364586648543,0.00138765057152666,0.0281313804427607,0.044263775971093,0.000903342366757001,0.0204081632653061
5,893,0.00420320238373019,0.506977571710013,22,119.278913509088,0.935421937843785,622.745033648444,28.4153938926973,"random search",-0.172040649175234,0.0376760649759703,-0.238133146454624,0.0212679473109264,0.044263775971093,0.0045045045045045,0.0443587697988674,22.5918367346939,49,0,0,222,1107,49,0.084316127716289,0.0543437574826793,0.714506940987777,0.188588717024526,0.003613369467028,0.0204991483331072,0.0394060609389435,0.00197164997707871,0.00172846578393635,0.0246130568625971,0.0187605754327047,0.0538802511436032,0.0885133290642467,0.0383602705512407,0.00400471905649116,0.0436364586648543,0.00138765057152666,0.0281313804427607,0.044263775971093,0.000903342366757001,0.0204081632653061
6,3985,0.00267054139777879,0.261728819389828,2,15.029840777463,0.861878609517589,0.0248621954877962,26.9485753706427,"random search",0.0517201946171274,0.11181785349576,-0.0525294968047341,0.0142256152619293,0.044263775971093,0.0045045045045045,0.0443587697988674,22.5918367346939,49,0,0,222,1107,49,0.084316127716289,0.0543437574826793,0.714506940987777,0.188588717024526,0.003613369467028,0.0204991483331072,0.0394060609389435,0.00197164997707871,0.00172846578393635,0.0246130568625971,0.0187605754327047,0.0538802511436032,0.0885133290642467,0.0383602705512407,0.00400471905649116,0.0436364586648543,0.00138765057152666,0.0281313804427607,0.044263775971093,0.000903342366757001,0.0204081632653061
7,3104,0.122543107258402,0.913802393502556,3,8.31101035166326,0.980959403561428,4.97224654550373,0.00114355650116789,"random search",0.182351833827195,-0.051473261999891,0.141790912752096,-0.0696693129880899,0.044263775971093,0.0045045045045045,0.0443587697988674,22.5918367346939,49,0,0,222,1107,49,0.084316127716289,0.0543437574826793,0.714506940987777,0.188588717024526,0.003613369467028,0.0204991483331072,0.0394060609389435,0.00197164997707871,0.00172846578393635,0.0246130568625971,0.0187605754327047,0.0538802511436032,0.0885133290642467,0.0383602705512407,0.00400471905649116,0.0436364586648543,0.00138765057152666,0.0281313804427607,0.044263775971093,0.000903342366757001,0.0204081632653061
8,4841,0.0380565001260746,0.913657204899937,23,107.669167818094,0.851279634051025,0.000991652676221782,0.022039213357672,"random search",0.161155004679687,-0.0898621104547743,0.129110062398899,-0.190827041035626,0.044263775971093,0.0045045045045045,0.0443587697988674,22.5918367346939,49,0,0,222,1107,49,0.084316127716289,0.0543437574826793,0.714506940987777,0.188588717024526,0.003613369467028,0.0204991483331072,0.0394060609389435,0.00197164997707871,0.00172846578393635,0.0246130568625971,0.0187605754327047,0.0538802511436032,0.0885133290642467,0.0383602705512407,0.00400471905649116,0.0436364586648543,0.00138765057152666,0.0281313804427607,0.044263775971093,0.000903342366757001,0.0204081632653061
