"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.848019956200959,0.775787985382085,0.856213103454499,0.833689812280614,0.044263775971093,0.000919963201471941,0.000127492885770327,22.5918367346939,49,0,0,1087,1107,49,0.192837890808109,0.197073695320185,0.585900484855189,0.195605949371113,0.299909665763324,0.0358320096777533,0.0397808766703612,0.00286502151051924,0.00195877540436781,0.00539982923849998,0.051540190226984,0.0675018789371049,0.102743345297539,0.032477766285105,0.00603168049023814,0.0179917221930038,0.00173502683637686,0.00646403530374113,0.044263775971093,0.000903342366757001,0.0204081632653061
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.85211133691876,0.803748886068232,0.871667792274229,0.858365286333551,0.044263775971093,0.000919963201471941,0.000127492885770327,22.5918367346939,49,0,0,1087,1107,49,0.192837890808109,0.197073695320185,0.585900484855189,0.195605949371113,0.299909665763324,0.0358320096777533,0.0397808766703612,0.00286502151051924,0.00195877540436781,0.00539982923849998,0.051540190226984,0.0675018789371049,0.102743345297539,0.032477766285105,0.00603168049023814,0.0179917221930038,0.00173502683637686,0.00646403530374113,0.044263775971093,0.000903342366757001,0.0204081632653061
1,4085,0.00202933977930061,0.529729528282769,16,5.64154683807091,0.144562526606023,724.517045725583,119.069527810127,"random search",0.306486065465269,0.369584247677834,0.32852984669932,0.386689759587876,0.044263775971093,0.000919963201471941,0.000127492885770327,22.5918367346939,49,0,0,1087,1107,49,0.192837890808109,0.197073695320185,0.585900484855189,0.195605949371113,0.299909665763324,0.0358320096777533,0.0397808766703612,0.00286502151051924,0.00195877540436781,0.00539982923849998,0.051540190226984,0.0675018789371049,0.102743345297539,0.032477766285105,0.00603168049023814,0.0179917221930038,0.00173502683637686,0.00646403530374113,0.044263775971093,0.000903342366757001,0.0204081632653061
2,3499,0.00974227945211309,0.724170134216547,10,3.47987614006187,0.321924886433408,52.1021993419392,0.010598787440147,"random search",0.834997917805297,0.803057501484336,0.858906346875492,0.877857112279085,0.044263775971093,0.000919963201471941,0.000127492885770327,22.5918367346939,49,0,0,1087,1107,49,0.192837890808109,0.197073695320185,0.585900484855189,0.195605949371113,0.299909665763324,0.0358320096777533,0.0397808766703612,0.00286502151051924,0.00195877540436781,0.00539982923849998,0.051540190226984,0.0675018789371049,0.102743345297539,0.032477766285105,0.00603168049023814,0.0179917221930038,0.00173502683637686,0.00646403530374113,0.044263775971093,0.000903342366757001,0.0204081632653061
3,4233,0.0240944658743755,0.4460301612271,3,3.11033679996745,0.625751269515604,0.166196736705194,3.97521438959975,"random search",0.86581761795041,0.791493417755172,0.889784826790188,0.875659304299799,0.044263775971093,0.000919963201471941,0.000127492885770327,22.5918367346939,49,0,0,1087,1107,49,0.192837890808109,0.197073695320185,0.585900484855189,0.195605949371113,0.299909665763324,0.0358320096777533,0.0397808766703612,0.00286502151051924,0.00195877540436781,0.00539982923849998,0.051540190226984,0.0675018789371049,0.102743345297539,0.032477766285105,0.00603168049023814,0.0179917221930038,0.00173502683637686,0.00646403530374113,0.044263775971093,0.000903342366757001,0.0204081632653061
4,2491,0.011997884985859,0.178418165398762,1,3.62731141858148,0.596695718588307,313.074904198955,9.41602919959176,"random search",0.71665529340037,0.697132358244367,0.734076172980303,0.731801892235822,0.044263775971093,0.000919963201471941,0.000127492885770327,22.5918367346939,49,0,0,1087,1107,49,0.192837890808109,0.197073695320185,0.585900484855189,0.195605949371113,0.299909665763324,0.0358320096777533,0.0397808766703612,0.00286502151051924,0.00195877540436781,0.00539982923849998,0.051540190226984,0.0675018789371049,0.102743345297539,0.032477766285105,0.00603168049023814,0.0179917221930038,0.00173502683637686,0.00646403530374113,0.044263775971093,0.000903342366757001,0.0204081632653061
5,3719,0.7561091746965,0.345546013792045,21,16.260096099809,0.930751723470166,29.3642516279202,0.00384773129060403,"random search",0.832897652010899,0.674948723385621,0.86732357975236,0.754441731205918,0.044263775971093,0.000919963201471941,0.000127492885770327,22.5918367346939,49,0,0,1087,1107,49,0.192837890808109,0.197073695320185,0.585900484855189,0.195605949371113,0.299909665763324,0.0358320096777533,0.0397808766703612,0.00286502151051924,0.00195877540436781,0.00539982923849998,0.051540190226984,0.0675018789371049,0.102743345297539,0.032477766285105,0.00603168049023814,0.0179917221930038,0.00173502683637686,0.00646403530374113,0.044263775971093,0.000903342366757001,0.0204081632653061
6,1066,0.0526463564618346,0.244872255972587,4,11.6007071676382,0.50670281262137,1.60731645452114,24.0001237356002,"random search",0.864628045898669,0.803785171169999,0.898519738171897,0.859632548758274,0.044263775971093,0.000919963201471941,0.000127492885770327,22.5918367346939,49,0,0,1087,1107,49,0.192837890808109,0.197073695320185,0.585900484855189,0.195605949371113,0.299909665763324,0.0358320096777533,0.0397808766703612,0.00286502151051924,0.00195877540436781,0.00539982923849998,0.051540190226984,0.0675018789371049,0.102743345297539,0.032477766285105,0.00603168049023814,0.0179917221930038,0.00173502683637686,0.00646403530374113,0.044263775971093,0.000903342366757001,0.0204081632653061
7,2672,0.291718907109167,0.985785239795223,4,3.82237610867952,0.222939946921542,0.185816145240949,0.0060779997558683,"random search",0.82677780979806,0.748273276383552,0.884703030582553,0.832995715405568,0.044263775971093,0.000919963201471941,0.000127492885770327,22.5918367346939,49,0,0,1087,1107,49,0.192837890808109,0.197073695320185,0.585900484855189,0.195605949371113,0.299909665763324,0.0358320096777533,0.0397808766703612,0.00286502151051924,0.00195877540436781,0.00539982923849998,0.051540190226984,0.0675018789371049,0.102743345297539,0.032477766285105,0.00603168049023814,0.0179917221930038,0.00173502683637686,0.00646403530374113,0.044263775971093,0.000903342366757001,0.0204081632653061
8,2529,0.00171690286497746,0.727129765157588,6,74.8065801514418,0.436721839243546,0.0051264142456699,0.0259261765813104,"random search",0.78641418577436,0.754242193483016,0.804732709801425,0.81760242388647,0.044263775971093,0.000919963201471941,0.000127492885770327,22.5918367346939,49,0,0,1087,1107,49,0.192837890808109,0.197073695320185,0.585900484855189,0.195605949371113,0.299909665763324,0.0358320096777533,0.0397808766703612,0.00286502151051924,0.00195877540436781,0.00539982923849998,0.051540190226984,0.0675018789371049,0.102743345297539,0.032477766285105,0.00603168049023814,0.0179917221930038,0.00173502683637686,0.00646403530374113,0.044263775971093,0.000903342366757001,0.0204081632653061
