"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.668129984665315,0.545505809106902,0.659929363657419,0.552610405656511,0.0446265938069217,0.0025974025974026,0.00167480107873569,22.4081632653061,49,1,0,385,1098,49,0.172246258036786,0.127296367219657,0.610702204379019,0.143805386119093,0.463570127504554,0.0833773479877924,0.0709974187345531,0.0119878248835845,0.0103605609782878,0.0211010133259645,0.0825022005514257,0.0939054234435366,0.10643707946751,0.0352572687239412,0.0138941409030425,0.0390956568420343,0.0056135679198157,0.0196551511860278,0.0446265938069217,0.000910746812386157,0.0204081632653061
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.63844654926,0.567719550086861,0.634108219133352,0.568293025409596,0.0446265938069217,0.0025974025974026,0.00167480107873569,22.4081632653061,49,1,0,385,1098,49,0.172246258036786,0.127296367219657,0.610702204379019,0.143805386119093,0.463570127504554,0.0833773479877924,0.0709974187345531,0.0119878248835845,0.0103605609782878,0.0211010133259645,0.0825022005514257,0.0939054234435366,0.10643707946751,0.0352572687239412,0.0138941409030425,0.0390956568420343,0.0056135679198157,0.0196551511860278,0.0446265938069217,0.000910746812386157,0.0204081632653061
1,1810,0.0122873284882144,0.95920232096687,12,1.2903543303016,0.896973378024995,0.0410597083457946,449.825522789814,"random search",-1.26889900159067,-7.34491365377811,-1.2190427710111,-7.37314793819601,0.0446265938069217,0.0025974025974026,0.00167480107873569,22.4081632653061,49,1,0,385,1098,49,0.172246258036786,0.127296367219657,0.610702204379019,0.143805386119093,0.463570127504554,0.0833773479877924,0.0709974187345531,0.0119878248835845,0.0103605609782878,0.0211010133259645,0.0825022005514257,0.0939054234435366,0.10643707946751,0.0352572687239412,0.0138941409030425,0.0390956568420343,0.0056135679198157,0.0196551511860278,0.0446265938069217,0.000910746812386157,0.0204081632653061
2,2656,0.00194864714440481,0.231370751722716,12,2.04939237954103,0.126694941660389,0.110699667425246,1.41789998803995,"random search",0.285203417994316,0.346735170107532,0.283242182780197,0.33698566669519,0.0446265938069217,0.0025974025974026,0.00167480107873569,22.4081632653061,49,1,0,385,1098,49,0.172246258036786,0.127296367219657,0.610702204379019,0.143805386119093,0.463570127504554,0.0833773479877924,0.0709974187345531,0.0119878248835845,0.0103605609782878,0.0211010133259645,0.0825022005514257,0.0939054234435366,0.10643707946751,0.0352572687239412,0.0138941409030425,0.0390956568420343,0.0056135679198157,0.0196551511860278,0.0446265938069217,0.000910746812386157,0.0204081632653061
3,3253,0.27948345450088,0.904592475644313,10,12.5128762163222,0.661939383018762,0.0385581070974277,0.0266888924036562,"random search",0.690437956179789,0.565491333085648,0.707953289217839,0.600255086576687,0.0446265938069217,0.0025974025974026,0.00167480107873569,22.4081632653061,49,1,0,385,1098,49,0.172246258036786,0.127296367219657,0.610702204379019,0.143805386119093,0.463570127504554,0.0833773479877924,0.0709974187345531,0.0119878248835845,0.0103605609782878,0.0211010133259645,0.0825022005514257,0.0939054234435366,0.10643707946751,0.0352572687239412,0.0138941409030425,0.0390956568420343,0.0056135679198157,0.0196551511860278,0.0446265938069217,0.000910746812386157,0.0204081632653061
4,2391,0.663256686280078,0.506861545634456,16,6.53783226378815,0.448318460257724,0.324125049591924,534.924048663902,"random search",-1.29278270488402,-7.34488136878891,-1.19973394702292,-7.37342466768315,0.0446265938069217,0.0025974025974026,0.00167480107873569,22.4081632653061,49,1,0,385,1098,49,0.172246258036786,0.127296367219657,0.610702204379019,0.143805386119093,0.463570127504554,0.0833773479877924,0.0709974187345531,0.0119878248835845,0.0103605609782878,0.0211010133259645,0.0825022005514257,0.0939054234435366,0.10643707946751,0.0352572687239412,0.0138941409030425,0.0390956568420343,0.0056135679198157,0.0196551511860278,0.0446265938069217,0.000910746812386157,0.0204081632653061
5,2368,0.208974721180207,0.793235286534764,8,6.44925345082175,0.857298353686929,0.134640282139941,0.325126442108941,"random search",0.687986566761214,0.579813223509719,0.692980746820052,0.597882097661102,0.0446265938069217,0.0025974025974026,0.00167480107873569,22.4081632653061,49,1,0,385,1098,49,0.172246258036786,0.127296367219657,0.610702204379019,0.143805386119093,0.463570127504554,0.0833773479877924,0.0709974187345531,0.0119878248835845,0.0103605609782878,0.0211010133259645,0.0825022005514257,0.0939054234435366,0.10643707946751,0.0352572687239412,0.0138941409030425,0.0390956568420343,0.0056135679198157,0.0196551511860278,0.0446265938069217,0.000910746812386157,0.0204081632653061
6,4040,0.136807631174176,0.114083798835054,15,1.65867850809858,0.643476603087038,6.03025428623248,731.437812696551,"random search",-1.2794794453873,-7.34502542213584,-1.2364731841935,-7.3728587570892,0.0446265938069217,0.0025974025974026,0.00167480107873569,22.4081632653061,49,1,0,385,1098,49,0.172246258036786,0.127296367219657,0.610702204379019,0.143805386119093,0.463570127504554,0.0833773479877924,0.0709974187345531,0.0119878248835845,0.0103605609782878,0.0211010133259645,0.0825022005514257,0.0939054234435366,0.10643707946751,0.0352572687239412,0.0138941409030425,0.0390956568420343,0.0056135679198157,0.0196551511860278,0.0446265938069217,0.000910746812386157,0.0204081632653061
7,1278,0.00168847932475876,0.224404814140871,7,8.05011972207239,0.718761541880667,13.0069246060331,0.10753253887649,"random search",0.164088084347488,0.160175757482306,0.195990045117858,0.213478904631432,0.0446265938069217,0.0025974025974026,0.00167480107873569,22.4081632653061,49,1,0,385,1098,49,0.172246258036786,0.127296367219657,0.610702204379019,0.143805386119093,0.463570127504554,0.0833773479877924,0.0709974187345531,0.0119878248835845,0.0103605609782878,0.0211010133259645,0.0825022005514257,0.0939054234435366,0.10643707946751,0.0352572687239412,0.0138941409030425,0.0390956568420343,0.0056135679198157,0.0196551511860278,0.0446265938069217,0.000910746812386157,0.0204081632653061
8,1374,0.167447706349184,0.369372416147962,6,21.8082885564183,0.124191907467321,69.5060793600942,1.29813063128431,"random search",0.581459402677056,0.507108183859457,0.580739461413083,0.495877114431504,0.0446265938069217,0.0025974025974026,0.00167480107873569,22.4081632653061,49,1,0,385,1098,49,0.172246258036786,0.127296367219657,0.610702204379019,0.143805386119093,0.463570127504554,0.0833773479877924,0.0709974187345531,0.0119878248835845,0.0103605609782878,0.0211010133259645,0.0825022005514257,0.0939054234435366,0.10643707946751,0.0352572687239412,0.0138941409030425,0.0390956568420343,0.0056135679198157,0.0196551511860278,0.0446265938069217,0.000910746812386157,0.0204081632653061
