"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.745672846255296,0.563010125499082,0.781250428592938,0.624047412022619,0.0968253968253968,0.0016260162601626,0.000276522207926768,10.327868852459,61,2,3,615,630,58,0.326243676988157,0.259586512404996,0.485260770975057,0.194233162274196,0.0111111111111111,0.0234301776701061,0.0367924810194158,0.00190051117623337,0.00121495520916243,0.0104877120045971,0.0243306859146876,0.0486971575464963,0.146309604156276,0.0583351496871227,0.00245913485328961,0.0280712927325068,0.000859663933741208,0.00799315464128842,0.111111111111111,0.00158730158730159,0.0142857142857143
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.763312843425844,0.699667343328113,0.77930098838419,0.674980588408424,0.0968253968253968,0.0016260162601626,0.000276522207926768,10.327868852459,61,2,3,615,630,58,0.326243676988157,0.259586512404996,0.485260770975057,0.194233162274196,0.0111111111111111,0.0234301776701061,0.0367924810194158,0.00190051117623337,0.00121495520916243,0.0104877120045971,0.0243306859146876,0.0486971575464963,0.146309604156276,0.0583351496871227,0.00245913485328961,0.0280712927325068,0.000859663933741208,0.00799315464128842,0.111111111111111,0.00158730158730159,0.0142857142857143
1,211,0.0947361576910196,0.48727614718955,22,23.8875205823475,0.0336646218784153,210.13592156269,64.5581217011555,"random search",0.441327135456343,0.453256292815665,0.491424158657697,0.508552606999631,0.0968253968253968,0.0016260162601626,0.000276522207926768,10.327868852459,61,2,3,615,630,58,0.326243676988157,0.259586512404996,0.485260770975057,0.194233162274196,0.0111111111111111,0.0234301776701061,0.0367924810194158,0.00190051117623337,0.00121495520916243,0.0104877120045971,0.0243306859146876,0.0486971575464963,0.146309604156276,0.0583351496871227,0.00245913485328961,0.0280712927325068,0.000859663933741208,0.00799315464128842,0.111111111111111,0.00158730158730159,0.0142857142857143
2,951,0.0124254119499215,0.765231336513534,21,90.153036530049,0.401454543229192,0.600953752478224,0.0863701400479209,"random search",0.66806252730853,0.630158602269808,0.686367585730053,0.65689208368518,0.0968253968253968,0.0016260162601626,0.000276522207926768,10.327868852459,61,2,3,615,630,58,0.326243676988157,0.259586512404996,0.485260770975057,0.194233162274196,0.0111111111111111,0.0234301776701061,0.0367924810194158,0.00190051117623337,0.00121495520916243,0.0104877120045971,0.0243306859146876,0.0486971575464963,0.146309604156276,0.0583351496871227,0.00245913485328961,0.0280712927325068,0.000859663933741208,0.00799315464128842,0.111111111111111,0.00158730158730159,0.0142857142857143
3,1425,0.0208649923634258,0.78607371323742,14,1.12722039839,0.063691281247884,0.226687190949458,361.15324711411,"random search",0.3960948213781,0.397289306321041,0.47881764234712,0.489988110684962,0.0968253968253968,0.0016260162601626,0.000276522207926768,10.327868852459,61,2,3,615,630,58,0.326243676988157,0.259586512404996,0.485260770975057,0.194233162274196,0.0111111111111111,0.0234301776701061,0.0367924810194158,0.00190051117623337,0.00121495520916243,0.0104877120045971,0.0243306859146876,0.0486971575464963,0.146309604156276,0.0583351496871227,0.00245913485328961,0.0280712927325068,0.000859663933741208,0.00799315464128842,0.111111111111111,0.00158730158730159,0.0142857142857143
4,4504,0.890575458169448,0.110974926012568,25,2.94385932263649,0.0182747696526349,228.910837133689,0.0891636827376031,"random search",0.714280065520079,0.595388722658852,0.718428197671768,0.550388474296372,0.0968253968253968,0.0016260162601626,0.000276522207926768,10.327868852459,61,2,3,615,630,58,0.326243676988157,0.259586512404996,0.485260770975057,0.194233162274196,0.0111111111111111,0.0234301776701061,0.0367924810194158,0.00190051117623337,0.00121495520916243,0.0104877120045971,0.0243306859146876,0.0486971575464963,0.146309604156276,0.0583351496871227,0.00245913485328961,0.0280712927325068,0.000859663933741208,0.00799315464128842,0.111111111111111,0.00158730158730159,0.0142857142857143
5,1689,0.253702267748833,0.150158334732987,11,2.72031170941803,0.760372568620369,0.0159861493727421,119.523994595169,"random search",0.584739991340842,0.534134287273122,0.648160184675264,0.613347483399413,0.0968253968253968,0.0016260162601626,0.000276522207926768,10.327868852459,61,2,3,615,630,58,0.326243676988157,0.259586512404996,0.485260770975057,0.194233162274196,0.0111111111111111,0.0234301776701061,0.0367924810194158,0.00190051117623337,0.00121495520916243,0.0104877120045971,0.0243306859146876,0.0486971575464963,0.146309604156276,0.0583351496871227,0.00245913485328961,0.0280712927325068,0.000859663933741208,0.00799315464128842,0.111111111111111,0.00158730158730159,0.0142857142857143
6,531,0.00232888033586045,0.937896916805766,2,1.19053928540564,0.371604629792273,0.292374586356273,0.00311687948694658,"random search",0.532893666396455,0.471980290034295,0.546008201899741,0.464936075243721,0.0968253968253968,0.0016260162601626,0.000276522207926768,10.327868852459,61,2,3,615,630,58,0.326243676988157,0.259586512404996,0.485260770975057,0.194233162274196,0.0111111111111111,0.0234301776701061,0.0367924810194158,0.00190051117623337,0.00121495520916243,0.0104877120045971,0.0243306859146876,0.0486971575464963,0.146309604156276,0.0583351496871227,0.00245913485328961,0.0280712927325068,0.000859663933741208,0.00799315464128842,0.111111111111111,0.00158730158730159,0.0142857142857143
7,240,0.00772225901194437,0.543019609292969,5,1.10988009144449,0.00609785784035921,0.00351302580926888,0.0486720250635848,"random search",0.280081410536913,0.324783279107414,0.267833769603609,0.341748038865387,0.0968253968253968,0.0016260162601626,0.000276522207926768,10.327868852459,61,2,3,615,630,58,0.326243676988157,0.259586512404996,0.485260770975057,0.194233162274196,0.0111111111111111,0.0234301776701061,0.0367924810194158,0.00190051117623337,0.00121495520916243,0.0104877120045971,0.0243306859146876,0.0486971575464963,0.146309604156276,0.0583351496871227,0.00245913485328961,0.0280712927325068,0.000859663933741208,0.00799315464128842,0.111111111111111,0.00158730158730159,0.0142857142857143
8,372,0.0263978689401335,0.928040491649881,16,12.2144395458336,0.0265022511593997,1.58951056858549,1.0774455767881,"random search",0.551681849710084,0.552218125087753,0.573494666924658,0.548984138797319,0.0968253968253968,0.0016260162601626,0.000276522207926768,10.327868852459,61,2,3,615,630,58,0.326243676988157,0.259586512404996,0.485260770975057,0.194233162274196,0.0111111111111111,0.0234301776701061,0.0367924810194158,0.00190051117623337,0.00121495520916243,0.0104877120045971,0.0243306859146876,0.0486971575464963,0.146309604156276,0.0583351496871227,0.00245913485328961,0.0280712927325068,0.000859663933741208,0.00799315464128842,0.111111111111111,0.00158730158730159,0.0142857142857143
9,755,0.576938482566008,0.975207361811772,8,2.23590851349833,0.991463902406394,0.0578551010529036,185.582376136524,"random search",0.62807490068821,0.54020660857127,0.669937757413707,0.568516366598068,0.0968253968253968,0.0016260162601626,0.000276522207926768,10.327868852459,61,2,3,615,630,58,0.326243676988157,0.259586512404996,0.485260770975057,0.194233162274196,0.0111111111111111,0.0234301776701061,0.0367924810194158,0.00190051117623337,0.00121495520916243,0.0104877120045971,0.0243306859146876,0.0486971575464963,0.146309604156276,0.0583351496871227,0.00245913485328961,0.0280712927325068,0.000859663933741208,0.00799315464128842,0.111111111111111,0.00158730158730159,0.0142857142857143
10,1713,0.0715870669845063,0.614755616500042,6,1.02548579292491,0.0750137546565384,1.48687395765723,103.198719775086,"random search",0.640089553429806,0.605066559383719,0.666921571890982,0.621283076324729,0.0968253968253968,0.0016260162601626,0.000276522207926768,10.327868852459,61,2,3,615,630,58,0.326243676988157,0.259586512404996,0.485260770975057,0.194233162274196,0.0111111111111111,0.0234301776701061,0.0367924810194158,0.00190051117623337,0.00121495520916243,0.0104877120045971,0.0243306859146876,0.0486971575464963,0.146309604156276,0.0583351496871227,0.00245913485328961,0.0280712927325068,0.000859663933741208,0.00799315464128842,0.111111111111111,0.00158730158730159,0.0142857142857143
11,3537,0.48940346551243,0.727682419866323,3,1.63323382670923,0.410257851937786,0.955808610087351,343.498213492334,"random search",0.503333933441639,0.435853310966778,0.59127045516515,0.545912180212267,0.0968253968253968,0.0016260162601626,0.000276522207926768,10.327868852459,61,2,3,615,630,58,0.326243676988157,0.259586512404996,0.485260770975057,0.194233162274196,0.0111111111111111,0.0234301776701061,0.0367924810194158,0.00190051117623337,0.00121495520916243,0.0104877120045971,0.0243306859146876,0.0486971575464963,0.146309604156276,0.0583351496871227,0.00245913485328961,0.0280712927325068,0.000859663933741208,0.00799315464128842,0.111111111111111,0.00158730158730159,0.0142857142857143
12,2852,0.704964797544015,0.756082153716125,17,9.07251376354941,0.647400530287996,10.7502249685765,2.62969990069053,"random search",0.751588997916236,0.595321342780469,0.756028867130737,0.596061146674927,0.0968253968253968,0.0016260162601626,0.000276522207926768,10.327868852459,61,2,3,615,630,58,0.326243676988157,0.259586512404996,0.485260770975057,0.194233162274196,0.0111111111111111,0.0234301776701061,0.0367924810194158,0.00190051117623337,0.00121495520916243,0.0104877120045971,0.0243306859146876,0.0486971575464963,0.146309604156276,0.0583351496871227,0.00245913485328961,0.0280712927325068,0.000859663933741208,0.00799315464128842,0.111111111111111,0.00158730158730159,0.0142857142857143
13,4137,0.0644162309589581,0.5900611869758,10,33.7642063835557,0.815696783130988,13.1381244071424,1.46792218271569,"random search",0.777076278235286,0.640167738988388,0.775410698485228,0.641303622534731,0.0968253968253968,0.0016260162601626,0.000276522207926768,10.327868852459,61,2,3,615,630,58,0.326243676988157,0.259586512404996,0.485260770975057,0.194233162274196,0.0111111111111111,0.0234301776701061,0.0367924810194158,0.00190051117623337,0.00121495520916243,0.0104877120045971,0.0243306859146876,0.0486971575464963,0.146309604156276,0.0583351496871227,0.00245913485328961,0.0280712927325068,0.000859663933741208,0.00799315464128842,0.111111111111111,0.00158730158730159,0.0142857142857143
14,853,0.139087542942866,0.228096522181295,17,1.78142103882881,0.695540209300816,0.172702964165655,6.26284431726376,"random search",0.755531680969261,0.606632828759801,0.747691713445301,0.585909459507167,0.0968253968253968,0.0016260162601626,0.000276522207926768,10.327868852459,61,2,3,615,630,58,0.326243676988157,0.259586512404996,0.485260770975057,0.194233162274196,0.0111111111111111,0.0234301776701061,0.0367924810194158,0.00190051117623337,0.00121495520916243,0.0104877120045971,0.0243306859146876,0.0486971575464963,0.146309604156276,0.0583351496871227,0.00245913485328961,0.0280712927325068,0.000859663933741208,0.00799315464128842,0.111111111111111,0.00158730158730159,0.0142857142857143
15,1617,0.0497003851109793,0.126825940585695,21,9.22041369787251,0.418146919459105,2.81072898580016,515.57777151661,"random search",-0.66211065606322,-0.844088093751281,-0.671772870690663,-0.752859459870984,0.0968253968253968,0.0016260162601626,0.000276522207926768,10.327868852459,61,2,3,615,630,58,0.326243676988157,0.259586512404996,0.485260770975057,0.194233162274196,0.0111111111111111,0.0234301776701061,0.0367924810194158,0.00190051117623337,0.00121495520916243,0.0104877120045971,0.0243306859146876,0.0486971575464963,0.146309604156276,0.0583351496871227,0.00245913485328961,0.0280712927325068,0.000859663933741208,0.00799315464128842,0.111111111111111,0.00158730158730159,0.0142857142857143
16,4251,0.0116219121859374,0.44019217886962,5,7.33196649275684,0.777360068634152,308.899654713326,15.1388451178562,"random search",0.675956310897378,0.646823746634241,0.702499687768797,0.684015890045309,0.0968253968253968,0.0016260162601626,0.000276522207926768,10.327868852459,61,2,3,615,630,58,0.326243676988157,0.259586512404996,0.485260770975057,0.194233162274196,0.0111111111111111,0.0234301776701061,0.0367924810194158,0.00190051117623337,0.00121495520916243,0.0104877120045971,0.0243306859146876,0.0486971575464963,0.146309604156276,0.0583351496871227,0.00245913485328961,0.0280712927325068,0.000859663933741208,0.00799315464128842,0.111111111111111,0.00158730158730159,0.0142857142857143
17,2263,0.211750153285862,0.980676340940408,10,2.10970150962992,0.515813186299056,0.00134463473385371,0.00412637944869055,"random search",0.749993519505129,0.657596029814301,0.767861557176971,0.686592461302203,0.0968253968253968,0.0016260162601626,0.000276522207926768,10.327868852459,61,2,3,615,630,58,0.326243676988157,0.259586512404996,0.485260770975057,0.194233162274196,0.0111111111111111,0.0234301776701061,0.0367924810194158,0.00190051117623337,0.00121495520916243,0.0104877120045971,0.0243306859146876,0.0486971575464963,0.146309604156276,0.0583351496871227,0.00245913485328961,0.0280712927325068,0.000859663933741208,0.00799315464128842,0.111111111111111,0.00158730158730159,0.0142857142857143
