"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.949078143069636,0.932728672806036,0.957945159969517,0.944568598992743,0.0942812982998454,0.00163934426229508,0.000399835593266365,10.6065573770492,61,2,3,610,647,58,0.396121466135012,0.259274465693727,0.456171340251711,0.213198323229463,0.160741885625966,0.0340110149403257,0.0321127905561024,0.00218638658854751,0.00149596574427506,0.00363689104792467,0.0465395458292471,0.0486497319911241,0.127225256240515,0.0500315337862956,0.00355843033676306,0.0132171016358399,0.00127052291978133,0.00584355371043098,0.108191653786708,0.00154559505409583,0.0142857142857143
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.959843587260303,0.946721758289324,0.949013123166683,0.958149178185905,0.0942812982998454,0.00163934426229508,0.000399835593266365,10.6065573770492,61,2,3,610,647,58,0.396121466135012,0.259274465693727,0.456171340251711,0.213198323229463,0.160741885625966,0.0340110149403257,0.0321127905561024,0.00218638658854751,0.00149596574427506,0.00363689104792467,0.0465395458292471,0.0486497319911241,0.127225256240515,0.0500315337862956,0.00355843033676306,0.0132171016358399,0.00127052291978133,0.00584355371043098,0.108191653786708,0.00154559505409583,0.0142857142857143
1,2480,0.0296549101279249,0.576783978473395,16,55.1631881546632,0.487807175843045,0.00348586538261025,0.143703554968504,"random search",0.954612641799393,0.938812537950006,0.939151166319899,0.95439822925499,0.0942812982998454,0.00163934426229508,0.000399835593266365,10.6065573770492,61,2,3,610,647,58,0.396121466135012,0.259274465693727,0.456171340251711,0.213198323229463,0.160741885625966,0.0340110149403257,0.0321127905561024,0.00218638658854751,0.00149596574427506,0.00363689104792467,0.0465395458292471,0.0486497319911241,0.127225256240515,0.0500315337862956,0.00355843033676306,0.0132171016358399,0.00127052291978133,0.00584355371043098,0.108191653786708,0.00154559505409583,0.0142857142857143
2,4029,0.00529955237598137,0.843569509848021,2,87.2769285192205,0.0110293668694794,376.130193890528,89.5076825845399,"random search",0.709493965523193,0.796750952588869,0.727475131357878,0.843062987813717,0.0942812982998454,0.00163934426229508,0.000399835593266365,10.6065573770492,61,2,3,610,647,58,0.396121466135012,0.259274465693727,0.456171340251711,0.213198323229463,0.160741885625966,0.0340110149403257,0.0321127905561024,0.00218638658854751,0.00149596574427506,0.00363689104792467,0.0465395458292471,0.0486497319911241,0.127225256240515,0.0500315337862956,0.00355843033676306,0.0132171016358399,0.00127052291978133,0.00584355371043098,0.108191653786708,0.00154559505409583,0.0142857142857143
3,1877,0.0109139233998864,0.480725618614815,15,7.76815798634036,0.587090462679043,25.6213322699587,0.149524010045193,"random search",0.959341074990616,0.944259582594361,0.954092089796518,0.953259502123,0.0942812982998454,0.00163934426229508,0.000399835593266365,10.6065573770492,61,2,3,610,647,58,0.396121466135012,0.259274465693727,0.456171340251711,0.213198323229463,0.160741885625966,0.0340110149403257,0.0321127905561024,0.00218638658854751,0.00149596574427506,0.00363689104792467,0.0465395458292471,0.0486497319911241,0.127225256240515,0.0500315337862956,0.00355843033676306,0.0132171016358399,0.00127052291978133,0.00584355371043098,0.108191653786708,0.00154559505409583,0.0142857142857143
4,3662,0.646525940360302,0.647583111026324,18,3.5699524808878,0.796284378739074,0.399558605069886,893.185610100168,"random search",0.882778979871198,0.815404932744701,0.911610725097408,0.873448032534916,0.0942812982998454,0.00163934426229508,0.000399835593266365,10.6065573770492,61,2,3,610,647,58,0.396121466135012,0.259274465693727,0.456171340251711,0.213198323229463,0.160741885625966,0.0340110149403257,0.0321127905561024,0.00218638658854751,0.00149596574427506,0.00363689104792467,0.0465395458292471,0.0486497319911241,0.127225256240515,0.0500315337862956,0.00355843033676306,0.0132171016358399,0.00127052291978133,0.00584355371043098,0.108191653786708,0.00154559505409583,0.0142857142857143
5,1474,0.00777769114005331,0.152474280353636,13,1.40668364706209,0.0893304741475731,1.279730821624,0.00109358004115232,"random search",0.940065275270477,0.937569706077171,0.932788534454453,0.946551196785781,0.0942812982998454,0.00163934426229508,0.000399835593266365,10.6065573770492,61,2,3,610,647,58,0.396121466135012,0.259274465693727,0.456171340251711,0.213198323229463,0.160741885625966,0.0340110149403257,0.0321127905561024,0.00218638658854751,0.00149596574427506,0.00363689104792467,0.0465395458292471,0.0486497319911241,0.127225256240515,0.0500315337862956,0.00355843033676306,0.0132171016358399,0.00127052291978133,0.00584355371043098,0.108191653786708,0.00154559505409583,0.0142857142857143
6,563,0.00739647922548599,0.228252779925242,16,1.93483579348522,0.04647550242953,0.370592511781156,0.00737768207768514,"random search",0.867546375172959,0.890458078818197,0.852841304908312,0.899800801999261,0.0942812982998454,0.00163934426229508,0.000399835593266365,10.6065573770492,61,2,3,610,647,58,0.396121466135012,0.259274465693727,0.456171340251711,0.213198323229463,0.160741885625966,0.0340110149403257,0.0321127905561024,0.00218638658854751,0.00149596574427506,0.00363689104792467,0.0465395458292471,0.0486497319911241,0.127225256240515,0.0500315337862956,0.00355843033676306,0.0132171016358399,0.00127052291978133,0.00584355371043098,0.108191653786708,0.00154559505409583,0.0142857142857143
7,4172,0.00554067565891907,0.835057653859258,14,49.0101536607325,0.935841840226203,346.32773144389,0.096440764566361,"random search",0.913910248923704,0.916822059699582,0.928793671330868,0.9382829495912,0.0942812982998454,0.00163934426229508,0.000399835593266365,10.6065573770492,61,2,3,610,647,58,0.396121466135012,0.259274465693727,0.456171340251711,0.213198323229463,0.160741885625966,0.0340110149403257,0.0321127905561024,0.00218638658854751,0.00149596574427506,0.00363689104792467,0.0465395458292471,0.0486497319911241,0.127225256240515,0.0500315337862956,0.00355843033676306,0.0132171016358399,0.00127052291978133,0.00584355371043098,0.108191653786708,0.00154559505409583,0.0142857142857143
8,4824,0.227487162040197,0.501935618068092,10,1.4223705872846,0.897369944956154,4.56311039062785,3.70355923836764,"random search",0.95732353709216,0.929077185968428,0.93089958423844,0.945265441183042,0.0942812982998454,0.00163934426229508,0.000399835593266365,10.6065573770492,61,2,3,610,647,58,0.396121466135012,0.259274465693727,0.456171340251711,0.213198323229463,0.160741885625966,0.0340110149403257,0.0321127905561024,0.00218638658854751,0.00149596574427506,0.00363689104792467,0.0465395458292471,0.0486497319911241,0.127225256240515,0.0500315337862956,0.00355843033676306,0.0132171016358399,0.00127052291978133,0.00584355371043098,0.108191653786708,0.00154559505409583,0.0142857142857143
9,3220,0.00220022285353236,0.979814223852009,23,42.5186608754852,0.237088408088312,5.69867685513143,0.82594491978599,"random search",0.936645041498297,0.929444125875437,0.938645039095488,0.946570237001548,0.0942812982998454,0.00163934426229508,0.000399835593266365,10.6065573770492,61,2,3,610,647,58,0.396121466135012,0.259274465693727,0.456171340251711,0.213198323229463,0.160741885625966,0.0340110149403257,0.0321127905561024,0.00218638658854751,0.00149596574427506,0.00363689104792467,0.0465395458292471,0.0486497319911241,0.127225256240515,0.0500315337862956,0.00355843033676306,0.0132171016358399,0.00127052291978133,0.00584355371043098,0.108191653786708,0.00154559505409583,0.0142857142857143
10,4657,0.00393216900469703,0.907735393662006,23,1.99106740550495,0.384089265018702,0.00589994391492613,17.3728419415509,"random search",0.953889600328413,0.944021194137623,0.950097764842186,0.953670752929847,0.0942812982998454,0.00163934426229508,0.000399835593266365,10.6065573770492,61,2,3,610,647,58,0.396121466135012,0.259274465693727,0.456171340251711,0.213198323229463,0.160741885625966,0.0340110149403257,0.0321127905561024,0.00218638658854751,0.00149596574427506,0.00363689104792467,0.0465395458292471,0.0486497319911241,0.127225256240515,0.0500315337862956,0.00355843033676306,0.0132171016358399,0.00127052291978133,0.00584355371043098,0.108191653786708,0.00154559505409583,0.0142857142857143
