"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.636239239992018,0.539131325883378,0.4484231774411,0.318397641235168,0.0947204968944099,0.00268817204301075,0.00629697399978504,10.5573770491803,61,2,3,372,644,58,0.194341804336711,0.111461164685356,0.567768411712511,0.144711986481877,0.0543478260869565,0.0376266421085846,0.0515004922014382,0.00406394641401476,0.00329591955659057,0.0161259081380632,0.0349538969385869,0.0724567018772207,0.151816578872083,0.0689624165789557,0.00747407608945268,0.0484050689231136,0.00317083270610197,0.0370488574759469,0.108695652173913,0.0015527950310559,0.0142857142857143
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.645135312758661,0.588617372606325,0.475920142608938,0.332342878851976,0.0947204968944099,0.00268817204301075,0.00629697399978504,10.5573770491803,61,2,3,372,644,58,0.194341804336711,0.111461164685356,0.567768411712511,0.144711986481877,0.0543478260869565,0.0376266421085846,0.0515004922014382,0.00406394641401476,0.00329591955659057,0.0161259081380632,0.0349538969385869,0.0724567018772207,0.151816578872083,0.0689624165789557,0.00747407608945268,0.0484050689231136,0.00317083270610197,0.0370488574759469,0.108695652173913,0.0015527950310559,0.0142857142857143
1,3573,0.01412321997579,0.516861170576885,10,71.6078886886816,0.403963187010959,0.00144779033857907,0.00104224748042132,"random search",0.395587390718985,0.293493410484641,0.209171384495149,0.200622111176881,0.0947204968944099,0.00268817204301075,0.00629697399978504,10.5573770491803,61,2,3,372,644,58,0.194341804336711,0.111461164685356,0.567768411712511,0.144711986481877,0.0543478260869565,0.0376266421085846,0.0515004922014382,0.00406394641401476,0.00329591955659057,0.0161259081380632,0.0349538969385869,0.0724567018772207,0.151816578872083,0.0689624165789557,0.00747407608945268,0.0484050689231136,0.00317083270610197,0.0370488574759469,0.108695652173913,0.0015527950310559,0.0142857142857143
2,1756,0.00100375407746381,0.240017582336441,25,7.11904413847766,0.68827730580233,0.0126509552632905,0.00548123852408427,"random search",0.245401584557569,0.25778420393633,0.0698032329629683,0.126367249610748,0.0947204968944099,0.00268817204301075,0.00629697399978504,10.5573770491803,61,2,3,372,644,58,0.194341804336711,0.111461164685356,0.567768411712511,0.144711986481877,0.0543478260869565,0.0376266421085846,0.0515004922014382,0.00406394641401476,0.00329591955659057,0.0161259081380632,0.0349538969385869,0.0724567018772207,0.151816578872083,0.0689624165789557,0.00747407608945268,0.0484050689231136,0.00317083270610197,0.0370488574759469,0.108695652173913,0.0015527950310559,0.0142857142857143
3,1142,0.387392190773621,0.417955900030211,14,19.7160452245477,0.625938334036618,6.66837024018705,2.63247204182705,"random search",0.515237367986222,0.238728990391474,0.387737367583307,0.246388287113859,0.0947204968944099,0.00268817204301075,0.00629697399978504,10.5573770491803,61,2,3,372,644,58,0.194341804336711,0.111461164685356,0.567768411712511,0.144711986481877,0.0543478260869565,0.0376266421085846,0.0515004922014382,0.00406394641401476,0.00329591955659057,0.0161259081380632,0.0349538969385869,0.0724567018772207,0.151816578872083,0.0689624165789557,0.00747407608945268,0.0484050689231136,0.00317083270610197,0.0370488574759469,0.108695652173913,0.0015527950310559,0.0142857142857143
4,3012,0.0149983536017339,0.395606785896234,13,1.18866596242961,0.37339922436513,0.68271825939862,0.0484070169437739,"random search",0.663709283617082,0.58589209444054,0.502215808648104,0.34270300510863,0.0947204968944099,0.00268817204301075,0.00629697399978504,10.5573770491803,61,2,3,372,644,58,0.194341804336711,0.111461164685356,0.567768411712511,0.144711986481877,0.0543478260869565,0.0376266421085846,0.0515004922014382,0.00406394641401476,0.00329591955659057,0.0161259081380632,0.0349538969385869,0.0724567018772207,0.151816578872083,0.0689624165789557,0.00747407608945268,0.0484050689231136,0.00317083270610197,0.0370488574759469,0.108695652173913,0.0015527950310559,0.0142857142857143
5,2262,0.00952016369300801,0.985940451268107,19,116.434721040607,0.447538210311905,0.00163041313035537,75.8402432465256,"random search",0.272387336896031,0.2644751492587,0.11247827342403,0.149405351784736,0.0947204968944099,0.00268817204301075,0.00629697399978504,10.5573770491803,61,2,3,372,644,58,0.194341804336711,0.111461164685356,0.567768411712511,0.144711986481877,0.0543478260869565,0.0376266421085846,0.0515004922014382,0.00406394641401476,0.00329591955659057,0.0161259081380632,0.0349538969385869,0.0724567018772207,0.151816578872083,0.0689624165789557,0.00747407608945268,0.0484050689231136,0.00317083270610197,0.0370488574759469,0.108695652173913,0.0015527950310559,0.0142857142857143
6,2283,0.0049211815872898,0.635416336217895,18,28.8443690615854,0.722014541504905,0.426099211680982,2.23664591465573,"random search",0.426743571613007,0.401840608609057,0.271656455883915,0.257217804662888,0.0947204968944099,0.00268817204301075,0.00629697399978504,10.5573770491803,61,2,3,372,644,58,0.194341804336711,0.111461164685356,0.567768411712511,0.144711986481877,0.0543478260869565,0.0376266421085846,0.0515004922014382,0.00406394641401476,0.00329591955659057,0.0161259081380632,0.0349538969385869,0.0724567018772207,0.151816578872083,0.0689624165789557,0.00747407608945268,0.0484050689231136,0.00317083270610197,0.0370488574759469,0.108695652173913,0.0015527950310559,0.0142857142857143
7,76,0.00372550795749519,0.17450088923797,23,89.5446951811077,0.749534626957029,0.0131184879571113,0.139534881894625,"random search",-0.598297408123062,-0.116693489987055,-0.646811804484991,-0.0951227112394535,0.0947204968944099,0.00268817204301075,0.00629697399978504,10.5573770491803,61,2,3,372,644,58,0.194341804336711,0.111461164685356,0.567768411712511,0.144711986481877,0.0543478260869565,0.0376266421085846,0.0515004922014382,0.00406394641401476,0.00329591955659057,0.0161259081380632,0.0349538969385869,0.0724567018772207,0.151816578872083,0.0689624165789557,0.00747407608945268,0.0484050689231136,0.00317083270610197,0.0370488574759469,0.108695652173913,0.0015527950310559,0.0142857142857143
8,163,0.0139128945821305,0.87705928850919,14,113.868699190706,0.0652311267331243,0.00107116738616429,0.0018482479761027,"random search",-0.0204321993603094,0.100787876074656,-0.151961600067303,0.0282818508008027,0.0947204968944099,0.00268817204301075,0.00629697399978504,10.5573770491803,61,2,3,372,644,58,0.194341804336711,0.111461164685356,0.567768411712511,0.144711986481877,0.0543478260869565,0.0376266421085846,0.0515004922014382,0.00406394641401476,0.00329591955659057,0.0161259081380632,0.0349538969385869,0.0724567018772207,0.151816578872083,0.0689624165789557,0.00747407608945268,0.0484050689231136,0.00317083270610197,0.0370488574759469,0.108695652173913,0.0015527950310559,0.0142857142857143
