"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.710942078351716,0.598559694045744,0.775743029609667,0.532680936884826,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.715958756047108,0.6301551014886,0.785555793428749,0.592046911008351,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
1,367,0.0189025735087345,0.738927217177115,24,28.9792282469686,0.793507463764399,210.249191575249,268.727005282231,"random search",0.152170845697427,0.191588403514834,0.234873303738038,0.265297068933861,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
2,1848,0.00321946194930446,0.916059397370555,14,63.6105352686561,0.856747671728954,0.744594524169125,0.0113589447672631,"random search",0.432328218151379,0.398513921873998,0.528659436148363,0.507188416911194,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
3,547,0.0265569824433814,0.623771385801956,20,1.32619585031603,0.080329601187259,7.88706557818085,0.0457943218980829,"random search",0.661551708840442,0.638163102954742,0.774602012407041,0.688650485858987,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
4,1559,0.00981619541057342,0.550360380974598,25,8.60800734967185,0.312550575472414,0.603075068360282,30.2282880316408,"random search",0.68492767943939,0.6231026863026,0.773429595963871,0.602304011655094,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
5,4874,0.002687551216743,0.335053446609527,16,1.83812917947266,0.611062595853582,0.0246897118952661,89.0678371530567,"random search",0.611029419621551,0.572500956201512,0.740848837709918,0.684515936737015,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
6,790,0.0756950719221825,0.717458793800324,19,21.216182986326,0.0346044884063303,2.17192703961843,0.0256042766067358,"random search",0.634294036558023,0.503936908728812,0.737460124940777,0.629978771159294,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
7,2112,0.0378489450309758,0.766127184475772,17,25.3338756750352,0.244200841058046,0.525181344539456,2.42882245055477,"random search",0.672364758507655,0.525033443297419,0.744807276153332,0.53305160299841,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
8,824,0.312282558390777,0.216078914655372,10,1.18794806068807,0.434234318090603,51.2439374831575,0.00335129254620278,"random search",0.654923778700236,0.538155015150911,0.79213261908037,0.619166998578901,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
9,954,0.0312116173265439,0.336946463608183,18,1.00320317038004,0.0427497224882245,137.090891477511,129.119166609099,"random search",0.199341361909779,0.267609445581892,0.344981960703862,0.428456350493393,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
10,4680,0.0393615790081769,0.736395045486279,24,37.0314358714624,0.152757515432313,3.82290767515852,0.188399873442533,"random search",0.662134416010701,0.497796253558441,0.739798193004666,0.568952515311113,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
11,4048,0.613764181924151,0.475275996862911,19,5.35363229364967,0.183209361042827,8.3282621462467,195.778619864706,"random search",0.625436843521189,0.519134555501573,0.732376420530132,0.609243779481875,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
12,4574,0.00247093289449198,0.285820269887336,14,1.48505011039072,0.230755483731627,508.631276822354,429.101139992171,"random search",-0.246639814668588,-0.044287472105776,-0.222345648163874,-0.033608292429526,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
13,3205,0.115203456330932,0.934622258739546,3,25.5983146400651,0.795615720795467,2.36013071516457,39.4038361944392,"random search",0.652255774457769,0.518823679328953,0.750666610263667,0.572480164469172,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
14,3057,0.00149358332191432,0.105782140861265,15,13.7956868112549,0.952186865499243,4.29210612885881,0.146415609913751,"random search",0.25270055852573,0.290229467928178,0.339472717783669,0.392473145856956,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
15,2965,0.309311262036234,0.832199547672644,7,13.4246650395228,0.317754365038127,2.48202402187323,0.0844327047292604,"random search",0.739275165107312,0.596172474041682,0.769968836615979,0.524424822051728,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
16,4598,0.331202745798237,0.97241568157915,11,109.319849955375,0.614521352108568,933.408719249446,2.86365126818086,"random search",0.605774405230529,0.434087946529325,0.732464141847949,0.624234383505861,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
17,4591,0.0218717463445561,0.577174980845302,7,12.1798716815789,0.529751368332654,0.0353825914191633,85.7668022275118,"random search",0.645897235739743,0.554270107012782,0.768371458673836,0.678233499859575,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
18,4126,0.146164931162681,0.638800638797693,7,16.5399668399671,0.443086532410234,201.33395469779,131.204846371761,"random search",0.60288498066221,0.516941243099906,0.733682935099695,0.680522313594254,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
19,4561,0.350548189663599,0.488278960390017,20,1.64626359320228,0.678961267927662,0.00219804580113516,0.566542845612182,"random search",0.72143683655276,0.537440317124021,0.718150903324436,0.440950280435806,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
20,3204,0.492075053760524,0.373364095529541,24,1.24202059831354,0.0298729750793427,0.0879038199617193,114.356707688904,"random search",0.666819976785475,0.540268479771518,0.737900185325254,0.575212657761991,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
21,775,0.53816858076217,0.824895427958108,6,15.1304839052799,0.505761194508523,0.00407260486201247,0.0543838769449559,"random search",0.706539568945077,0.535287547072861,0.717975814321171,0.375675470827861,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
22,2697,0.00572897061122331,0.912318370840512,21,1.97948090338305,0.649837176082656,0.00255290894524306,237.034828524659,"random search",0.502861986833935,0.466483352321581,0.681077009041357,0.72764444433979,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
23,1579,0.0245263950355171,0.920109697268344,10,57.3925831007436,0.689206752926111,0.316281511331335,18.7872683044083,"random search",0.60435322603489,0.486177862880522,0.693580514683505,0.545892935148448,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
24,4762,0.0385904374225439,0.789767813053913,15,22.7590287352434,0.178250293480232,9.8077423919286,0.434829438073563,"random search",0.68848431039426,0.531078179702765,0.760789730970509,0.558305557268777,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
25,2293,0.188226384428894,0.168828396452591,20,6.84380356843833,0.810639206785709,0.161473142546118,0.0373067995761866,"random search",0.647421967297064,0.313510528013677,0.708645290327563,0.359305719497279,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
26,1420,0.378435395397011,0.569690059288405,13,31.0432598787392,0.136015304829925,0.00310265753059079,0.00359379165892218,"random search",0.65804861953884,0.382744167161033,0.651517698358055,0.395496246630095,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
27,762,0.169914041235754,0.362389088631608,1,3.71533233884881,0.338980619097129,0.0215148484191764,0.0349505013137603,"random search",0.743635162193344,0.571277178296464,0.749237402608466,0.53139546320315,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
28,1508,0.00206977375802863,0.518965497240424,25,1.86316936605413,0.904893660685048,4.86864900005215,0.489091506224944,"random search",0.621158704352565,0.587131755966585,0.837969836503644,0.71856083617838,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
29,3212,0.818775078318673,0.504260670207441,11,1.53733043073093,0.605504276929423,0.11140739882906,0.0584501932524884,"random search",0.458478085028226,-0.198187493679639,0.403180136533352,-0.585522901637419,0.0976,0.00265957446808511,0.0139102749104792,10.2459016393443,61,2,3,376,625,58,0.109775638030075,0.0872990289452136,0.67328,0.123116885195695,0.0464,0.036939661864671,0.0431102263003217,0.00322005664376252,0.00263787442113397,0.0109235749146277,0.0423119094543786,0.0736909651843038,0.147336886614294,0.0733928079931183,0.00696605726988382,0.0325788371321155,0.00154219951549735,0.0119189307649484,0.112,0.0016,0.0142857142857143
