"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.855234433395795,0.762160109175831,0.552241279552768,0.507706178288957,0.097444089456869,0.00170357751277683,0.000429739377862629,10.2622950819672,61,2,3,587,626,58,0.343356138221134,0.264177837306662,0.490985851209493,0.211878488229049,0.42332268370607,0.0356875750830939,0.0449626127271893,0.00329201010721961,0.00233212281050703,0.00973794395172786,0.0438652045256745,0.0645798181024099,0.141589332654547,0.0571980959930049,0.00543670247782218,0.0227939557864548,0.00247715416865803,0.0223508766944572,0.111821086261981,0.00159744408945687,0.0142857142857143
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.853714117241876,0.79479396655528,0.560986419442303,0.523403670535122,0.097444089456869,0.00170357751277683,0.000429739377862629,10.2622950819672,61,2,3,587,626,58,0.343356138221134,0.264177837306662,0.490985851209493,0.211878488229049,0.42332268370607,0.0356875750830939,0.0449626127271893,0.00329201010721961,0.00233212281050703,0.00973794395172786,0.0438652045256745,0.0645798181024099,0.141589332654547,0.0571980959930049,0.00543670247782218,0.0227939557864548,0.00247715416865803,0.0223508766944572,0.111821086261981,0.00159744408945687,0.0142857142857143
1,996,0.103377136874321,0.826303367456421,9,45.4331893700509,0.440217879600823,0.0769201138137274,10.7837891178014,"random search",0.835865770745891,0.778122978463517,0.540911984475683,0.482418682144189,0.097444089456869,0.00170357751277683,0.000429739377862629,10.2622950819672,61,2,3,587,626,58,0.343356138221134,0.264177837306662,0.490985851209493,0.211878488229049,0.42332268370607,0.0356875750830939,0.0449626127271893,0.00329201010721961,0.00233212281050703,0.00973794395172786,0.0438652045256745,0.0645798181024099,0.141589332654547,0.0571980959930049,0.00543670247782218,0.0227939557864548,0.00247715416865803,0.0223508766944572,0.111821086261981,0.00159744408945687,0.0142857142857143
2,3066,0.094216197182336,0.111197373340838,25,18.3012815063638,0.0250337545294315,214.419604502025,1.54806891255814,"random search",0.723904947970329,0.675950346377363,0.483792943518859,0.429980238657007,0.097444089456869,0.00170357751277683,0.000429739377862629,10.2622950819672,61,2,3,587,626,58,0.343356138221134,0.264177837306662,0.490985851209493,0.211878488229049,0.42332268370607,0.0356875750830939,0.0449626127271893,0.00329201010721961,0.00233212281050703,0.00973794395172786,0.0438652045256745,0.0645798181024099,0.141589332654547,0.0571980959930049,0.00543670247782218,0.0227939557864548,0.00247715416865803,0.0223508766944572,0.111821086261981,0.00159744408945687,0.0142857142857143
3,4067,0.125044581685948,0.266199874063022,20,14.3841240452344,0.930841014254838,6.92598092640807,0.00146887958853031,"random search",0.847060517570382,0.727716893958425,0.550583278260852,0.500517896544609,0.097444089456869,0.00170357751277683,0.000429739377862629,10.2622950819672,61,2,3,587,626,58,0.343356138221134,0.264177837306662,0.490985851209493,0.211878488229049,0.42332268370607,0.0356875750830939,0.0449626127271893,0.00329201010721961,0.00233212281050703,0.00973794395172786,0.0438652045256745,0.0645798181024099,0.141589332654547,0.0571980959930049,0.00543670247782218,0.0227939557864548,0.00247715416865803,0.0223508766944572,0.111821086261981,0.00159744408945687,0.0142857142857143
4,1640,0.0527201703308388,0.728779507684521,13,1.85855585759363,0.215615030610934,2.84214193546726,47.4014371743384,"random search",0.725382537386622,0.691411127229011,0.489452854904703,0.43738026312338,0.097444089456869,0.00170357751277683,0.000429739377862629,10.2622950819672,61,2,3,587,626,58,0.343356138221134,0.264177837306662,0.490985851209493,0.211878488229049,0.42332268370607,0.0356875750830939,0.0449626127271893,0.00329201010721961,0.00233212281050703,0.00973794395172786,0.0438652045256745,0.0645798181024099,0.141589332654547,0.0571980959930049,0.00543670247782218,0.0227939557864548,0.00247715416865803,0.0223508766944572,0.111821086261981,0.00159744408945687,0.0142857142857143
5,444,0.0313711632628658,0.399656675709412,24,49.5718980126864,0.823328926227987,23.4385675330678,1.64217608905017,"random search",0.791836894249111,0.75236572106933,0.524916539091163,0.481763066011857,0.097444089456869,0.00170357751277683,0.000429739377862629,10.2622950819672,61,2,3,587,626,58,0.343356138221134,0.264177837306662,0.490985851209493,0.211878488229049,0.42332268370607,0.0356875750830939,0.0449626127271893,0.00329201010721961,0.00233212281050703,0.00973794395172786,0.0438652045256745,0.0645798181024099,0.141589332654547,0.0571980959930049,0.00543670247782218,0.0227939557864548,0.00247715416865803,0.0223508766944572,0.111821086261981,0.00159744408945687,0.0142857142857143
6,1331,0.0200360311841612,0.981098076188937,10,83.7938959221442,0.357266465201974,0.00133906160254079,0.00183436369053527,"random search",0.838218978114443,0.781892372960235,0.558044311374664,0.517319207382141,0.097444089456869,0.00170357751277683,0.000429739377862629,10.2622950819672,61,2,3,587,626,58,0.343356138221134,0.264177837306662,0.490985851209493,0.211878488229049,0.42332268370607,0.0356875750830939,0.0449626127271893,0.00329201010721961,0.00233212281050703,0.00973794395172786,0.0438652045256745,0.0645798181024099,0.141589332654547,0.0571980959930049,0.00543670247782218,0.0227939557864548,0.00247715416865803,0.0223508766944572,0.111821086261981,0.00159744408945687,0.0142857142857143
7,1337,0.0184952106461833,0.97017167720478,8,61.6601856359814,0.642613125964999,0.00756210012735649,53.447691115303,"random search",0.736996768222484,0.70238585236273,0.501778116848141,0.450060462887908,0.097444089456869,0.00170357751277683,0.000429739377862629,10.2622950819672,61,2,3,587,626,58,0.343356138221134,0.264177837306662,0.490985851209493,0.211878488229049,0.42332268370607,0.0356875750830939,0.0449626127271893,0.00329201010721961,0.00233212281050703,0.00973794395172786,0.0438652045256745,0.0645798181024099,0.141589332654547,0.0571980959930049,0.00543670247782218,0.0227939557864548,0.00247715416865803,0.0223508766944572,0.111821086261981,0.00159744408945687,0.0142857142857143
8,4378,0.0276395845494638,0.863078056718223,21,44.1461024351542,0.996776062296703,0.0165551257536893,0.0071009342325202,"random search",0.859281000475506,0.784253146318719,0.55160685255766,0.504764131597086,0.097444089456869,0.00170357751277683,0.000429739377862629,10.2622950819672,61,2,3,587,626,58,0.343356138221134,0.264177837306662,0.490985851209493,0.211878488229049,0.42332268370607,0.0356875750830939,0.0449626127271893,0.00329201010721961,0.00233212281050703,0.00973794395172786,0.0438652045256745,0.0645798181024099,0.141589332654547,0.0571980959930049,0.00543670247782218,0.0227939557864548,0.00247715416865803,0.0223508766944572,0.111821086261981,0.00159744408945687,0.0142857142857143
