"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.58330479570574,0.431320411379453,0.613009524587526,0.153925912564042,0.0965189873417722,0.00182815356489945,0.000669633782209013,10.3606557377049,61,2,3,547,632,58,0.20387536482751,0.123926019893593,0.550406871609403,0.140632965293531,0.00316455696202532,0.0267981761956768,0.0406876395165687,0.002371006820121,0.00136059015493273,0.0133715395972586,0.0312264860797592,0.050688784044077,0.159845462587788,0.0573921818362674,0.0035748146109523,0.0364291698587007,0.0105319575381443,0.0920382001733895,0.110759493670886,0.00158227848101266,0.0142857142857143
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.589151244046667,0.463005521582796,0.631592825772606,0.357967220153528,0.0965189873417722,0.00182815356489945,0.000669633782209013,10.3606557377049,61,2,3,547,632,58,0.20387536482751,0.123926019893593,0.550406871609403,0.140632965293531,0.00316455696202532,0.0267981761956768,0.0406876395165687,0.002371006820121,0.00136059015493273,0.0133715395972586,0.0312264860797592,0.050688784044077,0.159845462587788,0.0573921818362674,0.0035748146109523,0.0364291698587007,0.0105319575381443,0.0920382001733895,0.110759493670886,0.00158227848101266,0.0142857142857143
1,423,0.0480473583362157,0.423853972461075,10,38.1402043348699,0.7166879971046,0.230205010306067,1.53190942508746,"random search",0.534152756622556,0.434281806839945,0.681155829450825,0.510972746049053,0.0965189873417722,0.00182815356489945,0.000669633782209013,10.3606557377049,61,2,3,547,632,58,0.20387536482751,0.123926019893593,0.550406871609403,0.140632965293531,0.00316455696202532,0.0267981761956768,0.0406876395165687,0.002371006820121,0.00136059015493273,0.0133715395972586,0.0312264860797592,0.050688784044077,0.159845462587788,0.0573921818362674,0.0035748146109523,0.0364291698587007,0.0105319575381443,0.0920382001733895,0.110759493670886,0.00158227848101266,0.0142857142857143
2,2949,0.00483917424771491,0.440659972676076,7,1.94941299037312,0.880790594033897,0.872031738430417,2.78676334993521,"random search",0.592339173161779,0.473930579530449,0.61181836785137,0.323026473415348,0.0965189873417722,0.00182815356489945,0.000669633782209013,10.3606557377049,61,2,3,547,632,58,0.20387536482751,0.123926019893593,0.550406871609403,0.140632965293531,0.00316455696202532,0.0267981761956768,0.0406876395165687,0.002371006820121,0.00136059015493273,0.0133715395972586,0.0312264860797592,0.050688784044077,0.159845462587788,0.0573921818362674,0.0035748146109523,0.0364291698587007,0.0105319575381443,0.0920382001733895,0.110759493670886,0.00158227848101266,0.0142857142857143
3,3080,0.107004863689642,0.155229340470396,16,66.1952521200955,0.925353430910036,0.0162472186669156,14.8463019624637,"random search",-0.480237924745702,-0.00619413851289696,-0.200340850799482,-0.0534506761862894,0.0965189873417722,0.00182815356489945,0.000669633782209013,10.3606557377049,61,2,3,547,632,58,0.20387536482751,0.123926019893593,0.550406871609403,0.140632965293531,0.00316455696202532,0.0267981761956768,0.0406876395165687,0.002371006820121,0.00136059015493273,0.0133715395972586,0.0312264860797592,0.050688784044077,0.159845462587788,0.0573921818362674,0.0035748146109523,0.0364291698587007,0.0105319575381443,0.0920382001733895,0.110759493670886,0.00158227848101266,0.0142857142857143
4,886,0.953851383783288,0.697339881770313,11,1.84054677303576,0.386896997923031,250.564697099647,0.207940025086388,"random search",0.569702310037642,0.437360940294265,0.602455466299193,0.207442872763091,0.0965189873417722,0.00182815356489945,0.000669633782209013,10.3606557377049,61,2,3,547,632,58,0.20387536482751,0.123926019893593,0.550406871609403,0.140632965293531,0.00316455696202532,0.0267981761956768,0.0406876395165687,0.002371006820121,0.00136059015493273,0.0133715395972586,0.0312264860797592,0.050688784044077,0.159845462587788,0.0573921818362674,0.0035748146109523,0.0364291698587007,0.0105319575381443,0.0920382001733895,0.110759493670886,0.00158227848101266,0.0142857142857143
5,3439,0.00233198776482898,0.347080405824818,11,48.4132954100867,0.586800477700308,0.00786187541628528,28.4146799774662,"random search",0.168067394197939,0.221102847579037,0.402526790159413,0.405218948783161,0.0965189873417722,0.00182815356489945,0.000669633782209013,10.3606557377049,61,2,3,547,632,58,0.20387536482751,0.123926019893593,0.550406871609403,0.140632965293531,0.00316455696202532,0.0267981761956768,0.0406876395165687,0.002371006820121,0.00136059015493273,0.0133715395972586,0.0312264860797592,0.050688784044077,0.159845462587788,0.0573921818362674,0.0035748146109523,0.0364291698587007,0.0105319575381443,0.0920382001733895,0.110759493670886,0.00158227848101266,0.0142857142857143
6,3687,0.00141539095833442,0.558357203798369,1,37.6184771002841,0.122568699996918,12.1810683454732,0.00135697536472488,"random search",0.34249601591748,0.337072568132116,0.475706466888667,0.38111138334563,0.0965189873417722,0.00182815356489945,0.000669633782209013,10.3606557377049,61,2,3,547,632,58,0.20387536482751,0.123926019893593,0.550406871609403,0.140632965293531,0.00316455696202532,0.0267981761956768,0.0406876395165687,0.002371006820121,0.00136059015493273,0.0133715395972586,0.0312264860797592,0.050688784044077,0.159845462587788,0.0573921818362674,0.0035748146109523,0.0364291698587007,0.0105319575381443,0.0920382001733895,0.110759493670886,0.00158227848101266,0.0142857142857143
7,4107,0.0055379888317068,0.456469509820454,16,75.0086904033918,0.617054678266868,0.00279144599760447,142.549661449451,"random search",-0.309479883526297,-0.154488185341914,-0.0798643878742975,-0.0288257622959807,0.0965189873417722,0.00182815356489945,0.000669633782209013,10.3606557377049,61,2,3,547,632,58,0.20387536482751,0.123926019893593,0.550406871609403,0.140632965293531,0.00316455696202532,0.0267981761956768,0.0406876395165687,0.002371006820121,0.00136059015493273,0.0133715395972586,0.0312264860797592,0.050688784044077,0.159845462587788,0.0573921818362674,0.0035748146109523,0.0364291698587007,0.0105319575381443,0.0920382001733895,0.110759493670886,0.00158227848101266,0.0142857142857143
8,3184,0.00383986982221566,0.659597407910042,24,29.2431891411908,0.678149240789935,0.189345846399871,54.674573789702,"random search",0.230634577297155,0.247263242332452,0.489722228620371,0.452774972002498,0.0965189873417722,0.00182815356489945,0.000669633782209013,10.3606557377049,61,2,3,547,632,58,0.20387536482751,0.123926019893593,0.550406871609403,0.140632965293531,0.00316455696202532,0.0267981761956768,0.0406876395165687,0.002371006820121,0.00136059015493273,0.0133715395972586,0.0312264860797592,0.050688784044077,0.159845462587788,0.0573921818362674,0.0035748146109523,0.0364291698587007,0.0105319575381443,0.0920382001733895,0.110759493670886,0.00158227848101266,0.0142857142857143
9,1115,0.0124606021246553,0.755545333889313,9,36.2136744752777,0.901651213411242,0.0027149867394658,0.00105512595847807,"random search",0.570753999072451,0.463727690429439,0.70179145435798,0.535785958516918,0.0965189873417722,0.00182815356489945,0.000669633782209013,10.3606557377049,61,2,3,547,632,58,0.20387536482751,0.123926019893593,0.550406871609403,0.140632965293531,0.00316455696202532,0.0267981761956768,0.0406876395165687,0.002371006820121,0.00136059015493273,0.0133715395972586,0.0312264860797592,0.050688784044077,0.159845462587788,0.0573921818362674,0.0035748146109523,0.0364291698587007,0.0105319575381443,0.0920382001733895,0.110759493670886,0.00158227848101266,0.0142857142857143
10,2127,0.0096478889667354,0.924309624615125,11,24.2700561633586,0.522751406067982,88.2472139626652,0.0490448861061584,"random search",0.549861736532754,0.459743688828265,0.696022287266294,0.549683769016715,0.0965189873417722,0.00182815356489945,0.000669633782209013,10.3606557377049,61,2,3,547,632,58,0.20387536482751,0.123926019893593,0.550406871609403,0.140632965293531,0.00316455696202532,0.0267981761956768,0.0406876395165687,0.002371006820121,0.00136059015493273,0.0133715395972586,0.0312264860797592,0.050688784044077,0.159845462587788,0.0573921818362674,0.0035748146109523,0.0364291698587007,0.0105319575381443,0.0920382001733895,0.110759493670886,0.00158227848101266,0.0142857142857143
11,1025,0.0157340401837246,0.555486773699522,1,41.9181506512515,0.288900194922462,0.718713501275487,0.0300254821037283,"random search",0.45138504028674,0.388670418606285,0.572433614418941,0.436065966883252,0.0965189873417722,0.00182815356489945,0.000669633782209013,10.3606557377049,61,2,3,547,632,58,0.20387536482751,0.123926019893593,0.550406871609403,0.140632965293531,0.00316455696202532,0.0267981761956768,0.0406876395165687,0.002371006820121,0.00136059015493273,0.0133715395972586,0.0312264860797592,0.050688784044077,0.159845462587788,0.0573921818362674,0.0035748146109523,0.0364291698587007,0.0105319575381443,0.0920382001733895,0.110759493670886,0.00158227848101266,0.0142857142857143
