"n","numrounds","eta","subsample","max_depth","min_child_weight","colsample_bytree","lambda","alpha","optimizationAlgo","kgeTrain","nseTrain","kgeTest","nseTest","general.attrToInst","general.freqClass.mean","general.freqClass.sd","general.instToAttr","general.nrAttr","general.nrBin","general.nrCat","general.nrClass","general.nrInst","general.nrNum","correlation.C2.mean","correlation.C2.sd","correlation.C3.mean","correlation.C3.sd","correlation.C4","linearity.L1.mean","linearity.L1.sd","linearity.L2.mean","linearity.L3.mean","linearity.L3.sd","smoothness.S1.mean","smoothness.S1.sd","smoothness.S2.mean","smoothness.S2.sd","smoothness.S3.mean","smoothness.S3.sd","smoothness.S4.mean","smoothness.S4.sd","dimensionality.T2","dimensionality.T3","dimensionality.T4"
1,500,0.3,1,6,1,1,1,1,"default",0.358736483807314,0.163635132919866,0.380038960913375,0.0312988341419974,0.0960629921259843,0.00188679245283019,0.000775245502451407,10.4098360655738,61,2,3,530,635,58,0.118871039091582,0.0781048053511825,0.585106861642295,0.12661109765071,0.133858267716535,0.0539737773939776,0.0523543891520296,0.00564983420247021,0.0050969241223155,0.0147179072170671,0.0680203792316172,0.0700403169624593,0.174447533735569,0.0635819578791889,0.00906165677667264,0.0225540332766359,0.00321113137054234,0.0147521875025262,0.110236220472441,0.0015748031496063,0.0142857142857143
1,4168,0.018,0.839,13,2.06,0.752,0.982,1.113,"optimal default",0.341857107831897,0.209843606711286,0.402997188548132,0.163660970578256,0.0960629921259843,0.00188679245283019,0.000775245502451407,10.4098360655738,61,2,3,530,635,58,0.118871039091582,0.0781048053511825,0.585106861642295,0.12661109765071,0.133858267716535,0.0539737773939776,0.0523543891520296,0.00564983420247021,0.0050969241223155,0.0147179072170671,0.0680203792316172,0.0700403169624593,0.174447533735569,0.0635819578791889,0.00906165677667264,0.0225540332766359,0.00321113137054234,0.0147521875025262,0.110236220472441,0.0015748031496063,0.0142857142857143
1,3633,0.00201898135250023,0.229975761007518,9,110.372962364973,0.762013156199828,258.381337575147,2.12657871678085,"random search",-0.531725885450567,-0.0309729431686916,-0.333113224245734,-0.000284792152690283,0.0960629921259843,0.00188679245283019,0.000775245502451407,10.4098360655738,61,2,3,530,635,58,0.118871039091582,0.0781048053511825,0.585106861642295,0.12661109765071,0.133858267716535,0.0539737773939776,0.0523543891520296,0.00564983420247021,0.0050969241223155,0.0147179072170671,0.0680203792316172,0.0700403169624593,0.174447533735569,0.0635819578791889,0.00906165677667264,0.0225540332766359,0.00321113137054234,0.0147521875025262,0.110236220472441,0.0015748031496063,0.0142857142857143
2,1195,0.0311787923069942,0.474695546296425,13,82.1367440222293,0.242505557369441,0.0289691551544625,495.328662060994,"random search",-0.525970607598865,-2.40213502500736,-0.5384457372868,-2.57160491292197,0.0960629921259843,0.00188679245283019,0.000775245502451407,10.4098360655738,61,2,3,530,635,58,0.118871039091582,0.0781048053511825,0.585106861642295,0.12661109765071,0.133858267716535,0.0539737773939776,0.0523543891520296,0.00564983420247021,0.0050969241223155,0.0147179072170671,0.0680203792316172,0.0700403169624593,0.174447533735569,0.0635819578791889,0.00906165677667264,0.0225540332766359,0.00321113137054234,0.0147521875025262,0.110236220472441,0.0015748031496063,0.0142857142857143
3,3774,0.973883103732896,0.588225219305605,10,116.284423944338,0.214320656144992,0.00870612604209884,0.00329188183245031,"random search",0.219385636114209,-0.599713677275842,0.313333357004358,-0.726406898690073,0.0960629921259843,0.00188679245283019,0.000775245502451407,10.4098360655738,61,2,3,530,635,58,0.118871039091582,0.0781048053511825,0.585106861642295,0.12661109765071,0.133858267716535,0.0539737773939776,0.0523543891520296,0.00564983420247021,0.0050969241223155,0.0147179072170671,0.0680203792316172,0.0700403169624593,0.174447533735569,0.0635819578791889,0.00906165677667264,0.0225540332766359,0.00321113137054234,0.0147521875025262,0.110236220472441,0.0015748031496063,0.0142857142857143
4,4242,0.430729162713287,0.669084728416055,24,14.1660092516796,0.569679183885455,0.0218441684352141,226.320245128582,"random search",-0.302333291617853,-0.798035221095484,-0.147765300540063,-0.55783822654076,0.0960629921259843,0.00188679245283019,0.000775245502451407,10.4098360655738,61,2,3,530,635,58,0.118871039091582,0.0781048053511825,0.585106861642295,0.12661109765071,0.133858267716535,0.0539737773939776,0.0523543891520296,0.00564983420247021,0.0050969241223155,0.0147179072170671,0.0680203792316172,0.0700403169624593,0.174447533735569,0.0635819578791889,0.00906165677667264,0.0225540332766359,0.00321113137054234,0.0147521875025262,0.110236220472441,0.0015748031496063,0.0142857142857143
5,705,0.0216168698074399,0.697122762398794,13,8.42638429756503,0.546075964812189,0.0260492477413069,6.61651733238267,"random search",0.279602071173149,0.205331683171683,0.368959821956209,0.215297797065514,0.0960629921259843,0.00188679245283019,0.000775245502451407,10.4098360655738,61,2,3,530,635,58,0.118871039091582,0.0781048053511825,0.585106861642295,0.12661109765071,0.133858267716535,0.0539737773939776,0.0523543891520296,0.00564983420247021,0.0050969241223155,0.0147179072170671,0.0680203792316172,0.0700403169624593,0.174447533735569,0.0635819578791889,0.00906165677667264,0.0225540332766359,0.00321113137054234,0.0147521875025262,0.110236220472441,0.0015748031496063,0.0142857142857143
6,2414,0.547859847312162,0.835209157806821,25,39.9666441700124,0.100223355228081,54.691546880074,0.0795271020240473,"random search",0.333386707637481,0.0427899725607978,0.399766900029788,0.0431580849265704,0.0960629921259843,0.00188679245283019,0.000775245502451407,10.4098360655738,61,2,3,530,635,58,0.118871039091582,0.0781048053511825,0.585106861642295,0.12661109765071,0.133858267716535,0.0539737773939776,0.0523543891520296,0.00564983420247021,0.0050969241223155,0.0147179072170671,0.0680203792316172,0.0700403169624593,0.174447533735569,0.0635819578791889,0.00906165677667264,0.0225540332766359,0.00321113137054234,0.0147521875025262,0.110236220472441,0.0015748031496063,0.0142857142857143
7,356,0.0998237496909622,0.490916053182445,4,8.99216936548789,0.623560359934345,0.0334937172927876,0.00517392677002418,"random search",0.313353276027871,0.0897301196132251,0.468353778415226,0.180076404574225,0.0960629921259843,0.00188679245283019,0.000775245502451407,10.4098360655738,61,2,3,530,635,58,0.118871039091582,0.0781048053511825,0.585106861642295,0.12661109765071,0.133858267716535,0.0539737773939776,0.0523543891520296,0.00564983420247021,0.0050969241223155,0.0147179072170671,0.0680203792316172,0.0700403169624593,0.174447533735569,0.0635819578791889,0.00906165677667264,0.0225540332766359,0.00321113137054234,0.0147521875025262,0.110236220472441,0.0015748031496063,0.0142857142857143
8,2227,0.00411576858326448,0.10793554042466,8,1.03525180305395,0.436289839446545,0.0757338569119991,765.542912565066,"random search",-0.559748886272361,-2.40215908158511,-0.662675371843199,-2.57160332109218,0.0960629921259843,0.00188679245283019,0.000775245502451407,10.4098360655738,61,2,3,530,635,58,0.118871039091582,0.0781048053511825,0.585106861642295,0.12661109765071,0.133858267716535,0.0539737773939776,0.0523543891520296,0.00564983420247021,0.0050969241223155,0.0147179072170671,0.0680203792316172,0.0700403169624593,0.174447533735569,0.0635819578791889,0.00906165677667264,0.0225540332766359,0.00321113137054234,0.0147521875025262,0.110236220472441,0.0015748031496063,0.0142857142857143
